ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2020,PL,1249,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-12-03,BLOCO DE VETOS DE 03/12/2025,0,17,0,painel,nao,
2020,PL,1254,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1259,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1320,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,1322,,indeterminado,nao,REPROVADO,painel_resultado_rotulo,nao,2025-06-03,BLOCO VETOS 03.06.2025,0,16,0,painel,nao,
2020,PL,1331,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1346,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1387,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1389,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1418,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,1456,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,1490,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,1496,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1507,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1563,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1566,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1569,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1597,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,1637,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,1651,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2025-05-13,BLOCO DE VETOS DE 13/05/2025,18,0,0,painel,nao,
2020,PL,880,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,888,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,915,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,944,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2023-08-30,BLOCO VETOS PODER EXECUTIVO 30.08.2023,14,0,0,painel,nao,
2020,PL,948,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,950,,indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,nao,
2020,PL,955,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
2020,PL,957,,indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,nao,
