ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2022,Projeto de Lei,2749,Dispõe sobre o programa de acesso à justiça e fomento ao advogado iniciante.,parcial,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,ambas,sim,50868
2022,Projeto de Lei,2761,"Dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2023, e dá outras providências. 

",parcial,nao,sem_deliberacao,sem_votacao,nao,,,,,,relatorio_ccj,sim,48194
2022,Projeto de Lei,2832,"Abre crédito adicional à Lei Orçamentária Anual do Distrito Federal no valor de R$ 36.340.210,00.",parcial,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,ambas,sim,50865
2022,Projeto de Lei,2886,"Estabelece o crédito responsável e assegura a garantia do mínimo existencial para os endividados do Distrito Federal, com medidas necessárias para dar cumprimento e efetividade aos artigos 6º, XI, e XII, 52, §2º, 54-D da Lei 8.078, de 11 de setembro de 1990.",total,nao,REJEITADA,painel_resultado_rotulo,nao,2023-04-12,VETO TOTAL PROJETO DE LEI 2886/2022,0,21,0,painel,sim,
2022,Projeto de Lei,2903,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 7.336.250,00.
",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2908,Dispõe sobre a obrigatoriedade quanto ao acompanhamento por profissional de saúde do sexo feminino durante a realização de exames ou procedimentos que utilizem de sedação ou anestesia que induzam a inconsciência do paciente e à presença de acompanhante durante os exames sensíveis.,total,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,ambas,sim,69774
2022,Projeto de Lei,2944,"Altera a Lei n° 6.934, de 5 de agosto de 2021, que Dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2022 e dá outras providências.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2945,"Altera a Lei n° 6.934, de 5 de agosto de 2021, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2022 e dá outras providências.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2952,"Regulamenta no Distrito Federal a aplicabilidade da Lei federal nº 14.282, de 28 de dezembro de 2021 – Lei que regulamento o exercício da profissão de despachante documentalista.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2963,"Institui a Campanha de Conscientização sobre a Cinomose Canina, no âmbito do Distrito Federal e dá outras providências.

",parcial,nao,sem_deliberacao,sem_votacao,nao,,,,,,relatorio_ccj,sim,110908
2022,Projeto de Lei,2986,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 15.924.113,00.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2992,"Estima a receita e fixa a despesa do Distrito Federal para o exercício financeiro de 2023.

",parcial,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,ambas,sim,58009
2022,Projeto de Lei,2999,Institui no Distrito Federal o Programa  de Atenção à Saúde da Mulher no Climatério e na Menopausa.,total,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,ambas,sim,69778
