exercicio,tipo_de_processo,unidade_produtora,fundamento_legal,classificacao_arquivistica,categoria_de_sigilo,grau_de_sigilo,numero_do_processo,categoria_na_fonte,grau_na_fonte,linha_desalinhada_na_fonte,as_of
2025,Administracao Geral: Governanca e Gestao,GAB DEP DOUTORA JANE,SIG.16-Seguranca dos Deputados Distritais,"CONTROLE DE ACESSO úS DEPENDãNCIAS DA CLDF (seguranca, protecao e policiamento)",Sigiloso,,00001-00019383/2025-28,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",SESPE,SIG.12-Prevencao e repressao a infracoes,DENéNCIA. sindicancia. INQUERITO (apuracao de responsabilidade eacao disciplinar),Sigiloso,,00001-00019444/2025-57,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",GAB DEP DOUTORA JANE,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII",DENéNCIA. sindicancia. INQUERITO (apuracao de responsabilidade eacao disciplinar),Sigiloso,,00001-00019605/2025-11,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Administracao Geral: Governanca e Gestao,GMD,SIG.02-Analise de risco,CREDENCIAMENTO JUNTO A OUTROS à,,,,,,não,2026-06-12T19:25:11.291332
,,,,,,,,,,sim,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",GAB DEP DOUTORA JANE,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII",DENéNCIA. sindicancia. INQUERITO (apuracao de responsabilidade eacao disciplinar),Sigiloso,,00001-00021279/2025-01,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00022828/2025-57,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,GP,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII",DENéNCIAS. Incluem-se acusacoes contra ato ou omissao de autoridades e/ou entidades publicas (ouvidoria),Sigiloso,,00001-00023178/2025-67,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,GP,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,,00001-00023178/2025-67,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,GP,SIG.12-Prevencao e repressao a infracoes,"POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,,00001-00023879/2025-04,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,NUAL,SIG.16-Seguranca dos Deputados Distritais,"GESTAO DA INFORMACAO, DE DOCUMENTOS E SISTEMAS DE ARQUIVOS. Incluem-se estudos e/ou decisões, referentes ? elabora?ão de documentos, metodologias e procedimentos t?cnicos de gestão de documentos e informa?ões arquivísticas",Sigiloso,Secreto,00001-00024247/2025-50,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,NUAL,SIG.16-Seguranca dos Deputados Distritais,DECORO PARLAMENTAR. Incluem-se documentos referentes a Denuncia ou Noticia de Infracao ao COdigo de Ética e Decoro Parlamentar (deputados),Sigiloso,Secreto,00001-00024247/2025-50,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,NUAL,SIG.16-Seguranca dos Deputados Distritais,DENéNCIAS. Incluem-se acusa?ões contra ato ou omissao de autoridades e/ou entidades publicas (ouvidoria),Sigiloso,Secreto,00001-00024247/2025-50,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,Pessoal: Investigacao preliminar,CONOFIS,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","OCORRãNCIA POLICIAL. Inclusive inqu?rito, investigacao e captura (Policia legislativa)",Sigiloso,,00001-00024557/2025-74,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,GP,SIG.16-Seguranca dos Deputados Distritais,DENéNCIAS. Incluem-se acusa?ões contra ato ou omissao de autoridades e/ou entidades publicas (ouvidoria),Sigiloso,Secreto,00001-00024611/2025-81,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00025567/2025-27,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00026027/2025-61,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00026830/2025-03,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",GAB DEP ROGERIO MORRO DA CRUZ,SIG.01-Achados de auditoria,"PROTOCOLO: RECEP?CO, TRAMITACAO E EXPEDICAO DE DOCUMENTOS. Inclusive despacho de devolu?ão ? origem. (gestão de informa?ões, documentos e sistemas de arquivos)",Sigiloso,Reservado,00001-00027291/2025-11,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",GAB DEP ROGERIO MORRO DA CRUZ,SIG.01-Achados de auditoria,DENéNCIA. sindicancia. INQUERITO (apuracao de responsabilidade eacao disciplinar),Sigiloso,Reservado,00001-00027291/2025-11,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Administracao Geral: Governanca e Gestao,GP,SIG.16-Seguranca dos Deputados Distritais,"CONTROLE DE ACESSO DAS DEPENDÊNCIAS DA CLDF (seguranca, protecao e policiamento)",Sigiloso,,00001-00029231/2025-33,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00031543/2025-15,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Informatica: Aquisicao de solucoes e servicos em tecnologia da informacao,SEATI,RES.20- Arquitetura de TI,"TECNOLOGIA DA INFORMACAO - INFORMÁTICA. Incluem-se normas, regulamenta?ões, diretrizes, políticas, planos, projetos, estudos e/ou decisões, de caráter geral, referentes a Tecnologia da Informa?ão",Restrito,,00001-00032336/2025-70,Restrito,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00033663/2025-49,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,"Seguranca: Seguranca de evento realizado na CLDF (plenario, auditorio, comissoes, etc)",SPCS,RES.20- Arquitetura de TI,EVENTOS REALIZADOS NO PLENÁRIO (seguranca de eventos),Restrito,,00001-00033740/2025-61,Restrito,,não,2026-06-12T19:25:11.291332
2025,"Seguranca: Controle de acesso a áreas restritas (plenario, galerias, etc)",SEINF,RES.20- Arquitetura de TI,CONTROLE DE ACESSO A ÁREAS RESTRITAS (controle de acesso ?s dependencias da CLDF),Restrito,,00001-00034869/2025-96,Restrito,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,DIPOL,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,,00001-00034927/2025-81,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00037079/2025-62,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,"Seguranca: Controle de acesso a áreas restritas (plenario, galerias, etc)",SEINF,RES.20- Arquitetura de TI,CONTROLE DE ACESSO A ÁREAS RESTRITAS (controle de acesso ?s dependencias da CLDF),Restrito,,00001-00038034/2025-13,Restrito,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00039436/2025-27,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Administracao Geral: Governanca e Gestao,NPRAD,SIG.01-Achados de auditoria,ORGANIZACAO E FUNCIONAMENTO (administracao geral),Sigiloso,Reservado,00001-00039444/2025-73,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Administracao Geral: Governanca e Gestao,SEINF,SIG.03-Arquitetura de TI,"LEGISLACAO. Inclusive pareceres de pessoal Incluem-se normas,regulamenta?ões, diretrizes, estatutos, regulamentos, procedimentos, portarias, estudos e/ou decisões de caráter geral e boletins administrativo, de pessoal e de servi?o (recursos humanos)",Sigiloso,Ultrassecreto,00001-00041312/2025-10,Sigiloso,Ultrassecreto,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,Reservado,00001-00046983/2025-69,Sigiloso,Reservado,não,2026-06-12T19:25:11.291332
2025,Pessoal: Investigacao preliminar,GP,SIG.15-Seguranca da CLDF,"OCORRãNCIA POLICIAL. Inclusive inqu?rito, investigacao e captura (policia legislativa)",Sigiloso,,00001-00048665/2025-32,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Seguranca: Registro de ocorrencia policial,NUINV,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","POLICIA LEGISLATIVA (seguranca, protecao e policiamento)",Sigiloso,,00001-00049286/2025-60,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Pessoal: Investigacao preliminar,CONOFIS,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","OCORRãNCIA POLICIAL. Inclusive inqu?rito, investiga?ão e captura (Policia legislativa)",Sigiloso,,00001-00050864/2025-19,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Arquivo: Assistencia tecnica arquivistica,SCA,SIG.02-Analise de risco,"assistencia TÉCNICA ARQUIVÍSTICA (gestao de informa?ões, documentos e sistemas de arquivos)",Sigiloso,,00001-00051770/2025-59,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Informatica: Requiscao/ordem de servico de informatica,SEINF,RES.20- Arquitetura de TI,"SUPORTE TÉCNICO. assistencia TÉCNICA. Inclusive requisi?ão de servi?os, ordem de servi?o (informática)",Restrito,,00001-00052047/2025-97,Restrito,,não,2026-06-12T19:25:11.291332
2025,Administracao Geral: Governanca e Gestao,GMD,SIG.01- Achados de auditoria,PRODUCAO DE DOCUMENTOS. LEVANTAMENTO. DIAGNà,,,,,,não,2026-06-12T19:25:11.291332
,,,,,,,,,,sim,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,EXTERNO,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","PROTOCOLO: RECEP?CO, TRAMITACAO E EXPEDICAO DE DOCUMENTOS. Inclusive despacho de devolu?ão ? origem. (gestão de informa?ões, documentos e sistemas de arquivos)",Sigiloso,,00600-00008511/2025-68,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,Ouvidoria: Denuncias,EXTERNO,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII",DENéNCIAS. Incluem-se acusa?ões contra ato ou omissao de autoridades e/ou entidades publicas (ouvidoria),Sigiloso,,00600-00008511/2025-68,Sigiloso,,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",EXTERNO,SIG.16-Seguranca dos Deputados Distritais,"PROTOCOLO: RECEP?CO, TRAMITACAO E EXPEDICAO DE DOCUMENTOS. Inclusive despacho de devolu?ão ? origem. (gestão de informa?ões, documentos e sistemas de arquivos)",Sigiloso,Secreto,19.04.3396.0089138/2025-70,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",EXTERNO,SIG.16-Seguranca dos Deputados Distritais,DENUNCIA. sindicancia. INQUERITO (apuracao de responsabilidade e acao disciplinar),Sigiloso,Secreto,19.04.3396.0089138/2025-70,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",EXTERNO,SIG.16-Seguranca dos Deputados Distritais,DENUNCIA. sindicancia. INQUERITO (apuracao de responsabilidade e acao disciplinar),Sigiloso,Secreto,19.04.3396.0089930/2025-26,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
2025,"Pessoal: Denuncia, sindicancia, inquerito para apuracao de responsabilidade",EXTERNO,"SIG.10- Inteligencia, investigacao e fiscalizacao - Lei 4.990/2012, art. 25, inciso VIII","PROTOCOLO: RECEPCAO, TRAMITACAO E EXPEDICAO DE DOCUMENTOS. Inclusive despacho de devolucao ? origem. (gestaoo de informa?ões, documentos e sistemas de arquivos)",Sigiloso,Secreto,19.04.3396.0089930/2025-26,Sigiloso,Secreto,não,2026-06-12T19:25:11.291332
