ano,cargo_efetivo,cargo_em_comissao_ou_funcao,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,,SECRETARIO PARLAMENTAR,703,146,"0,00","0,00","0,00","889.393,02"
2012,,SEGURANCA PARLAMENTAR,259,48,"0,00","0,00","0,00","850.353,30"
2012,ASSISTENTE LEGISLATIVO,,525,106,"0,00","0,00","0,00","2.786.225,67"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE,1,1,"0,00","0,00","0,00","6.050,24"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE CERIMONIAL,5,1,"0,00","0,00","0,00","25.943,70"
2012,ASSISTENTE LEGISLATIVO,ASSESSOR DE PRODUCAO GRAFICA,4,1,"0,00","0,00","0,00","24.902,72"
2012,ASSISTENTE LEGISLATIVO,CARGO EM COMISSAO DE ASSISTÊNCIA,27,6,"0,00","0,00","0,00","128.579,93"
2012,ASSISTENTE LEGISLATIVO,CARGO EM COMISSAO DE SUPERVISAO,36,8,"0,00","0,00","0,00","224.215,02"
2012,ASSISTENTE LEGISLATIVO,CARGO EM COMISSÃO DE ASSESSORAMENTO,45,9,"0,00","0,00","0,00","327.119,42"
2012,ASSISTENTE LEGISLATIVO,CARGO ESPECIAL DE GABINETE,5,1,"0,00","0,00","0,00","42.425,75"
2012,ASSISTENTE LEGISLATIVO,CHEFE DE SECAO,20,4,"0,00","0,00","0,00","167.761,30"
2012,ASSISTENTE LEGISLATIVO,CHEFE DE SETOR,35,7,"0,00","0,00","0,00","328.179,84"
2012,ASSISTENTE LEGISLATIVO,CHEFE DE UNIDADE,5,1,"0,00","0,00","0,00","55.554,46"
2012,ASSISTENTE LEGISLATIVO,GERENTE COORDENADOR-FASCAL,5,1,"0,00","0,00","0,00","63.443,32"
2012,AUXILIAR LEGISLATIVO,,956,192,"0,00","0,00","0,00","3.678.381,90"
2012,AUXILIAR LEGISLATIVO,ASSESSOR  DE DIST. E PROPOSICAO,5,1,"0,00","0,00","0,00","27.167,50"
2012,AUXILIAR LEGISLATIVO,ASSESSOR DE CERIMONIAL GARCOM,5,1,"0,00","0,00","0,00","37.152,04"
2012,AUXILIAR LEGISLATIVO,CARGO EM COMISSAO,1,1,"0,00","0,00","0,00","3.419,87"
2012,AUXILIAR LEGISLATIVO,CARGO EM COMISSAO DE ASSISTÊNCIA,34,7,"0,00","0,00","0,00","144.035,28"
2012,AUXILIAR LEGISLATIVO,CARGO EM COMISSAO DE SUPERVISAO,29,6,"0,00","0,00","0,00","143.029,31"
2012,AUXILIAR LEGISLATIVO,CARGO EM COMISSÃO,1,1,"0,00","0,00","0,00","4.924,60"
2012,AUXILIAR LEGISLATIVO,CARGO EM COMISSÃO DE ASSESSORAMENTO,24,5,"0,00","0,00","0,00","121.896,70"
2012,AUXILIAR LEGISLATIVO,CHEFE DE SECAO,5,1,"0,00","0,00","0,00","24.263,65"
2012,AUXILIAR LEGISLATIVO,CHEFE DE SETOR,10,2,"0,00","0,00","0,00","62.153,05"
2012,Assistente Legislativo,,101,101,"0,00","0,00","0,00","526.846,76"
2012,Assistente Legislativo,ASSESSOR DE CERIMONIAL,1,1,"0,00","0,00","0,00","4.482,86"
2012,Assistente Legislativo,ASSESSOR DE PRODUCAO GRAFICA,1,1,"0,00","0,00","0,00","6.147,83"
2012,Assistente Legislativo,CARGO EM COMISSAO DE ASSESSORAMENTO,9,9,"0,00","0,00","0,00","61.340,43"
2012,Assistente Legislativo,CARGO EM COMISSAO DE ASSISTENCIA,5,5,"0,00","0,00","0,00","24.418,75"
2012,Assistente Legislativo,CARGO EM COMISSAO DE SUPERVISAO,9,9,"0,00","0,00","0,00","54.327,30"
2012,Assistente Legislativo,CARGO ESPECIAL DE GABINETE,1,1,"0,00","0,00","0,00","6.277,09"
2012,Assistente Legislativo,CHEFE DE SECAO,4,4,"0,00","0,00","0,00","32.295,84"
2012,Assistente Legislativo,CHEFE DE SETOR,7,7,"0,00","0,00","0,00","69.330,98"
2012,Assistente Legislativo,CHEFE DE UNIDADE,1,1,"0,00","0,00","0,00","9.917,28"
2012,Assistente Legislativo,GERENTE COORDENADOR- FASCAL,1,1,"0,00","0,00","0,00","12.108,67"
2012,Auxiliar Legislativo,,180,180,"0,00","0,00","0,00","713.604,67"
2012,Auxiliar Legislativo,ASSESSOR  DE DIST. E PROPOSICAO,1,1,"0,00","0,00","0,00","5.574,70"
2012,Auxiliar Legislativo,ASSESSOR DE CERIMONIAL GARCOM,1,1,"0,00","0,00","0,00","5.995,51"
2012,Auxiliar Legislativo,CARGO EM COMISSAO DE ASSESSORAMENTO,5,5,"0,00","0,00","0,00","25.310,33"
2012,Auxiliar Legislativo,CARGO EM COMISSAO DE ASSISTENCIA,7,7,"0,00","0,00","0,00","26.572,76"
2012,Auxiliar Legislativo,CARGO EM COMISSAO DE SUPERVISAO,5,5,"0,00","0,00","0,00","25.844,58"
2012,Auxiliar Legislativo,CHEFE DE SECAO,1,1,"0,00","0,00","0,00","5.503,30"
2012,Auxiliar Legislativo,CHEFE DE SETOR,2,2,"0,00","0,00","0,00","11.928,18"
2012,CONSULTOR LEGISLATIVO,,294,61,"0,00","0,00","0,00","3.533.898,85"
2012,CONSULTOR LEGISLATIVO,CARGO EM COMISSAO DE SUPERVISAO,10,2,"0,00","0,00","0,00","142.030,88"
2012,CONSULTOR LEGISLATIVO,CARGO ESPECIAL DE,1,1,"0,00","0,00","0,00","20.647,49"
2012,CONSULTOR LEGISLATIVO,CARGO ESPECIAL DE GABINETE,29,7,"0,00","0,00","0,00","416.396,16"
2012,CONSULTOR LEGISLATIVO,CHEFE DE GABINETE PARLAMENTAR,5,1,"0,00","0,00","0,00","65.923,16"
2012,CONSULTOR LEGISLATIVO,CHEFE DE SETOR,5,1,"0,00","0,00","0,00","67.326,78"
2012,CONSULTOR LEGISLATIVO,CHEFE DE UNIDADE,25,5,"0,00","0,00","0,00","394.205,40"
2012,CONSULTOR TÉCNICO,,23,23,"0,00","0,00","0,00","284.697,22"
2012,CONSULTOR TÉCNICO,ASSESSOR DE ACOMP.,1,1,"0,00","0,00","0,00","15.076,34"
2012,CONSULTOR TÉCNICO,CARGO EM COMISSAO,1,1,"0,00","0,00","0,00","11.969,19"
2012,CONSULTOR TÉCNICO,CARGO ESPECIAL DE,2,2,"0,00","0,00","0,00","26.741,13"
2012,CONSULTOR TÉCNICO,CHEFE DE UNIDADE,1,1,"0,00","0,00","0,00","14.723,85"
2012,CONSULTOR TÉCNICO LEGISLATIVO,,791,169,"0,00","0,00","0,00","9.667.865,99"
2012,CONSULTOR TÉCNICO LEGISLATIVO,ASSESSOR CL-11,5,1,"0,00","0,00","0,00","49.009,51"
2012,CONSULTOR TÉCNICO LEGISLATIVO,ASSESSOR DA CPL,2,1,"0,00","0,00","0,00","31.255,55"
2012,CONSULTOR TÉCNICO LEGISLATIVO,ASSESSOR DE ACOMP. DE OBRAS,4,1,"0,00","0,00","0,00","63.017,81"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CARGO EM COMISSAO DE ASSISTÊNCIA,5,1,"0,00","0,00","0,00","65.153,44"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CARGO EM COMISSAO DE SUPERVISAO,26,6,"0,00","0,00","0,00","361.362,96"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CARGO EM COMISSÃO DE ASSESSORAMENTO,20,5,"0,00","0,00","0,00","253.233,48"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CARGO ESPECIAL DE GABINETE,13,3,"0,00","0,00","0,00","164.874,86"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CHEFE DE SECAO,20,4,"0,00","0,00","0,00","285.349,66"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CHEFE DE SETOR,25,6,"0,00","0,00","0,00","395.416,18"
2012,CONSULTOR TÉCNICO LEGISLATIVO,CHEFE DE UNIDADE,4,1,"0,00","0,00","0,00","59.559,00"
2012,CONSULTOR TÉCNICO LEGISLATIVO,DF-11,5,1,"0,00","0,00","0,00","70.136,46"
2012,CONSULTOR TÉCNICO LEGISLATIVO,INCORPORAÇÃO - D13,1,1,"0,00","0,00","0,00","15.657,77"
2012,CONSULTOR TÉCNICO LEGISLATIVO,SECRETARIO DE COMISSAO,5,1,"0,00","0,00","0,00","80.906,31"
2012,CONSULTOR TÉCNICO LEGISLATIVO,SECRETARIO GERAL PRESIDENCIA,5,1,"0,00","0,00","0,00","95.348,14"
2012,Consultor Legislativo,,47,47,"0,00","0,00","0,00","591.018,10"
2012,Consultor Legislativo,CARGO EM COMISSAO DE SUPERVISAO,2,2,"0,00","0,00","0,00","28.892,92"
2012,Consultor Legislativo,CARGO ESPECIAL DE GABINETE,6,6,"0,00","0,00","0,00","82.096,51"
2012,Consultor Legislativo,CHEFE DE GABINETE PARLAMENTAR,1,1,"0,00","0,00","0,00","13.679,60"
2012,Consultor Legislativo,CHEFE DE SETOR,1,1,"0,00","0,00","0,00","15.054,10"
2012,Consultor Legislativo,CHEFE DE UNIDADE,5,5,"0,00","0,00","0,00","112.581,78"
2012,Consultor Téc. Legislativo,,142,142,"0,00","0,00","0,00","1.707.050,72"
2012,Consultor Téc. Legislativo,ASSESSOR CL-11,1,1,"0,00","0,00","0,00","9.619,66"
2012,Consultor Téc. Legislativo,ASSESSOR DA CPL,1,1,"0,00","0,00","0,00","15.622,45"
2012,Consultor Téc. Legislativo,ASSESSOR DE ACOMP. DE OBRAS,1,1,"0,00","0,00","0,00","37.333,09"
2012,Consultor Téc. Legislativo,CARGO EM COMISSAO DE ASSESSORAMENTO,4,4,"0,00","0,00","0,00","46.302,70"
2012,Consultor Téc. Legislativo,CARGO EM COMISSAO DE ASSISTENCIA,1,1,"0,00","0,00","0,00","16.288,36"
2012,Consultor Téc. Legislativo,CARGO EM COMISSAO DE SUPERVISAO,4,4,"0,00","0,00","0,00","51.253,36"
2012,Consultor Téc. Legislativo,CARGO ESPECIAL DE GABINETE,3,3,"0,00","0,00","0,00","40.641,16"
2012,Consultor Téc. Legislativo,CHEFE DE SECAO,4,4,"0,00","0,00","0,00","57.332,52"
2012,Consultor Téc. Legislativo,CHEFE DE SETOR,5,5,"0,00","0,00","0,00","69.836,96"
2012,Consultor Téc. Legislativo,CHEFE DE UNIDADE,1,1,"0,00","0,00","0,00","13.585,94"
2012,Consultor Téc. Legislativo,INCORPORACAO - D13,1,1,"0,00","0,00","0,00","15.678,49"
2012,Consultor Téc. Legislativo,SECRETARIO DE COMISSAO,1,1,"0,00","0,00","0,00","15.618,83"
2012,Consultor Téc. Legislativo,SECRETARIO GERAL PRESIDENCIA,1,1,"0,00","0,00","0,00","15.197,78"
2012,PROCURADOR,,30,6,"0,00","0,00","0,00","379.776,61"
2012,PROCURADOR,ASSESSOR JURIDICO,5,1,"0,00","0,00","0,00","89.724,94"
2012,PROCURADOR,CHEFE DE NUCLEO,20,4,"0,00","0,00","0,00","300.682,18"
2012,PROCURADOR,PRESIDENTE CPL,5,1,"0,00","0,00","0,00","78.295,02"
2012,PROCURADOR,SECRETARIO DE COMISSAO,5,1,"0,00","0,00","0,00","76.818,16"
2012,Procurador Legislativo,,6,6,"0,00","0,00","0,00","85.705,47"
2012,Procurador Legislativo,ASSESSOR JURIDICO,1,1,"0,00","0,00","0,00","16.667,98"
2012,Procurador Legislativo,CHEFE DE NUCLEO,4,4,"0,00","0,00","0,00","57.908,78"
2012,Procurador Legislativo,PRESIDENTE CPL,1,1,"0,00","0,00","0,00","22.367,76"
2012,Procurador Legislativo,SECRETARIO DE COMISSAO,1,1,"0,00","0,00","0,00","15.034,80"
2012,TÉCNICO LEGISLATIVO,,975,199,"0,00","0,00","0,00","8.009.563,57"
2012,TÉCNICO LEGISLATIVO,ASSESSOR DA CPL,3,1,"0,00","0,00","0,00","36.143,59"
2012,TÉCNICO LEGISLATIVO,ASSESSOR DE APOIO ATIV.PLENARIO,5,1,"0,00","0,00","0,00","66.827,56"
2012,TÉCNICO LEGISLATIVO,CARGO EM COMISSAO,4,4,"0,00","0,00","0,00","35.764,08"
