ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2022,Projeto de Lei,29,Deputado Leandro Grass,9,0,0,9,0,0
2022,Projeto de Lei,30,Deputado Martins Machado,13,2,0,11,0,0
2022,Projeto de Lei,32,Deputado Professor Reginaldo Veras,2,0,0,2,0,0
2022,Projeto de Lei,31,Deputado Rafael Prudente,24,0,0,24,0,0
2022,Projeto de Lei,35,Deputado Reginaldo Sardinha,57,0,0,57,0,0
2022,Projeto de Lei,33,Deputado Robério Negreiros,51,4,0,47,0,0
2022,Projeto de Lei,34,Deputado Roosevelt Vilela,21,2,0,19,0,0
2022,Projeto de Lei,36,Deputado Valdelino Barcelos,6,0,0,6,0,0
2022,Projeto de Lei,56,Mesa Diretora,1,1,0,0,0,0
2022,Projeto de Lei,6,Poder Executivo,102,19,0,83,0,0
2022,Projeto de Lei,7,Tribunal de Contas do Distrito Federal,2,0,0,2,0,0
2022,Projeto de Lei Complementar,42,Defensoria Pública do Distrito Federal,1,1,0,0,0,0
2022,Projeto de Lei Complementar,15,Deputado Chico Vigilante,1,0,0,1,0,0
2022,Projeto de Lei Complementar,18,Deputado Delmasso,9,1,0,8,0,0
2022,Projeto de Lei Complementar,20,Deputado Fábio Felix,1,1,0,0,0,0
2022,Projeto de Lei Complementar,29,Deputado Leandro Grass,1,0,0,1,0,0
2022,Projeto de Lei Complementar,35,Deputado Reginaldo Sardinha,5,0,0,5,0,0
2022,Projeto de Lei Complementar,6,Poder Executivo,18,2,0,16,0,0
2022,Projeto de Lei Complementar,7,Tribunal de Contas do Distrito Federal,1,1,0,0,0,0
2022,Projeto de Resolução,14,Deputada Arlete Sampaio,2,0,0,2,0,0
2022,Projeto de Resolução,28,Deputada Júlia Lucy,1,0,0,1,0,0
2022,Projeto de Resolução,13,Deputado Agaciel Maia,2,0,0,2,0,0
2022,Projeto de Resolução,16,Deputado Claudio Abrantes,1,0,0,1,0,0
2022,Projeto de Resolução,18,Deputado Delmasso,3,0,0,3,0,0
2022,Projeto de Resolução,19,Deputado Eduardo Pedrosa,1,0,0,1,0,0
2022,Projeto de Resolução,23,Deputado Iolando,2,0,0,2,0,0
2022,Projeto de Resolução,26,Deputado Jorge Vianna,1,0,0,1,0,0
2022,Projeto de Resolução,29,Deputado Leandro Grass,1,0,0,1,0,0
2022,Projeto de Resolução,30,Deputado Martins Machado,1,0,0,1,0,0
2022,Projeto de Resolução,32,Deputado Professor Reginaldo Veras,1,0,0,1,0,0
2022,Projeto de Resolução,31,Deputado Rafael Prudente,2,0,0,2,0,0
2022,Projeto de Resolução,35,Deputado Reginaldo Sardinha,2,0,0,2,0,0
