deputado,chave,ano,mes,locacao_e_manutencao_de_imoveis,locacao_de_maquinas_e_equipamentos,aquisicao_de_material,locacao_de_veiculos,combustivel_e_lubrificante,assessoria_ou_consultoria_juridica,assessoria_ou_consultoria_especializada,divulgacao_de_atividade_parlamentar,outros,soma_das_rubricas,total_no_quadro,rubricas_somam,glosa,teto_mensal_autorizado,linhas_do_painel,as_of
FÁBIO FÉLIX,FABIO FELIX,2026,4,5202.12,0.00,0.00,5300.00,0.00,0.00,2500.00,683.33,0.00,13685.45,13685.45,sim,0.00,20864.78,1,2026-09-01
FÁBIO FÉLIX,FABIO FELIX,2026,5,6552.24,0.00,0.00,5300.00,0.00,0.00,2500.00,0.00,0.00,14352.24,14352.24,sim,0.00,20864.78,1,2026-09-01
FÁBIO FÉLIX,FABIO FELIX,2026,6,6709.48,0.00,0.00,5300.00,0.00,0.00,0.00,0.00,0.00,12009.48,12009.48,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,1,1345.84,0.00,0.00,0.00,0.00,0.00,0.00,7100.00,0.00,8445.84,8445.84,sim,0.00,17681.99,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,2,2684.52,0.00,0.00,0.00,0.00,0.00,0.00,7100.00,0.00,9784.52,9784.52,sim,0.00,17681.99,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,3,2230.88,0.00,0.00,0.00,0.00,0.00,0.00,7100.00,0.00,9330.88,9330.88,sim,0.00,17681.99,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,4,2237.97,0.00,0.00,0.00,0.00,0.00,0.00,7100.00,0.00,9337.97,9337.97,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,5,2370.61,0.00,0.00,0.00,447.01,0.00,0.00,7100.00,0.00,9917.62,9917.62,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,6,2443.79,0.00,0.00,0.00,1279.80,0.00,0.00,7100.00,0.00,10823.59,10823.59,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,7,2477.12,0.00,0.00,0.00,872.40,0.00,0.00,7100.00,0.00,10449.52,10449.52,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,8,2322.17,0.00,0.00,0.00,1033.23,0.00,0.00,7100.00,0.00,10455.40,10455.40,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,9,2431.17,0.00,0.00,0.00,1474.78,0.00,0.00,8350.00,0.00,12255.95,12255.95,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,10,2262.14,0.00,0.00,0.00,1155.65,0.00,0.00,8350.00,0.00,11767.79,11767.79,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,11,2032.43,0.00,0.00,0.00,1095.96,0.00,0.00,8350.00,0.00,11478.39,11478.39,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2023,12,2321.31,0.00,0.00,0.00,714.02,3500.00,0.00,8350.00,0.00,14885.33,14885.33,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,1,1901.17,0.00,0.00,0.00,0.00,3500.00,0.00,8350.00,0.00,13751.17,13751.17,sim,0.00,18472.91,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,2,1896.44,0.00,0.00,2147.00,782.29,3500.00,0.00,8350.00,0.00,16675.73,16675.73,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,3,2529.07,0.00,0.00,2147.00,459.01,3500.00,0.00,8350.00,0.00,16985.08,16985.08,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,4,1914.80,0.00,0.00,2147.00,1335.38,3500.00,0.00,8350.00,0.00,17247.18,17247.18,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,5,2285.03,0.00,0.00,2147.00,1448.45,3500.00,0.00,8350.00,0.00,17730.48,17730.48,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,6,2445.81,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16442.81,16442.81,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,7,2203.09,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16200.09,16200.09,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,8,2326.32,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16323.32,16323.32,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,9,2388.47,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16385.47,16385.47,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,10,2358.91,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16355.91,16355.91,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,11,2049.58,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16046.58,16046.58,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2024,12,2021.75,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16018.75,16018.75,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,1,2479.33,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16476.33,16476.33,sim,0.00,19803.83,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,2,2528.53,0.00,0.00,2147.00,0.00,3500.00,0.00,8350.00,0.00,16525.53,16525.53,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,3,2543.45,0.00,0.00,2147.00,0.00,3500.00,0.00,9185.00,0.00,17375.45,17375.45,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,4,2609.49,0.00,0.00,2147.00,0.00,3500.00,0.00,9185.00,0.00,17441.49,17441.49,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,5,2522.42,0.00,0.00,2147.00,70.00,3500.00,0.00,9185.00,0.00,17424.42,17424.42,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,6,2673.20,0.00,0.00,2147.00,0.00,3500.00,0.00,9185.00,0.00,17505.20,17505.20,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,7,2825.96,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,17828.96,17828.96,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,8,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,9,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,10,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,11,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2025,12,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,1,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,2,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,3,0.00,0.00,0.00,2318.00,0.00,3500.00,0.00,9185.00,0.00,15003.00,15003.00,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,4,0.00,0.00,0.00,2459.78,0.00,3500.00,0.00,9185.00,0.00,15144.78,15144.78,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,5,0.00,0.00,0.00,2459.78,0.00,3500.00,0.00,9185.00,0.00,15144.78,15144.78,sim,0.00,20864.78,1,2026-09-01
GABRIEL MAGNO,GABRIEL MAGNO,2026,6,0.00,0.00,0.00,2459.78,0.00,3500.00,0.00,9185.00,0.00,15144.78,15144.78,sim,0.00,20864.78,1,2026-09-01
HERMETO,HERMETO,2023,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sim,0.00,17681.99,1,2026-09-01
HERMETO,HERMETO,2023,2,0.00,0.00,0.00,5500.00,1494.56,0.00,0.00,4000.00,0.00,10994.56,10994.56,sim,0.00,17681.99,1,2026-09-01
HERMETO,HERMETO,2023,3,0.00,0.00,0.00,5500.00,2583.51,0.00,0.00,4000.00,0.00,12083.51,12083.51,sim,0.00,17681.99,1,2026-09-01
