deputado,chave,ano,mes,total_no_quadro,total_nos_comprovantes,diferenca,comprovantes,concordam,as_of_quadro,as_of_comprovantes
FÁBIO FÉLIX,FABIO FELIX,2023,7,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,8,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,9,9864.99,5400.00,4464.99,2,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,10,7366.29,7252.27,114.02,2,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,11,7651.55,8440.56,'-789.01,8,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,12,7504.93,7505.97,'-1.04,6,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,1,10654.38,2700.00,7954.38,1,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,2,10654.33,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,3,12468.18,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,4,9714.38,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,5,9633.14,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,6,9619.73,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,7,10493.83,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,8,9596.53,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,9,10525.85,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,10,10571.97,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,11,11052.05,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2024,12,11006.47,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,1,10999.16,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,2,11659.43,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,3,12189.92,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,4,12785.79,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,5,6401.27,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,6,10640.28,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,7,12229.33,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,8,11949.05,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,9,10910.34,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,10,10932.36,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,11,10932.36,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2025,12,10962.84,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,1,13727.90,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,2,13736.31,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,3,14655.81,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,4,13685.45,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,5,14352.24,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2026,6,12009.48,,,0,não,2026-09-01,2026-08-11T18:09:30
,GABRIEL MAGNO,2022,12,,179.60,,1,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,1,8445.84,8445.84,0.00,4,sim,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,2,9784.52,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,3,9330.88,18573.14,'-9242.26,10,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,4,9337.97,9337.97,0.00,6,sim,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,5,9917.62,10577.60,'-659.98,12,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,6,10823.59,619.82,10203.77,3,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,7,10449.52,872.40,9577.12,5,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,8,10455.40,9827.36,628.04,9,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,9,12255.95,10913.67,1342.28,11,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,10,11767.79,21322.21,'-9554.42,17,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,11,11478.39,11479.92,'-1.53,10,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2023,12,14885.33,14886.86,'-1.53,10,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,1,13751.17,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,2,16675.73,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,3,16985.08,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,4,17247.18,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,5,17730.48,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,6,16442.81,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,7,16200.09,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,8,16323.32,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,9,16385.47,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,10,16355.91,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,11,16046.58,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2024,12,16018.75,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,1,16476.33,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,2,16525.53,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,3,17375.45,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,4,17441.49,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,5,17424.42,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,6,17505.20,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,7,17828.96,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,8,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,9,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,10,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,11,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2025,12,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,1,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,2,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,3,15003.00,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,4,15144.78,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,5,15144.78,,,0,não,2026-09-01,2026-08-11T18:09:30
GABRIEL MAGNO,GABRIEL MAGNO,2026,6,15144.78,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,1,0.00,13624.65,'-13624.65,10,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,2,10994.56,10994.56,0.00,9,sim,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,3,12083.51,12083.51,0.00,15,sim,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,4,11781.66,11781.66,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,5,11121.71,11121.71,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,6,11762.27,11762.27,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,7,15704.82,15795.31,'-90.49,15,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,8,15439.34,15597.55,'-158.21,14,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,9,15824.06,15435.36,388.70,13,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,10,15968.44,15477.13,491.31,15,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,11,16073.00,16178.82,'-105.82,16,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2023,12,16399.93,15613.25,786.68,14,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,1,14484.59,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,2,15707.03,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,3,15393.57,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,4,15626.68,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,5,15481.31,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,6,14717.86,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,7,14613.81,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,8,15343.97,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,9,15022.31,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,10,16139.91,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,11,15638.62,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2024,12,15736.66,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,1,15574.47,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,2,16819.32,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,3,16620.88,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,4,17147.04,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,5,17356.91,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,6,16624.88,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,7,14667.45,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,8,14917.10,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,9,14774.14,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,10,15088.30,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,11,15124.50,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2025,12,15134.24,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,1,15066.33,15196.95,'-130.62,6,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,2,15080.88,15195.59,'-114.71,6,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,3,15040.12,15159.79,'-119.67,6,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,4,17118.58,17250.92,'-132.34,6,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,5,17026.00,,,0,não,2026-09-01,2026-08-11T18:09:30
HERMETO,HERMETO,2026,6,16746.00,17137.37,'-391.37,6,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,1,5500.00,4000.00,1500.00,1,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,2,9949.27,6949.27,3000.00,3,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,3,15391.50,15391.50,0.00,4,sim,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,4,16990.38,10800.00,6190.38,2,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,5,16018.00,16990.38,'-972.38,4,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,6,17874.38,20018.00,'-2143.62,5,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,7,16775.29,10475.29,6300.00,3,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,8,17830.21,15300.00,2530.21,3,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,9,17694.90,13830.21,3864.69,3,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,10,17319.90,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,11,17967.51,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2023,12,18340.06,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,1,16724.08,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,2,17331.28,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,3,17833.12,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,4,17302.41,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,5,12989.28,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,6,13021.66,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,7,12611.06,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,8,13571.31,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,9,16603.90,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,10,17089.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,11,19803.83,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2024,12,18914.64,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,1,18353.45,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,2,20583.83,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,3,18379.19,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,4,18123.50,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,5,18424.85,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,6,17928.73,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,7,15941.89,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,8,15600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,9,15600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,10,15600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,11,15600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2025,12,15600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,1,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,2,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,3,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,4,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,5,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
IOLANDO ALMEIDA,IOLANDO,2026,6,17600.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,2,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,3,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,4,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,5,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,7,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,8,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,9,2000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,10,5000.00,2000.00,3000.00,1,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,11,6541.00,6541.00,0.00,10,sim,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2023,12,0.00,5000.00,'-5000.00,1,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,1,11649.99,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,2,11752.23,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,3,12712.16,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,4,11251.62,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,5,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,6,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,7,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,8,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,9,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,10,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,11,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2024,12,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,1,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,2,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,3,13500.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,4,13166.66,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,5,15000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,6,15000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,7,15000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,8,14193.54,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,9,10000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,10,15000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,11,12883.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2025,12,10000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,1,10000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,2,11666.66,10000.00,1666.66,3,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,3,15000.00,11666.66,3333.34,4,não,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,4,15000.00,15000.00,0.00,4,sim,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,5,15000.00,15000.00,0.00,4,sim,2026-09-01,2026-08-11T18:09:30
JAQUELINE SILVA,JAQUELINE SILVA,2026,6,10000.00,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,1,6350.63,6350.63,0.00,11,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,2,6447.96,6447.96,0.00,11,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,3,7190.46,7190.46,0.00,14,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,4,7090.58,7060.58,30.00,14,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,5,7510.02,7510.02,0.00,16,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,6,6558.64,6558.64,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,7,6461.71,6461.71,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,8,6814.38,6814.38,0.00,13,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,9,7546.16,7546.16,0.00,16,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,10,7119.83,7119.83,0.00,14,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,11,6771.09,6771.09,0.00,12,sim,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2023,12,6802.21,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,1,6325.62,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,2,6388.72,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,3,6776.91,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,4,8031.43,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,5,7500.55,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,6,7620.33,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,7,5918.29,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,8,6839.17,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,9,6026.44,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,10,8079.16,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,11,7404.38,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2024,12,7011.94,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,1,6536.31,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,2,8371.70,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,3,14594.05,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,4,14115.74,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,5,15471.01,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,6,12407.66,,,0,não,2026-09-01,2026-08-11T18:09:30
JOÃO CARDOSO,JOAO CARDOSO,2025,7,12211.20,,,0,não,2026-09-01,2026-08-11T18:09:30
