ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,vl_emenda,vl_lei_alteracao,vl_bloqueado_siggo,vl_disponivel,vl_empenhado,vl_desbloqueado,vl_saldo_a_solicitar,vl_liquidado,as_of
2021,2023-01-04,611,LOA - 6778/2021(PL1417-2021),00546.01,15.752.6209.1836.7046,não,ATIVO,190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,612,LOA - 6778/2021(PL1417-2021),00195.01,18.541.6210.9088.0008,não,ATIVO,280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-06-18,613,LOA - 6778/2021(PL1417-2021),00076.01,15.451.6209.1836.7031,não,ATIVO,190110,ADM. REG. DO NÚCLEO BANDEIRANTE,"1.800.000,00","1.800.000,00","0,00","67.849,34","1.732.150,66","1.800.000,00","0,00","1.732.150,66",2025-12-16T18:14:28.151388
2021,2021-04-29,614,LOA - 6778/2021(PL1417-2021),00014.01,14.243.6211.9078.0036,não,CANCELADO,670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,615,LOA - 6778/2021(PL1417-2021),00072.01,13.392.6219.9075.0172,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"3.439.358,00","3.439.358,00","358,00","1.873,26","3.437.126,74","3.439.000,00","358,00","3.437.126,74",2025-12-16T18:14:28.151388
2021,2023-01-04,616,LOA - 6778/2021(PL1417-2021),00161.01,15.122.6209.1968.3230,não,ATIVO,190201,COMPANHIA URBANIZADORA DA NOVA CAPITAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-28,617,LOA - 6778/2021(PL1417-2021),00174.01,08.244.6228.9107.0066,não,CANCELADO,180101,SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-29,618,LOA - 6778/2021(PL1417-2021),00176.01,14.422.6211.9107.0067,não,ATIVO,440101,SECRETARIA DE ESTADO DE JUSTIÇA E CIDADANIA,"550.000,00","550.000,00","100.000,00","373,99","449.626,01","450.000,00","100.000,00","299.751,06",2025-12-16T18:14:28.151388
2021,2021-04-16,620,LOA - 6778/2021(PL1417-2021),00125.01,13.392.6219.9075.0166,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"380.000,00","380.000,00","230.000,00","150,00","149.850,00","150.000,00","230.000,00","100.000,00",2025-12-16T18:14:28.151388
2021,2021-04-16,621,LOA - 6778/2021(PL1417-2021),00375.01,13.392.6219.9075.0173,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"2.700.000,00","2.700.000,00","3.000,00","1.475,76","2.695.524,24","2.697.000,00","3.000,00","2.695.524,24",2025-12-16T18:14:28.151388
2021,2021-04-26,622,LOA - 6778/2021(PL1417-2021),00555.01,13.392.6219.4090.6136,não,CANCELADO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,623,LOA - 6778/2021(PL1417-2021),00131.01,27.811.6206.9080.0073,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"200.000,00","200.000,00","175.000,00","35,36","24.964,64","25.000,00","175.000,00","24.964,64",2025-12-16T18:14:28.151388
2021,2021-04-16,624,LOA - 6778/2021(PL1417-2021),00130.01,27.811.6206.9080.0072,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"200.000,00","200.000,00","200.000,00","0,00","0,00","0,00","200.000,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,625,LOA - 6778/2021(PL1417-2021),00376.01,27.812.6206.9080.0083,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"990.000,00","990.000,00","0,00","990.000,00","0,00","990.000,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,626,LOA - 6778/2021(PL1417-2021),00159.01,20.845.6201.9107.0074,não,ATIVO,210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL","410.000,00","410.000,00","0,00","0,00","410.000,00","410.000,00","0,00","410.000,00",2025-12-16T18:14:28.151388
2021,2023-01-04,628,LOA - 6778/2021(PL1417-2021),00352.01,23.695.6207.1968.3232,não,ATIVO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
