ano,mes,mes_numero,empenhado_total_publicado,empenhado_classificacao_somada,empenhado_diferenca,liquidado_total_publicado,liquidado_classificacao_somada,liquidado_diferenca,pago_total_publicado,pago_classificacao_somada,pago_diferenca,superficies_que_declaram_o_mes,as_of
2024,Dezembro,12,"75.269.430,49","75.269.430,49","0,00","116.023.708,03","116.023.708,03","0,00","115.887.793,01","115.887.793,01","0,00",2,2026-08-07T20:00:31
2025,Janeiro,1,"171.791.779,02","171.791.779,02","0,00","55.168.169,18","55.168.169,18","0,00","54.461.934,58","54.461.934,58","0,00",2,2026-08-07T20:00:31
2025,Fevereiro,2,"79.178.875,96","79.178.875,96","0,00","58.435.878,66","58.435.878,66","0,00","58.132.485,33","58.132.485,33","0,00",2,2026-08-07T20:00:31
2025,Março,3,"52.326.369,47","52.326.369,47","0,00","61.928.657,05","61.928.657,05","0,00","61.920.615,19","61.920.615,19","0,00",2,2026-08-07T20:00:31
2025,Abril,4,"55.472.471,84","55.472.471,84","0,00","61.253.709,56","61.253.709,56","0,00","61.021.634,18","61.021.634,18","0,00",2,2026-08-07T20:00:31
2025,Maio,5,"58.647.530,44","58.647.530,44","0,00","62.845.458,22","62.845.458,22","0,00","62.033.925,28","62.033.925,28","0,00",2,2026-08-07T20:00:31
2025,Junho,6,"58.640.662,95","58.640.662,95","0,00","68.390.794,39","68.390.794,39","0,00","68.859.079,87","68.859.079,87","0,00",2,2026-08-07T20:00:31
2025,Julho,7,"56.417.746,70","56.417.746,70","0,00","63.445.432,10","63.445.432,10","0,00","64.033.491,11","64.033.491,11","0,00",2,2026-08-07T20:00:31
2025,Agosto,8,"48.405.912,05","48.405.912,05","0,00","59.893.295,74","59.893.295,74","0,00","59.153.107,16","59.153.107,16","0,00",2,2026-08-07T20:00:31
2025,Setembro,9,"61.430.421,68","61.430.421,68","0,00","70.315.618,55","70.315.618,55","0,00","70.459.018,38","70.459.018,38","0,00",2,2026-08-07T20:00:31
2025,Outubro,10,"50.355.922,46","50.355.922,46","0,00","68.427.208,67","68.427.208,67","0,00","67.745.260,30","67.745.260,30","0,00",2,2026-08-07T20:00:31
2025,Novembro,11,"84.656.266,90","84.656.266,90","0,00","88.736.096,55","88.736.096,55","0,00","71.796.118,68","71.796.118,68","0,00",2,2026-08-07T20:00:31
2025,Dezembro,12,"76.381.068,17","76.381.068,17","0,00","85.365.726,44","85.365.726,44","0,00","103.494.299,14","103.494.299,14","0,00",2,2026-08-07T20:00:31
2026,Janeiro,1,"183.885.832,06","183.885.832,06","0,00","56.692.350,45","56.692.350,45","0,00","55.872.688,89","55.872.688,89","0,00",2,2026-08-07T20:00:31
2026,Fevereiro,2,"71.810.503,70","71.810.503,70","0,00","61.032.524,91","61.032.524,91","0,00","60.777.050,81","60.777.050,81","0,00",2,2026-08-07T20:00:31
2026,Março,3,"74.716.052,60","74.716.052,60","0,00","64.160.801,69","64.160.801,69","0,00","64.187.140,56","64.187.140,56","0,00",2,2026-08-07T20:00:31
2026,Abril,4,"62.582.051,76","62.582.051,76","0,00","66.025.954,96","66.025.954,96","0,00","65.889.661,77","65.889.661,77","0,00",2,2026-08-07T20:00:31
2026,Maio,5,"55.929.314,57","55.929.314,57","0,00","64.666.250,81","64.666.250,81","0,00","64.605.661,91","64.605.661,91","0,00",2,2026-08-07T20:00:31
2026,Junho,6,"63.935.300,03","63.935.300,03","0,00","77.739.182,96","77.739.182,96","0,00","77.394.543,19","77.394.543,19","0,00",2,2026-08-07T20:00:31
2026,Julho,7,"56.318.891,94","56.318.891,94","0,00","77.417.436,01","77.417.436,01","0,00","77.816.687,00","77.816.687,00","0,00",2,2026-08-07T20:00:31
