ano,autor,tipoProposicao,apresentadas_como_autor_unico,apresentadas_com_coautoria
2024,Deputado Thiago Manzoni,Indicação,17,17
2024,Deputado Thiago Manzoni,Moção,30,30
2024,Deputado Thiago Manzoni,Projeto de Decreto Legislativo,8,11
2024,Deputado Thiago Manzoni,Projeto de Lei,13,14
2024,Deputado Thiago Manzoni,Projeto de Lei Complementar,1,1
2024,Deputado Thiago Manzoni,Projeto de Resolução,0,3
2024,Deputado Thiago Manzoni,Recurso,0,1
2024,Deputado Thiago Manzoni,Requerimento,15,71
2024,Deputado Wellington Luiz,Indicação,30,31
2024,Deputado Wellington Luiz,Moção,16,20
2024,Deputado Wellington Luiz,Projeto de Decreto Legislativo,17,21
2024,Deputado Wellington Luiz,Projeto de Lei,33,37
2024,Deputado Wellington Luiz,Projeto de Resolução,0,3
2024,Deputado Wellington Luiz,Proposta de Emenda à Lei Orgânica,0,3
2024,Deputado Wellington Luiz,Requerimento,11,61
2024,Mesa Diretora,Projeto de Lei,3,3
2024,Mesa Diretora,Projeto de Resolução,5,5
2024,Mesa Diretora,Requerimento,1,1
2024,Orçamento e Finanças,Projeto de Decreto Legislativo,0,2
2024,Poder Executivo,Proc,10,10
2024,Poder Executivo,Projeto de Lei,108,108
2024,Poder Executivo,Projeto de Lei Complementar,10,10
2024,Tribunal de Contas do Distrito Federal,Projeto de Lei,3,3
2025,Comissão de Assuntos Fundiários,Requerimento,1,1
2025,Comissão de Constituição e Justiça,Projeto de Decreto Legislativo,1,1
2025,Comissão de Defesa dos Direitos da Mulher,Requerimento,1,1
2025,Comissão de Desenvolvimento Econômico Sustentável Ciência Tecnologia Meio Ambiente e Turismo,Projeto de Decreto Legislativo,2,2
2025,Comissão de Economia,Projeto de Decreto Legislativo,0,14
2025,Comissão de Fiscalização Governança Transparência Controle,Indicação,1,1
2025,Comissão de Saúde,Projeto de Decreto Legislativo,1,1
2025,Comissão de Saúde,Requerimento,2,2
2025,Defensoria Pública do Distrito Federal,Projeto de Lei,1,1
2025,Deputada Dayse Amarilio,Indicação,43,43
2025,Deputada Dayse Amarilio,Moção,44,47
2025,Deputada Dayse Amarilio,Projeto de Decreto Legislativo,0,1
2025,Deputada Dayse Amarilio,Projeto de Lei,8,12
2025,Deputada Dayse Amarilio,Projeto de Resolução,1,1
2025,Deputada Dayse Amarilio,Requerimento,60,73
2025,Deputada Doutora Jane,Indicação,71,71
2025,Deputada Doutora Jane,Moção,48,54
2025,Deputada Doutora Jane,Projeto de Decreto Legislativo,1,2
2025,Deputada Doutora Jane,Projeto de Lei,13,16
2025,Deputada Doutora Jane,Projeto de Resolução,0,3
2025,Deputada Doutora Jane,Requerimento,18,21
2025,Deputada Jaqueline Silva,Indicação,139,139
2025,Deputada Jaqueline Silva,Moção,10,10
2025,Deputada Jaqueline Silva,Projeto de Decreto Legislativo,8,8
2025,Deputada Jaqueline Silva,Projeto de Lei,22,25
2025,Deputada Jaqueline Silva,Requerimento,15,18
2025,Deputada Paula Belmonte,Indicação,14,15
2025,Deputada Paula Belmonte,Moção,19,20
2025,Deputada Paula Belmonte,Projeto de Decreto Legislativo,7,7
2025,Deputada Paula Belmonte,Projeto de Lei,15,19
2025,Deputada Paula Belmonte,Projeto de Resolução,2,3
2025,Deputada Paula Belmonte,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputada Paula Belmonte,Requerimento,77,90
2025,Deputado Chico Vigilante,Indicação,4,6
2025,Deputado Chico Vigilante,Moção,5,7
2025,Deputado Chico Vigilante,Projeto de Decreto Legislativo,5,10
2025,Deputado Chico Vigilante,Projeto de Lei,7,12
2025,Deputado Chico Vigilante,Projeto de Resolução,1,2
2025,Deputado Chico Vigilante,Requerimento,16,29
2025,Deputado Daniel Donizet,Indicação,21,21
2025,Deputado Daniel Donizet,Moção,3,3
2025,Deputado Daniel Donizet,Projeto de Decreto Legislativo,0,1
2025,Deputado Daniel Donizet,Projeto de Lei,1,1
2025,Deputado Daniel Donizet,Proposta de Emenda à Lei Orgânica,0,1
2025,Deputado Daniel Donizet,Requerimento,3,6
2025,Deputado Eduardo Pedrosa,Indicação,2,4
2025,Deputado Eduardo Pedrosa,Moção,57,67
2025,Deputado Eduardo Pedrosa,Projeto de Decreto Legislativo,16,16
2025,Deputado Eduardo Pedrosa,Projeto de Lei,26,27
2025,Deputado Eduardo Pedrosa,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Eduardo Pedrosa,Requerimento,23,37
2025,Deputado Fábio Felix,Indicação,50,51
2025,Deputado Fábio Felix,Moção,13,13
2025,Deputado Fábio Felix,Projeto de Decreto Legislativo,2,7
2025,Deputado Fábio Felix,Projeto de Lei,17,23
2025,Deputado Fábio Felix,Projeto de Lei Complementar,1,1
2025,Deputado Fábio Felix,Projeto de Resolução,0,1
2025,Deputado Fábio Felix,Questão de Ordem,1,1
2025,Deputado Fábio Felix,Requerimento,194,199
2025,Deputado Gabriel Magno,Indicação,31,33
2025,Deputado Gabriel Magno,Moção,34,36
2025,Deputado Gabriel Magno,Projeto de Decreto Legislativo,4,6
2025,Deputado Gabriel Magno,Projeto de Lei,7,12
2025,Deputado Gabriel Magno,Projeto de Lei Complementar,1,1
2025,Deputado Gabriel Magno,Requerimento,56,71
2025,Deputado Hermeto,Indicação,40,41
2025,Deputado Hermeto,Moção,66,68
2025,Deputado Hermeto,Projeto de Decreto Legislativo,3,6
2025,Deputado Hermeto,Projeto de Lei,16,18
2025,Deputado Hermeto,Projeto de Resolução,1,1
2025,Deputado Hermeto,Requerimento,15,18
2025,Deputado Iolando,Indicação,26,27
2025,Deputado Iolando,Moção,14,14
2025,Deputado Iolando,Projeto de Decreto Legislativo,4,4
2025,Deputado Iolando,Projeto de Lei,56,59
2025,Deputado Iolando,Projeto de Resolução,1,1
2025,Deputado Iolando,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Iolando,Requerimento,13,26
2025,Deputado Joaquim Roriz Neto,Indicação,1490,1490
2025,Deputado Joaquim Roriz Neto,Moção,3,3
2025,Deputado Joaquim Roriz Neto,Projeto de Decreto Legislativo,1,2
2025,Deputado Joaquim Roriz Neto,Projeto de Lei,10,11
2025,Deputado Joaquim Roriz Neto,Projeto de Resolução,1,1
2025,Deputado Joaquim Roriz Neto,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Joaquim Roriz Neto,Requerimento,8,13
2025,Deputado Jorge Vianna,Indicação,12,13
2025,Deputado Jorge Vianna,Moção,68,75
2025,Deputado Jorge Vianna,Projeto de Decreto Legislativo,6,8
2025,Deputado Jorge Vianna,Projeto de Lei,20,20
2025,Deputado Jorge Vianna,Projeto de Resolução,1,1
2025,Deputado Jorge Vianna,Requerimento,26,33
2025,Deputado João Cardoso,Indicação,3,3
2025,Deputado João Cardoso,Moção,18,22
2025,Deputado João Cardoso,Projeto de Decreto Legislativo,7,7
2025,Deputado João Cardoso,Projeto de Lei,17,18
2025,Deputado João Cardoso,Requerimento,13,20
2025,Deputado Martins Machado,Indicação,11,11
2025,Deputado Martins Machado,Moção,34,42
2025,Deputado Martins Machado,Projeto de Decreto Legislativo,8,8
2025,Deputado Martins Machado,Projeto de Lei,11,12
2025,Deputado Martins Machado,Projeto de Lei Complementar,1,1
2025,Deputado Martins Machado,Requerimento,16,27
2025,Deputado Max Maciel,Indicação,190,191
2025,Deputado Max Maciel,Moção,10,11
2025,Deputado Max Maciel,Projeto de Decreto Legislativo,3,5
2025,Deputado Max Maciel,Projeto de Lei,10,13
2025,Deputado Max Maciel,Requerimento,55,61
2025,Deputado Pastor Daniel de Castro,Indicação,113,116
2025,Deputado Pastor Daniel de Castro,Moção,24,29
2025,Deputado Pastor Daniel de Castro,Projeto de Decreto Legislativo,13,13
2025,Deputado Pastor Daniel de Castro,Projeto de Lei,72,76
2025,Deputado Pastor Daniel de Castro,Projeto de Lei Complementar,3,3
2025,Deputado Pastor Daniel de Castro,Projeto de Resolução,2,3
2025,Deputado Pastor Daniel de Castro,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Pastor Daniel de Castro,Requerimento,13,24
2025,Deputado Pepa,Indicação,104,110
2025,Deputado Pepa,Moção,8,10
2025,Deputado Pepa,Projeto de Decreto Legislativo,5,5
2025,Deputado Pepa,Projeto de Lei,17,18
2025,Deputado Pepa,Proposta de Emenda à Lei Orgânica,0,1
2025,Deputado Pepa,Requerimento,7,17
2025,Deputado Ricardo Vale,Indicação,113,114
2025,Deputado Ricardo Vale,Moção,17,25
2025,Deputado Ricardo Vale,Projeto de Decreto Legislativo,7,8
2025,Deputado Ricardo Vale,Projeto de Lei,17,20
2025,Deputado Ricardo Vale,Projeto de Lei Complementar,1,1
2025,Deputado Ricardo Vale,Requerimento,16,31
2025,Deputado Robério Negreiros,Indicação,32,32
2025,Deputado Robério Negreiros,Moção,13,14
2025,Deputado Robério Negreiros,Projeto de Decreto Legislativo,2,2
2025,Deputado Robério Negreiros,Projeto de Lei,41,42
2025,Deputado Robério Negreiros,Projeto de Resolução,0,1
2025,Deputado Robério Negreiros,Proposta de Emenda à Lei Orgânica,0,1
2025,Deputado Robério Negreiros,Requerimento,8,17
2025,Deputado Rogério Morro da Cruz,Indicação,35,37
2025,Deputado Rogério Morro da Cruz,Moção,14,16
2025,Deputado Rogério Morro da Cruz,Projeto de Decreto Legislativo,5,6
2025,Deputado Rogério Morro da Cruz,Projeto de Lei,22,24
2025,Deputado Rogério Morro da Cruz,Projeto de Lei Complementar,2,2
2025,Deputado Rogério Morro da Cruz,Projeto de Resolução,1,1
2025,Deputado Rogério Morro da Cruz,Proposta de Emenda à Lei Orgânica,0,1
2025,Deputado Rogério Morro da Cruz,Requerimento,24,37
2025,Deputado Roosevelt Vilela,Indicação,4,4
2025,Deputado Roosevelt Vilela,Moção,39,39
2025,Deputado Roosevelt Vilela,Projeto de Decreto Legislativo,6,6
2025,Deputado Roosevelt Vilela,Projeto de Lei,33,34
2025,Deputado Roosevelt Vilela,Projeto de Lei Complementar,2,2
2025,Deputado Roosevelt Vilela,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Roosevelt Vilela,Requerimento,18,28
2025,Deputado Roosevelt Vilela Pires,Projeto de Lei,1,1
2025,Deputado Thiago Manzoni,Indicação,19,19
2025,Deputado Thiago Manzoni,Moção,12,12
2025,Deputado Thiago Manzoni,Projeto de Decreto Legislativo,10,10
2025,Deputado Thiago Manzoni,Projeto de Lei,14,15
2025,Deputado Thiago Manzoni,Projeto de Resolução,1,1
2025,Deputado Thiago Manzoni,Proposta de Emenda à Lei Orgânica,0,2
2025,Deputado Thiago Manzoni,Requerimento,11,23
2025,Deputado Wellington Luiz,Indicação,85,86
2025,Deputado Wellington Luiz,Moção,26,26
2025,Deputado Wellington Luiz,Projeto de Decreto Legislativo,9,12
2025,Deputado Wellington Luiz,Projeto de Lei,20,23
2025,Deputado Wellington Luiz,Projeto de Lei Complementar,2,2
2025,Deputado Wellington Luiz,Projeto de Resolução,0,2
2025,Deputado Wellington Luiz,Requerimento,18,23
2025,Mesa Diretora,Projeto de Decreto Legislativo,1,1
2025,Mesa Diretora,Projeto de Lei,1,1
2025,Mesa Diretora,Projeto de Resolução,8,8
2025,Orçamento e Finanças,Projeto de Decreto Legislativo,0,14
2025,Poder Executivo,Proc,20,20
2025,Poder Executivo,Projeto de Lei,99,99
2025,Poder Executivo,Projeto de Lei Complementar,20,20
2025,Poder Executivo,Proposta de Emenda à Lei Orgânica,1,1
2025,Tribunal de Contas do Distrito Federal,Projeto de Lei,1,1
2025,Tribunal de Contas do Distrito Federal,Projeto de Lei Complementar,1,1
2026,Comissão Parlamentar de Inquérito do Rio Melchior,Indicação,5,5
2026,Comissão Parlamentar de Inquérito do Rio Melchior,Projeto de Lei,4,4
2026,Comissão de Constituição e Justiça,Projeto de Decreto Legislativo,1,1
2026,Comissão de Economia,Projeto de Decreto Legislativo,0,2
2026,Comissão de Economia,Requerimento,0,3
2026,Comissão de Educação e Cultura,Requerimento,6,6
2026,Comissão de Fiscalização Governança Transparência Controle,Indicação,1,1
2026,Comissão de Saúde,Projeto de Decreto Legislativo,1,1
2026,Comissão de Saúde,Requerimento,15,15
2026,Defensoria Pública do Distrito Federal,Projeto de Lei Complementar,1,1
2026,Deputada Dayse Amarilio,Indicação,17,19
2026,Deputada Dayse Amarilio,Moção,39,39
2026,Deputada Dayse Amarilio,Projeto de Decreto Legislativo,3,3
2026,Deputada Dayse Amarilio,Projeto de Lei,7,9
2026,Deputada Dayse Amarilio,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputada Dayse Amarilio,Requerimento,30,36
2026,Deputada Doutora Jane,Indicação,40,40
2026,Deputada Doutora Jane,Moção,18,19
2026,Deputada Doutora Jane,Projeto de Decreto Legislativo,9,9
2026,Deputada Doutora Jane,Projeto de Lei,8,11
2026,Deputada Doutora Jane,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputada Doutora Jane,Requerimento,14,17
2026,Deputada Jaqueline Silva,Indicação,209,209
2026,Deputada Jaqueline Silva,Moção,19,19
2026,Deputada Jaqueline Silva,Projeto de Decreto Legislativo,1,1
2026,Deputada Jaqueline Silva,Projeto de Lei,7,8
2026,Deputada Jaqueline Silva,Projeto de Resolução,2,2
2026,Deputada Jaqueline Silva,Requerimento,8,8
2026,Deputada Paula Belmonte,Indicação,0,2
2026,Deputada Paula Belmonte,Moção,11,11
2026,Deputada Paula Belmonte,Projeto de Decreto Legislativo,12,12
2026,Deputada Paula Belmonte,Projeto de Lei,5,6
2026,Deputada Paula Belmonte,Projeto de Resolução,2,2
2026,Deputada Paula Belmonte,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputada Paula Belmonte,Requerimento,29,32
2026,Deputado Chico Vigilante,Indicação,0,3
2026,Deputado Chico Vigilante,Moção,3,6
2026,Deputado Chico Vigilante,Projeto de Decreto Legislativo,1,1
2026,Deputado Chico Vigilante,Projeto de Lei,2,7
2026,Deputado Chico Vigilante,Projeto de Resolução,1,1
2026,Deputado Chico Vigilante,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Chico Vigilante,Requerimento,6,26
2026,Deputado Daniel Donizet,Indicação,8,8
2026,Deputado Daniel Donizet,Moção,1,1
2026,Deputado Daniel Donizet,Projeto de Lei,5,7
2026,Deputado Daniel Donizet,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Daniel Donizet,Requerimento,11,12
2026,Deputado Eduardo Pedrosa,Indicação,2,2
2026,Deputado Eduardo Pedrosa,Moção,23,24
2026,Deputado Eduardo Pedrosa,Projeto de Decreto Legislativo,10,10
2026,Deputado Eduardo Pedrosa,Projeto de Lei,32,32
2026,Deputado Eduardo Pedrosa,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Eduardo Pedrosa,Requerimento,18,22
2026,Deputado Fábio Felix,Indicação,5,5
2026,Deputado Fábio Felix,Moção,8,8
2026,Deputado Fábio Felix,Projeto de Decreto Legislativo,1,1
2026,Deputado Fábio Felix,Projeto de Lei,12,12
2026,Deputado Fábio Felix,Projeto de Lei Complementar,1,1
2026,Deputado Fábio Felix,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Fábio Felix,Requerimento,43,46
2026,Deputado Gabriel Magno,Indicação,9,9
2026,Deputado Gabriel Magno,Moção,19,20
2026,Deputado Gabriel Magno,Projeto de Decreto Legislativo,1,1
2026,Deputado Gabriel Magno,Projeto de Lei,2,2
2026,Deputado Gabriel Magno,Projeto de Resolução,1,1
2026,Deputado Gabriel Magno,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Gabriel Magno,Requerimento,137,155
2026,Deputado Hermeto,Indicação,9,9
2026,Deputado Hermeto,Moção,35,35
2026,Deputado Hermeto,Projeto de Decreto Legislativo,1,1
2026,Deputado Hermeto,Projeto de Lei,7,7
2026,Deputado Hermeto,Projeto de Lei Complementar,0,1
2026,Deputado Hermeto,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Hermeto,Requerimento,7,7
2026,Deputado Iolando,Indicação,24,24
2026,Deputado Iolando,Moção,4,4
2026,Deputado Iolando,Projeto de Decreto Legislativo,4,4
2026,Deputado Iolando,Projeto de Lei,26,26
2026,Deputado Iolando,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Iolando,Requerimento,5,5
2026,Deputado Joaquim Roriz Neto,Indicação,830,832
2026,Deputado Joaquim Roriz Neto,Projeto de Lei,5,5
2026,Deputado Joaquim Roriz Neto,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Joaquim Roriz Neto,Requerimento,1,1
2026,Deputado Jorge Vianna,Indicação,12,12
2026,Deputado Jorge Vianna,Moção,33,35
2026,Deputado Jorge Vianna,Projeto de Decreto Legislativo,4,4
2026,Deputado Jorge Vianna,Projeto de Lei,7,8
2026,Deputado Jorge Vianna,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado Jorge Vianna,Requerimento,19,20
2026,Deputado João Cardoso,Indicação,5,5
2026,Deputado João Cardoso,Moção,16,17
2026,Deputado João Cardoso,Projeto de Decreto Legislativo,3,3
2026,Deputado João Cardoso,Projeto de Lei,10,12
2026,Deputado João Cardoso,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado João Cardoso,Requerimento,10,12
2026,Deputado Martins Machado,Indicação,6,6
2026,Deputado Martins Machado,Moção,20,20
2026,Deputado Martins Machado,Projeto de Decreto Legislativo,1,1
2026,Deputado Martins Machado,Projeto de Lei,4,4
2026,Deputado Martins Machado,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado Martins Machado,Requerimento,12,15
2026,Deputado Max Maciel,Indicação,33,33
2026,Deputado Max Maciel,Moção,8,8
2026,Deputado Max Maciel,Projeto de Decreto Legislativo,2,2
2026,Deputado Max Maciel,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Max Maciel,Requerimento,15,19
2026,Deputado Pastor Daniel de Castro,Indicação,14,14
2026,Deputado Pastor Daniel de Castro,Moção,8,11
2026,Deputado Pastor Daniel de Castro,Projeto de Decreto Legislativo,5,7
2026,Deputado Pastor Daniel de Castro,Projeto de Lei,41,46
2026,Deputado Pastor Daniel de Castro,Projeto de Resolução,1,5
2026,Deputado Pastor Daniel de Castro,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado Pastor Daniel de Castro,Requerimento,9,10
2026,Deputado Pepa,Indicação,45,45
2026,Deputado Pepa,Projeto de Decreto Legislativo,8,8
2026,Deputado Pepa,Projeto de Lei,19,20
2026,Deputado Pepa,Projeto de Lei Complementar,1,2
2026,Deputado Pepa,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado Pepa,Requerimento,3,4
2026,Deputado Ricardo Vale,Indicação,26,26
2026,Deputado Ricardo Vale,Moção,13,15
2026,Deputado Ricardo Vale,Projeto de Decreto Legislativo,3,3
2026,Deputado Ricardo Vale,Projeto de Lei,11,11
2026,Deputado Ricardo Vale,Requerimento,15,33
2026,Deputado Robério Negreiros,Indicação,12,12
2026,Deputado Robério Negreiros,Moção,5,5
2026,Deputado Robério Negreiros,Projeto de Lei,26,26
2026,Deputado Robério Negreiros,Projeto de Lei Complementar,0,1
2026,Deputado Robério Negreiros,Requerimento,10,11
2026,Deputado Rogério Morro da Cruz,Indicação,3,3
2026,Deputado Rogério Morro da Cruz,Moção,5,10
2026,Deputado Rogério Morro da Cruz,Projeto de Decreto Legislativo,1,1
2026,Deputado Rogério Morro da Cruz,Projeto de Lei,8,8
2026,Deputado Rogério Morro da Cruz,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Rogério Morro da Cruz,Requerimento,6,10
2026,Deputado Roosevelt Vilela,Indicação,1,1
2026,Deputado Roosevelt Vilela,Moção,12,12
2026,Deputado Roosevelt Vilela,Projeto de Decreto Legislativo,5,5
2026,Deputado Roosevelt Vilela,Projeto de Lei,16,17
2026,Deputado Roosevelt Vilela,Projeto de Lei Complementar,1,2
2026,Deputado Roosevelt Vilela,Proposta de Emenda à Lei Orgânica,0,1
2026,Deputado Roosevelt Vilela,Requerimento,12,13
2026,Deputado Thiago Manzoni,Indicação,6,6
2026,Deputado Thiago Manzoni,Moção,2,2
2026,Deputado Thiago Manzoni,Projeto de Decreto Legislativo,2,2
2026,Deputado Thiago Manzoni,Projeto de Lei,10,10
2026,Deputado Thiago Manzoni,Requerimento,17,18
2026,Deputado Wellington Luiz,Indicação,37,37
2026,Deputado Wellington Luiz,Moção,4,4
2026,Deputado Wellington Luiz,Projeto de Decreto Legislativo,5,7
2026,Deputado Wellington Luiz,Projeto de Lei,13,17
2026,Deputado Wellington Luiz,Projeto de Lei Complementar,1,2
2026,Deputado Wellington Luiz,Proposta de Emenda à Lei Orgânica,0,2
2026,Deputado Wellington Luiz,Requerimento,12,13
2026,Mesa Diretora,Projeto de Lei,3,3
2026,Mesa Diretora,Projeto de Resolução,5,5
2026,Orçamento e Finanças,Projeto de Decreto Legislativo,0,2
2026,Orçamento e Finanças,Requerimento,0,3
2026,Poder Executivo,Proc,6,6
2026,Poder Executivo,Projeto de Lei,44,44
2026,Poder Executivo,Projeto de Lei Complementar,10,10
2026,Poder Executivo,Proposta de Emenda à Lei Orgânica,1,1
2026,Sugestão Legislativa,Sugestão Legislativa,1,1
2026,Tribunal de Contas do Distrito Federal,Projeto de Lei,2,2
