ano,tipo_votacao,co_materia,materia,data,votos_sim,votos_nao,abstencoes,votos_nao_informado,total_votos,as_of,ementa
2023,NOMINAL,6917,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 2/2023,2023-06-27,21,0,0,0,21,2026-08-27,"“ALTERA A LEI COMPLEMENTAR Nº 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR AFASTAMENTO ÀS SERVIDORAS VÍTIMAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR."
2023,NOMINAL,6918,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 2/2023,2023-06-27,20,0,0,0,20,2026-08-27,"ALTERA A LEI COMPLEMENTAR Nº 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR AFASTAMENTO ÀS SERVIDORAS VÍTIMAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR."
2023,NOMINAL,6928,2º TURNO PLC Nº 18/2023,2023-06-27,19,0,0,0,19,2026-08-27,"ALTERA A LEI COMPLEMENTAR Nº 840, DE 23 DE DEZEMBRO DE 2011, QUE “DISPÕE SOBRE O REGIME JURÍDICO DOS SERVIDORES PÚBLICOS CIVIS DO DISTRITO FEDERAL, DAS AUTARQUIAS E DAS FUNDAÇÕES PÚBLICAS DISTRITAIS”, PARA CONCEDER JORNADA DE TRABALHO DIFERENCIADA PARA SERVIDORAS LACTANTES."
2023,NOMINAL,6991,1º TURNO PELO Nº 5/2023,2023-06-20,22,0,0,0,22,2026-08-27,DÁ NOVA REDAÇÃO AOS §§ 15 E 16 E ACRESCENTA O § 16-A AO ART. 150 DA LEI ORGÂNICA DO DISTRITO FEDERAL.
2023,NOMINAL,7016,1º TURNO DO PROJETO DE LEI Nº 219/2023,2023-06-20,23,0,0,0,23,2026-08-27,"ALTERA AS LEIS DISTRITAIS NºS 6.468, DE 27 DE DEZEMBRO DE 2019, 7.153, DE 6 DE JUNHO DE 2022, 4.169 DE 8 DE JULHO DE 2008, 4.269, DE 15 DE DEZEMBRO DE 2008, 6.251, DE 27 DE DEZEMBRO DE 2018, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,7020,2º TURNO PL Nº 219/2023,2023-06-20,23,0,0,0,23,2026-08-27,"ALTERA AS LEIS DISTRITAIS NºS 6.468, DE 27 DE DEZEMBRO DE 2019, 7.153, DE 6 DE JUNHO DE 2022, 4.169 DE 8 DE JULHO DE 2008, 4.269, DE 15 DE DEZEMBRO DE 2008, 6.251, DE 27 DE DEZEMBRO DE 2018, E DÁ OUTRAS PROVIDÊNCIAS."
2023,NOMINAL,7040,PARECER CCJ AO PR Nº 8/2023,2023-06-27,12,7,0,0,19,2026-08-27,"INSTITUI O PRÊMIO PAULO FREIRE DE EDUCAÇÃO DA CÂMARA 
LEGISLATIVA DO DISTRITO FEDERAL"
2023,NOMINAL,7046,EMENDA Nº 14 AO PL Nº 3069/2023,2023-06-20,8,15,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7047,EMENDA Nº 15 AO PL Nº 3069/2023,2023-06-20,8,15,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
2023,NOMINAL,7048,EMENDA Nº 16 AO PL Nº 3069/2023,2023-06-20,8,15,0,0,23,2026-08-27,DISPÕE SOBRE A PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE ILUMINAÇÃO PÚBLICA.
