fonte,entidade,campo_normalizado,grafias,n_arquivos,origem_arquivos,tipo_original,rotulo_original,descricao_original,modulo,publicado_em
ckan,contratacao,numerocontrolepncp,NumeroControlePNCP,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,numeroprocesso,NumeroProcesso,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,objeto,OBJETO; Objeto,7,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156); licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7); dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.objeto; obras.objeto
ckan,contratacao,objetocompra,ObjetoCompra,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,objetodocontrato,ObjetoDoContrato,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.objeto
ckan,contratacao,obs,OBS,1,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),text,n/d,n/d,contratacao.py,empresas-sancionadas.observacoes
ckan,contratacao,observacoes,Observações,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.observacoes
ckan,contratacao,percentual_de_conclusao,Percentual de Conclusão,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),numeric,n/d,n/d,contratacao.py,obras.percentual_de_conclusao_na_fonte
ckan,contratacao,pregao_eletronico,Pregão eletrônico,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.pregao_eletronico
ckan,contratacao,previsao_termino,Previsão Término,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),timestamp,n/d,n/d,contratacao.py,obras.previsao_termino
ckan,contratacao,processo,PROCESSO; Processo,7,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156); licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,empresas-sancionadas.processo; licitacoes-e-dispensas.processo
ckan,contratacao,sancao,SANÇÃO,1,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),text,n/d,n/d,contratacao.py,empresas-sancionadas.sancao
ckan,contratacao,sequencialcompra,SequencialCompra,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),numeric,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,sessao,SESSAO,4,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),timestamp,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,situacao,SITUAÇÃO; Situacao,6,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156); licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.situacao
ckan,contratacao,situacao_atual,Situação Atual,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.situacao
ckan,contratacao,situacaocompranome,SituacaoCompraNome,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,srp,SRP,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,tipo_de_procedimento,Tipo de Procedimento,1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.procedimento
ckan,contratacao,tipoinstrumentoconvocatorionome,TipoInstrumentoConvocatorioNome,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,uasg,UASG,4,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),numeric,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,valor_aditivo,Valor Aditivo,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.valor_do_aditivo
ckan,contratacao,valor_adjudicado_(rs),Valor Adjudicado (RS),1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.valor_adjudicado
ckan,contratacao,valor_contrato,Valor Contrato,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),numeric,n/d,n/d,contratacao.py,obras.valor_do_contrato
ckan,contratacao,valor_estimado_(rs),Valor Estimado (RS),1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.valor_estimado
ckan,contratacao,valordocontrato,ValorDoContrato,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.valor
ckan,contratacao,valortotalestimado,ValorTotalEstimado,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,valortotalhomologado,ValorTotalHomologado,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),text,n/d,n/d,contratacao.py,não publicado
