fonte,entidade,campo_normalizado,grafias,n_arquivos,origem_arquivos,tipo_original,rotulo_original,descricao_original,modulo,publicado_em
ckan,contratacao,atodenomeacao,AtoDeNomeação,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.ato_de_nomeacao
ckan,contratacao,cnpj,CNPJ,2,"empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c); contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,contrato,Contrato,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.contrato
ckan,contratacao,contrato_/_no_do_pregao,CONTRATO / Nº DO PREGÃO,1,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),text,n/d,n/d,contratacao.py,empresas-sancionadas.contrato_ou_pregao_na_fonte
ckan,contratacao,data_da_sessao_publica,Data da sessao publica,1,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.data_da_sessao
ckan,contratacao,data_inicio,Data Início,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),timestamp,n/d,n/d,contratacao.py,obras.data_inicio
ckan,contratacao,data_inicio_do_contrato,Data Início do Contrato,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.data_inicio
ckan,contratacao,data_termino_do_contrato,Data Término do contrato,1,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",text,n/d,n/d,contratacao.py,contratos-vigentes.data_termino
ckan,contratacao,dataaberturaproposta,DataAberturaProposta,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),timestamp,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,dataencerramentoproposta,DataEncerramentoProposta,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),timestamp,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,datapublicacaopncp,DataPublicacaoPncp,3,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),timestamp,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,dcl,DCL,1,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),text,n/d,n/d,contratacao.py,empresas-sancionadas.publicacao_dcl
ckan,contratacao,demandante,Demandante,1,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.demandante
ckan,contratacao,descricao,Descrição,1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.descricao
ckan,contratacao,economia_em_percentual,Economia em Percentual,1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.economia_percentual_na_fonte
ckan,contratacao,economia_em_rs,Economia em RS,1,dispensas-eletronicas-de-licitacao/Dispensas Eletrônicas de Licitação (71fa9f89-9a71-469e-ae61-b21efb023be3),text,n/d,n/d,contratacao.py,licitacoes-e-dispensas.economia_na_fonte
ckan,contratacao,edital,EDITAL,4,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),text,n/d,n/d,contratacao.py,não publicado
ckan,contratacao,empresa_contratada,"Empresa
Contratada",1,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),text,n/d,n/d,contratacao.py,obras.empresa
