ano,numero_sessao,tipo_sessao,data,total_presentes,quorum_atingido,quorum_source
2026,64,Ordinária,2026-08-18,21,1,"LC13/1996 art.20 II (maioria absoluta), no distinct abertura threshold found"
2026,65,Ordinária,2026-08-19,8,0,"LC13/1996 art.20 II (maioria absoluta), no distinct abertura threshold found"
