ano,mes,mes_numero,tipo,linhas,matriculas_distintas,creditos,descontos,auxilios,liquido
2012,Outubro,10,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,14,14,"0,00","0,00","0,00","26.115,04"
2012,Outubro,10,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,11,11,"0,00","0,00","0,00","46.279,14"
2012,Outubro,10,REQUISITADO - CLT,6,6,"0,00","0,00","0,00","28.759,80"
2012,Outubro,10,REQUISITADO - ESTATUTÁRIO,95,95,"0,00","0,00","0,00","332.131,42"
2012,Novembro,11,CEDIDO,16,16,"0,00","0,00","0,00","172.820,93"
2012,Novembro,11,CONCURSADO,713,713,"0,00","0,00","0,00","5.874.531,71"
2012,Novembro,11,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","12.111,73"
2012,Novembro,11,CONCURSADO (INATIVO),143,143,"0,00","0,00","0,00","1.320.129,87"
2012,Novembro,11,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","51.038,65"
2012,Novembro,11,DEPUTADO (PSS),8,8,"0,00","0,00","0,00","110.622,35"
2012,Novembro,11,DEPUTADO (RGPS),18,18,"0,00","0,00","0,00","216.764,09"
2012,Novembro,11,LIVRE PROVIMENTO,798,798,"0,00","0,00","0,00","3.158.614,91"
2012,Novembro,11,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.784,76"
2012,Novembro,11,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","46.696,96"
2012,Novembro,11,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,14,14,"0,00","0,00","0,00","26.049,09"
2012,Novembro,11,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,11,11,"0,00","0,00","0,00","45.947,03"
2012,Novembro,11,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","37.435,74"
2012,Novembro,11,REQUISITADO - ESTATUTÁRIO,95,95,"0,00","0,00","0,00","327.196,18"
2012,Dezembro,12,CEDIDO,17,17,"0,00","0,00","0,00","182.161,34"
2012,Dezembro,12,CONCURSADO,713,713,"0,00","0,00","0,00","5.693.312,11"
2012,Dezembro,12,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","11.478,25"
2012,Dezembro,12,CONCURSADO (INATIVO),143,143,"0,00","0,00","0,00","1.280.066,67"
2012,Dezembro,12,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","52.808,08"
2012,Dezembro,12,DEPUTADO (PSS),8,8,"0,00","0,00","0,00","109.703,14"
2012,Dezembro,12,DEPUTADO (RGPS),17,17,"0,00","0,00","0,00","197.532,68"
2012,Dezembro,12,LIVRE PROVIMENTO,804,804,"0,00","0,00","0,00","3.001.555,86"
2012,Dezembro,12,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.784,76"
2012,Dezembro,12,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","46.386,02"
2012,Dezembro,12,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,14,14,"0,00","0,00","0,00","25.291,22"
2012,Dezembro,12,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,11,11,"0,00","0,00","0,00","45.699,86"
2012,Dezembro,12,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","25.036,24"
2012,Dezembro,12,REQUISITADO - ESTATUTÁRIO,94,94,"0,00","0,00","0,00","321.551,70"
2013,Janeiro,1,CEDIDO,17,17,"0,00","0,00","0,00","249.297,00"
2013,Janeiro,1,CONCURSADO,712,712,"0,00","0,00","0,00","7.665.830,34"
2013,Janeiro,1,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","11.815,05"
2013,Janeiro,1,CONCURSADO (INATIVO),144,144,"0,00","0,00","0,00","1.304.627,59"
2013,Janeiro,1,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","87.725,44"
2013,Janeiro,1,DEPUTADO (PSS),7,7,"0,00","0,00","0,00","96.325,77"
2013,Janeiro,1,DEPUTADO (RGPS),17,17,"0,00","0,00","0,00","214.028,93"
2013,Janeiro,1,LIVRE PROVIMENTO,804,804,"0,00","0,00","0,00","3.633.358,39"
2013,Janeiro,1,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.784,76"
2013,Janeiro,1,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","47.528,21"
2013,Janeiro,1,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","26.964,84"
2013,Janeiro,1,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","46.875,98"
2013,Janeiro,1,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","25.305,35"
2013,Janeiro,1,REQUISITADO - ESTATUTÁRIO,95,94,"0,00","0,00","0,00","357.577,64"
2013,Fevereiro,2,CEDIDO,15,15,"0,00","0,00","0,00","166.384,78"
2013,Fevereiro,2,CONCURSADO,714,714,"0,00","0,00","0,00","6.358.781,41"
2013,Fevereiro,2,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","11.733,63"
2013,Fevereiro,2,CONCURSADO (INATIVO),144,144,"0,00","0,00","0,00","1.387.155,76"
2013,Fevereiro,2,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","54.250,59"
2013,Fevereiro,2,DEPUTADO (PSS),7,7,"0,00","0,00","0,00","83.679,70"
2013,Fevereiro,2,DEPUTADO (RGPS),17,17,"0,00","0,00","0,00","215.132,39"
2013,Fevereiro,2,LIVRE PROVIMENTO,795,795,"0,00","0,00","0,00","3.270.664,66"
2013,Fevereiro,2,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.784,76"
2013,Fevereiro,2,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","47.470,68"
2013,Fevereiro,2,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","26.338,16"
2013,Fevereiro,2,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","47.338,55"
2013,Fevereiro,2,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","25.321,67"
2013,Fevereiro,2,REQUISITADO - ESTATUTÁRIO,92,92,"0,00","0,00","0,00","327.037,08"
2013,Março,3,CEDIDO,15,15,"0,00","0,00","0,00","151.051,99"
2013,Março,3,CONCURSADO,712,712,"0,00","0,00","0,00","6.193.195,64"
2013,Março,3,CONCURSADO (INATIVO - EC 41/03),4,4,"0,00","0,00","0,00","28.471,80"
2013,Março,3,CONCURSADO (INATIVO),145,145,"0,00","0,00","0,00","1.369.895,31"
2013,Março,3,CONCURSADO (IPREV),6,6,"0,00","0,00","0,00","67.092,90"
2013,Março,3,DEPUTADO (PSS),7,7,"0,00","0,00","0,00","96.741,08"
2013,Março,3,DEPUTADO (RGPS),17,17,"0,00","0,00","0,00","210.995,29"
2013,Março,3,LIVRE PROVIMENTO,800,800,"0,00","0,00","0,00","3.284.963,74"
2013,Março,3,PENSAO ESPECIAL - TEMPORÁRIA,3,3,"0,00","0,00","0,00","1.784,72"
2013,Março,3,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","46.897,21"
2013,Março,3,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","30.814,83"
2013,Março,3,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","55.018,78"
2013,Março,3,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","25.027,09"
2013,Março,3,REQUISITADO - ESTATUTÁRIO,90,90,"0,00","0,00","0,00","326.116,03"
2013,Abril,4,CEDIDO,15,15,"0,00","0,00","0,00","152.109,90"
2013,Abril,4,CONCURSADO,708,708,"0,00","0,00","0,00","6.269.862,07"
2013,Abril,4,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","20.150,28"
2013,Abril,4,CONCURSADO (INATIVO),149,149,"0,00","0,00","0,00","1.402.615,04"
2013,Abril,4,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","69.990,15"
2013,Abril,4,CONCURSADO (IPREV) 65 DEPUTADO (PSS) 68 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","5.226,96"
2013,Abril,4,LIVRE PROVIMENTO,808,808,"0,00","0,00","0,00","3.192.053,45"
2013,Abril,4,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","1.785,56"
2013,Abril,4,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","47.379,75"
2013,Abril,4,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","27.663,67"
2013,Abril,4,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","49.569,65"
2013,Abril,4,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","24.836,64"
2013,Abril,4,REQUISITADO - ESTATUTÁRIO,90,90,"0,00","0,00","0,00","320.943,83"
2013,Maio,5,CEDIDO,14,14,"0,00","0,00","0,00","155.368,94"
2013,Maio,5,CONCURSADO,709,709,"0,00","0,00","0,00","6.720.887,31"
2013,Maio,5,CONCURSADO (INATIVO - EC 41/03),3,3,"0,00","0,00","0,00","20.164,02"
2013,Maio,5,CONCURSADO (INATIVO),149,149,"0,00","0,00","0,00","1.514.862,75"
2013,Maio,5,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","52.997,94"
2013,Maio,5,CONCURSADO (IPREV) 65 DEPUTADO (PSS) 68 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","5.606,31"
2013,Maio,5,LIVRE PROVIMENTO,815,815,"0,00","0,00","0,00","3.466.555,51"
2013,Maio,5,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","1.938,20"
2013,Maio,5,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","50.854,34"
2013,Maio,5,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","27.668,72"
2013,Maio,5,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","48.847,95"
2013,Maio,5,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","26.212,88"
2013,Maio,5,REQUISITADO - ESTATUTÁRIO,90,90,"0,00","0,00","0,00","328.426,26"
2013,Junho,6,CEDIDO,12,12,"0,00","0,00","0,00","182.388,62"
2013,Junho,6,CONCURSADO,709,709,"0,00","0,00","0,00","8.338.076,26"
2013,Junho,6,CONCURSADO (INATIVO - EC 41/03),4,4,"0,00","0,00","0,00","36.594,63"
2013,Junho,6,CONCURSADO (INATIVO),151,151,"0,00","0,00","0,00","2.593.485,95"
2013,Junho,6,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","86.006,60"
2013,Junho,6,CONCURSADO (IPREV) 65 DEPUTADO (PSS) 68 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","24.111,86"
2013,Junho,6,LIVRE PROVIMENTO,821,821,"0,00","0,00","0,00","4.936.471,25"
2013,Junho,6,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","2.987,68"
2013,Junho,6,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","87.243,79"
2013,Junho,6,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","42.919,38"
2013,Junho,6,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","82.453,67"
2013,Junho,6,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","55.404,70"
2013,Junho,6,REQUISITADO - ESTATUTÁRIO,89,89,"0,00","0,00","0,00","471.645,85"
2013,Julho,7,CEDIDO,12,12,"0,00","0,00","0,00","125.855,38"
2013,Julho,7,CONCURSADO,709,709,"0,00","0,00","0,00","6.525.183,69"
2013,Julho,7,CONCURSADO (INATIVO - EC 41/03),4,4,"0,00","0,00","0,00","23.737,10"
2013,Julho,7,CONCURSADO (INATIVO),151,151,"0,00","0,00","0,00","1.508.455,73"
2013,Julho,7,CONCURSADO (IPREV),5,5,"0,00","0,00","0,00","60.239,64"
2013,Julho,7,CONCURSADO (IPREV) 65 DEPUTADO (PSS) 68 DEPUTADO (PSS),1,1,"0,00","0,00","0,00","6.967,04"
2013,Julho,7,LIVRE PROVIMENTO,820,820,"0,00","0,00","0,00","3.404.679,66"
2013,Julho,7,PENSAO ESPECIAL - TEMPORÁRIA,2,2,"0,00","0,00","0,00","1.938,20"
2013,Julho,7,PENSÃO ESPECIAL - VITALÍCIA,9,9,"0,00","0,00","0,00","50.612,96"
2013,Julho,7,PENSÃO ESPECIAL EC41/03 - TEMPORÁRIA,13,13,"0,00","0,00","0,00","27.708,54"
2013,Julho,7,PENSÃO ESPECIAL EC41/03 - VITALÍCIA,12,12,"0,00","0,00","0,00","49.435,21"
2013,Julho,7,REQUISITADO - CLT,5,5,"0,00","0,00","0,00","30.589,30"
