ano,mes,mes_numero,unidade_orcamentaria,funcao,funcao_rotulo,subfuncao,subfuncao_rotulo,natureza,natureza_rotulo,natureza_em_seis_digitos,natureza_categoria_economica,natureza_grupo,natureza_modalidade_de_aplicacao,natureza_elemento,natureza_subelemento,fonte,fonte_rotulo,empenhado,liquidado,pago,as_of
2022,Janeiro,1,1101,1,,31,,339037,,339037,3,3,90,37,,100,,"2.832.994,69","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,339039,,339039,3,3,90,39,,100,,"891.926,76","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,31,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,392,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,392,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,392,,339039,,339039,3,3,90,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,1,,392,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,845,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319091,,319091,3,1,90,91,,100,,"28.365,94","28.365,94","28.365,94",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319092,,319092,3,1,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319094,,319094,3,1,90,94,,100,,"165.841,88","165.841,86","165.841,86",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319096,,319096,3,1,90,96,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,319196,,319196,3,1,91,96,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,339091,,339091,3,3,90,91,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,339093,,339093,3,3,90,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Janeiro,1,1101,28,,846,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319007,,319007,3,1,90,07,,100,,"0,00","83.437,34","83.437,34",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319011,,319011,3,1,90,11,,100,,"24.651.527,53","24.522.986,12","24.424.241,22",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319013,,319013,3,1,90,13,,100,,"26.000.000,00","2.120.558,10","2.120.558,10",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319016,,319016,3,1,90,16,,100,,"244.418,34","244.418,34","244.418,34",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319092,,319092,3,1,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319113,,319113,3,1,91,13,,100,,"0,00","3.391.733,16","3.391.733,16",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339008,,339008,3,3,90,08,,100,,"354.136,83","354.136,83","354.136,83",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339014,,339014,3,3,90,14,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339030,,339030,3,3,90,30,,100,,"759.823,61","12.947,42","12.947,42",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339033,,339033,3,3,90,33,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339035,,339035,3,3,90,35,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339037,,339037,3,3,90,37,,100,,"4.238.700,84","209.261,47","209.261,47",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339039,,339039,3,3,90,39,,100,,"4.606.108,57","530.340,35","471.457,81",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339046,,339046,3,3,90,46,,100,,"2.873.988,35","2.854.052,00","2.721.347,19",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339047,,339047,3,3,90,47,,100,,"1.139,58","1.139,58","1.139,58",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339049,,339049,3,3,90,49,,100,,"41.786,44","41.380,93","38.407,29",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339093,,339093,3,3,90,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339147,,339147,3,3,91,47,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,449051,,449051,4,4,90,51,,100,,"19.196,04","1.599,67","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,449052,,449052,4,4,90,52,,100,,"192.000,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,122,,449092,,449092,4,4,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,339030,,339030,3,3,90,30,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,339039,,339039,3,3,90,39,,100,,"0,00","20.647,00","20.647,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,339040,,339040,3,3,90,40,,100,,"616.838,66","147.121,21","147.121,21",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,449040,,449040,4,4,90,40,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,126,,449052,,449052,4,4,90,52,,100,,"0,00","1.095.750,00","720.000,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,128,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,128,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,128,,339039,,339039,3,3,90,39,,100,,"80.471,47","11.420,59","12.404,59",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,131,,339037,,339037,3,3,90,37,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,131,,339039,,339039,3,3,90,39,,100,,"144.335,40","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,131,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,131,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339030,,339030,3,3,90,30,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339037,,339037,3,3,90,37,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339039,,339039,3,3,90,39,,100,,"6.507.199,13","45.102,97","45.102,97",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,31,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,392,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,392,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,392,,339039,,339039,3,3,90,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,1,,392,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,845,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319091,,319091,3,1,90,91,,100,,"11.070,36","11.070,36","11.070,36",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319092,,319092,3,1,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319094,,319094,3,1,90,94,,100,,"124.712,74","124.712,74","124.712,74",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319096,,319096,3,1,90,96,,100,,"1.408.252,79","98.709,59","66.818,75",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,319196,,319196,3,1,91,96,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,339091,,339091,3,3,90,91,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,339092,,339092,3,3,90,92,,100,,"3.697,83","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,339093,,339093,3,3,90,93,,100,,"2.051.102,25","138.772,25","138.772,25",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Fevereiro,2,1101,28,,846,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319007,,319007,3,1,90,07,,100,,"0,00","103.299,00","103.299,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319011,,319011,3,1,90,11,,100,,"24.608.139,66","24.319.194,57","24.333.199,79",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319013,,319013,3,1,90,13,,100,,"0,00","1.929.571,28","1.929.571,28",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319016,,319016,3,1,90,16,,100,,"131.369,18","131.369,18","131.369,18",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319092,,319092,3,1,90,92,,100,,"12.128,57","12.128,57","12.128,57",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319113,,319113,3,1,91,13,,100,,"0,00","3.374.850,82","3.374.850,82",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339008,,339008,3,3,90,08,,100,,"322.384,09","322.384,09","322.384,09",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339014,,339014,3,3,90,14,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339030,,339030,3,3,90,30,,100,,"422.223,15","51.911,67","47.150,71",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339033,,339033,3,3,90,33,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339035,,339035,3,3,90,35,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339037,,339037,3,3,90,37,,100,,"3.381.655,02","1.285.224,55","1.285.224,55",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339039,,339039,3,3,90,39,,100,,"88.626,69","828.623,73","822.886,25",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339046,,339046,3,3,90,46,,100,,"2.591.582,13","2.552.532,93","2.538.684,60",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339047,,339047,3,3,90,47,,100,,"30.000,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339049,,339049,3,3,90,49,,100,,"44.617,12","43.480,42","42.685,82",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339093,,339093,3,3,90,93,,100,,"6.663,65","6.663,65","6.663,65",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339147,,339147,3,3,91,47,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,449051,,449051,4,4,90,51,,100,,"0,00","1.599,67","3.199,34",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,449052,,449052,4,4,90,52,,100,,"1.286.432,83","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,122,,449092,,449092,4,4,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,339030,,339030,3,3,90,30,,100,,"19.682,40","483,00","483,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,339039,,339039,3,3,90,39,,100,,"0,00","20.647,00","20.647,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,339040,,339040,3,3,90,40,,100,,"60.138,40","189.643,31","189.643,31",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,449040,,449040,4,4,90,40,,100,,"150.000,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,126,,449052,,449052,4,4,90,52,,100,,"0,00","430.545,00","806.295,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,128,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,128,,339036,,339036,3,3,90,36,,100,,"31.975,29","10.446,09","10.446,09",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,128,,339039,,339039,3,3,90,39,,100,,"61.157,97","12.326,84","12.326,84",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,131,,339037,,339037,3,3,90,37,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,131,,339039,,339039,3,3,90,39,,100,,"0,00","24.055,90","24.055,90",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,131,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,131,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339030,,339030,3,3,90,30,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339032,,339032,3,3,90,32,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339037,,339037,3,3,90,37,,100,,"0,00","404.713,53","404.713,53",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339039,,339039,3,3,90,39,,100,,"5.200.000,00","34.422,32","34.422,32",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,31,,449052,,449052,4,4,90,52,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,392,,339031,,339031,3,3,90,31,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,392,,339036,,339036,3,3,90,36,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,392,,339039,,339039,3,3,90,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,1,,392,,339092,,339092,3,3,90,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,845,,339139,,339139,3,3,91,39,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319091,,319091,3,1,90,91,,100,,"11.070,36","11.070,36","11.070,36",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319092,,319092,3,1,90,92,,100,,"2.366,14","2.366,14","2.366,14",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319094,,319094,3,1,90,94,,100,,"814.710,46","814.710,46","814.710,46",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319096,,319096,3,1,90,96,,100,,"0,00","103.427,25","135.318,09",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319192,,319192,3,1,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,319196,,319196,3,1,91,96,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,339091,,339091,3,3,90,91,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,339092,,339092,3,3,90,92,,100,,"0,00","3.697,83","3.697,83",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,339093,,339093,3,3,90,93,,100,,"136.740,15","160.409,34","160.409,34",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,339192,,339192,3,3,91,92,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Março,3,1101,28,,846,,339193,,339193,3,3,91,93,,100,,"0,00","0,00","0,00",2026-08-07T20:15:03.924257
2022,Abril,4,1101,1,,122,,319007,,319007,3,1,90,07,,100,,"0,00","138.998,95","138.998,95",2026-08-07T20:15:03.924257
2022,Abril,4,1101,1,,122,,319011,,319011,3,1,90,11,,100,,"26.864.497,18","26.624.807,02","26.590.009,09",2026-08-07T20:15:03.924257
2022,Abril,4,1101,1,,122,,319013,,319013,3,1,90,13,,100,,"0,00","2.013.753,49","2.013.753,49",2026-08-07T20:15:03.924257
2022,Abril,4,1101,1,,122,,319016,,319016,3,1,90,16,,100,,"129.219,64","129.219,64","129.219,64",2026-08-07T20:15:03.924257
