fonte,processo,identificacao,procedimento,ano,data_da_sessao,demandante,objeto,valor_estimado,valor_adjudicado,economia_calculada,economia_na_fonte,economia_confere,economia_percentual_na_fonte,situacao,as_of
dispensas-eletronicas,00027076/2023-59,352023,Dispensa Eletronica,2023,,,Contratacao de empresa especializada para Reforma de Poltronas,"51.508,55","28.000,00","23.508,55","23.508,55",sim,"45,64%",Encerrado (homologado em 19/12/2023),2026-08-26T18:17:25
dispensas-eletronicas,00027167/2023-94,312023,Dispensa Eletronica,2023,,,Aquisicao de Espumas e Canoplas,"10.515,88","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00027935/2023-18,182023,Dispensa Eletronica,2023,,,Contratacao de empresa especializada para prestacao de servicos de leitura continua e ininterrupta do Diario de Justica para a Camara Legislativa do Distrito Federal,"3.942,00","1.797,00","2.145,00","2.145,00",sim,"54,41%",Encerrado (homologado em 07/07/2023),2026-08-26T18:17:25
dispensas-eletronicas,00028926/2023-36,322023,Dispensa Eletronica,2023,,,Aquisicao de Bottons,"23.938,00","14.462,00","9.476,00","9.476,00",sim,"39,59%",Encerrado (homologado em 08/11/2023),2026-08-26T18:17:25
dispensas-eletronicas,00030843/2023-15,242023,Dispensa Eletronica,2023,,,Aquisicao de Condecoracoes,"22.731,99","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00030843/2023-15,362023,Dispensa Eletronica,2023,,,Aquisicao de Condecoracoes,"22.731,99","17.000,00","5.731,99","5.731,99",sim,"25,22%",Encerrado (homologado em 05/12/2023),2026-08-26T18:17:25
dispensas-eletronicas,00031421/2023-59,900032024,Dispensa Eletronica,2023,,,Aquisicao de Porta Corta Fogo de Emergencia,"9.399,16","9.300,00","99,16","99,16",sim,"1,05%",Encerrado (homologado em 16/02/2024),2026-08-26T18:17:25
dispensas-eletronicas,00032412/2023-85,262023,Dispensa Eletronica,2023,,,Aquisicao de Conversor Digital,"390,78","360,00","30,78","30,78",sim,"7,88%",Encerrado (homologado em 24/08/2023),2026-08-26T18:17:25
dispensas-eletronicas,00034963/2023-83,342023,Dispensa Eletronica,2023,,,Aquisicao de Caixas-Arquivo,"27.800,00","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00034963/2023-83,900052024,Dispensa Eletronica,2023,,,Aquisicao de Caixas-Arquivo,"25.800,00","18.500,00","7.300,00","7.300,00",sim,"28,29%",Encerrado (homologado em 13/03/2024),2026-08-26T18:17:25
dispensas-eletronicas,00036716/2023-11,282023,Dispensa Eletronica,2023,,,Contratacao de pessoa juridica para prestacao de servicos de agenciamento de viagens,"26.062,00","23.390,00","2.672,00","2.672,00",sim,"10,25%",Encerrado (homologado em 01/09/2023),2026-08-26T18:17:25
dispensas-eletronicas,00036828/2023-72,900132025,Dispensa Eletronica,2023,,,Aquisicao de material de sinalizacao,"20.920,17","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00036828/2023-72,900202025,Dispensa Eletronica,2023,,,Aquisicao de material de sinalizacao,"20.920,17","20.400,00","520,17","520,17",sim,"2,49%",Encerrado (homologado em 11/08/2025),2026-08-26T18:17:25
dispensas-eletronicas,00037252/2023-61,302023,Dispensa Eletronica,2023,,,Contratacao de empresa especializada para prestacao de servicos de lavanderia para processamento da rouparia do Setor de Assistencia a Saude (SAS),"2.400,00","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00037252/2023-61,332023,Dispensa Eletronica,2023,,,Contratacao de empresa especializada para prestacao de servicos de lavanderia para processamento da rouparia do Setor de Assistencia a Saude (SAS),"2.400,00","2.400,00","0,00","0,00",sim,"0,00%",Encerrado (homologado em 19/10/2023),2026-08-26T18:17:25
dispensas-eletronicas,00040661/2023-44,900092025,Dispensa Eletronica,2023,,,"Contratacao de empresa especializada para elaboracao de estudos de viabilidade tecnico-economica, projetos basico e executivo para implantacao de sistema de captacao e aproveitamento de agua da chuva e reuso de aguas servidas (aguas cinzas)","50.594,43","37.500,00","13.094,43","13.094,43",sim,"25,88%",Encerrado (homologado em 09/06/2025),2026-08-26T18:17:25
dispensas-eletronicas,00043742/2023-04,372023,Dispensa Eletronica,2023,,,Aquisicao de trofeus para premiacao do 25º Trofeu Camara Legislativa do Distrito Federal,"11.885,25","0,00",,"0,00",,"0,00%",Encerrado (Revogado),2026-08-26T18:17:25
dispensas-eletronicas,00044330/2023-83,900062024,Dispensa Eletronica,2023,,,Contratacao de empresa especializada para prestar servicos de execucao de sistema de ancoragem quimica,"70.369,00","57.000,00","13.369,00","13.369,00",sim,"19,00%",Encerrado (homologado em 14/03/2024),2026-08-26T18:17:25
dispensas-eletronicas,00046477/2023-16,900022024,Dispensa Eletronica,2023,,,Contratacao de empresa especializada no fornecimento de Mangueiras de Incendio e Recarga de Extintores,"54.797,01","39.989,68","14.807,33","14.807,33",sim,"27,02%",Encerrado (homologado em 01/02/2024),2026-08-26T18:17:25
dispensas-eletronicas,00050642/2023-26,900012024,Dispensa Eletronica,2023,,,Aquisicao de Cartao de Proximidade,"18.665,00","13.415,00","5.250,00","5.250,00",sim,"28,13%",Encerrado (homologado em 23/02/2024),2026-08-26T18:17:25
dispensas-eletronicas,00002655/2022-16,32022,Cotacao Eletronica,2022,,,"Aquisicao, em carater emergencial, de material de consumo: caixa arquivo morto em papelao corrugado com a logomarca da CLDF","10.380,00","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00002655/2022-16,72022,Cotacao Eletronica,2022,,,"Aquisicao, em carater emergencial, de material de consumo: caixa arquivo morto em papelao corrugado com a logomarca da CLDF","10.380,00","7.400,00","2.980,00","2.980,00",sim,"28,71%",Encerrado (homologado em 21/03/2022),2026-08-26T18:17:25
dispensas-eletronicas,00003166/2022-73,92023,Cotacao Eletronica,2022,,,Contratacao de empresa especializada em seguro automotivo,"16.821,41","16.821,41","0,00","0,00",sim,"0,00%",Encerrado (homologado em 19/04/2023),2026-08-26T18:17:25
dispensas-eletronicas,00017537/2022-02,82022,Cotacao Eletronica,2022,,,"Aquisicao de pastas arquivo, tipo maleta","3.366,00","2.220,00","1.146,00","1.146,00",sim,"34,05%",Encerrado (homologado em 19/05/2022),2026-08-26T18:17:25
dispensas-eletronicas,00032074/2022-09,12023,Cotacao Eletronica,2022,,,Aquisicao de bomba submersa para o sistema de esgoto e outros,"6.432,98","5.223,42","1.209,56","1.209,56",sim,"18,80%",Encerrado (homologado em 11/04/2023),2026-08-26T18:17:25
dispensas-eletronicas,00032074/2022-09,32023,Cotacao Eletronica,2022,,,Aquisicao de Bomba Submersa e Paleteira Manual,"6.432,98","3.575,00","2.857,98","2.857,98",sim,"44,43%",Encerrado (homologado em 03/05/2023),2026-08-26T18:17:25
dispensas-eletronicas,00033358/2022-12,272023,Dispensa Eletronica,2022,,,Contratacao de empresa especializada na prestacao de servico de criacao de tour virtual hipermidia,"9.081,25","5.900,00","3.181,25","3.181,25",sim,"35,03%",Encerrado (homologado em 04/09/2023),2026-08-26T18:17:25
dispensas-eletronicas,00037642/2022-50,122022,Cotacao Eletronica,2022,,,"Aquisicao e instalacao de Sinalizacao Acustica e Visual para o veiculo oficial da Camara Legislativa do Distrito Federal, SUV modelo ECLIPSE CROSS, marca MITSUBISH (veiculo envelopado na cor preta).","9.169,08","5.800,00","3.369,08","3.369,08",sim,"36,74%",Encerrado (homologado em 16/12/2022),2026-08-26T18:17:25
dispensas-eletronicas,00038440/2022-25,112022,Cotacao Eletronica,2022,,,Aquisicao de insumos destinados a decoracao natalina da Camara Legislativa do Distrito Federal (CLDF) - ITEM 2,"1.459,82","1.453,00","6,82","6,82",sim,"0,47%",Encerrado (homologado em 12/12/2022),2026-08-26T18:17:25
dispensas-eletronicas,00038440/2022-25,202022,Cotacao Eletronica,2022,,,Aquisicao de insumos destinados a decoracao natalina da Camara Legislativa do Distrito Federal (CLDF) - ITEM 1,"8.370,00","6.350,00","2.020,00","2.020,00",sim,"24,13%",Encerrado (homologado em 08/12/2022),2026-08-26T18:17:25
dispensas-eletronicas,00038440/2022-25,92022,Cotacao Eletronica,2022,,,Aquisicao de insumos destinados a decoracao natalina da Camara Legislativa do Distrito Federal (CLDF),"10.059,82","0,00",,"0,00",,"0,00%",Encerrado (Fracassado),2026-08-26T18:17:25
dispensas-eletronicas,00030326/2021-76,22022,Cotacao Eletronica,2021,,,"Contratacao de empresa especializada para prestacao de servico tecnico especializado de manutencao preventiva, de manutencao corretiva, de calibracao e de reposicao de pecas e acessorios, mediante ressarcimento, em equipamentos de assistencia em saude (EAS) do Setor de Assistencia a Saude (SAS) da Camara Legislativa do Distrito Federal (CLDF)","0,00","0,00",,"0,00",,"0,00%",Cancelada (Revogado),2026-08-26T18:17:25
dispensas-eletronicas,00030326/2021-76,42022,Cotacao Eletronica,2021,,,"Contratacao de empresa especializada para prestacao de servico tecnico especializado de manutencao preventiva, de manutencao corretiva, de calibracao e de reposicao de pecas e acessorios, mediante ressarcimento, em equipamentos de assistencia em saude (EAS) do Setor de Assistencia a Saude (SAS) da Camara Legislativa do Distrito Federal (CLDF)","0,00","0,00",,"0,00",,"0,00%",Cancelada (Revogado),2026-08-26T18:17:25
dispensas-eletronicas,00031649/2021-87,62022,Cotacao Eletronica,2021,,,Aquisicao de Aspirador de Secrecao Cirurgico para equipar o Box de Urgencia do Setor de Assistencia a Saude (SAS) e a Sala de Atendimento do Plenario (SAP),"6.169,90","4.800,00","1.369,90","1.369,90",sim,"22,20%",Encerrado (homologado em 11/03/2022),2026-08-26T18:17:25
dispensas-eletronicas,00036340/2021-83,52022,Cotacao Eletronica,2021,,,Aquisicao de sistema de controle de senha para organizacao de filas e atendimento.,"1.348,00","701,97","646,03","646,03",sim,"47,93%",Encerrado (homologado em 21/02/2022),2026-08-26T18:17:25
dispensas-eletronicas,00038929/2021-16,12022,Cotacao Eletronica,2021,,,Aquisicao e substituicao de pecas para equipamento grafico – impressora Xerox Versant 180 Press,"16.840,44","16.157,98","682,46","682,46",sim,"4,05%",Encerrado (homologado em 17/02/2022),2026-08-26T18:17:25
licitacoes,00000081/2025-86,90005,Pregao Eletronico,2026,2026-05-08,SEATI,Ecossistema de Backup,"18.338.725,30","15.562.224,40","2.776.500,90",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00004917/2026-01,90019,Pregao Eletronico,2026,2026-06-25,ASTEA,Fornecimento de Divisorias,"777.984,16","687.400,00","90.584,16",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00005574/2026-93,90015,Pregao Eletronico,2026,2026-05-25,SEAUX,Manutencao Preventiva e Corretiva da Frota,"200.138,29","171.302,37","28.835,92",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007288/2026-62,90020,Pregao Eletronico,2026,2026-07-06,NTO,Servico de Comunicacao de Dados,"79.800,00","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00008063/2024-61,87,Pregao Eletronico,2026,2026-08-11,ASTEA,Reforma da Biblioteca,"346.290,49",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00008067/2026-10,90016,Pregao Eletronico,2026,2026-05-25,SACPRO,Permissao Onerosa de Uso (Lanchonete),"0,00","0,00",,,,,Encerrado,2026-08-26T17:25:35
licitacoes,00008104/2026-81,90009,Pregao Eletronico,2026,2026-04-23,SEMAP,Aquisicao de Cadeiras,"642.218,80","504.346,46","137.872,34",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00009228/2026-84,111,Pregao Eletronico,2026,2026-09-16,ELEGIS,Coffee Break e Kit-Lanche,"625.482,40",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00009847/2026-79,107,Pregao Eletronico,2026,2026-09-08,CERIM,Aquisicao de Pastas Executivas,"110.985,90",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00015597/2026-14,90021,Pregao Eletronico,2026,2026-07-06,CSG,Passagens Aereas,"894.663,00","647.940,84","246.722,16",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016749/2024-26,90012,Pregao Eletronico,2026,2026-04-30,SPCS,Aquisicao de Viaturas,"605.372,00","492.650,00","112.722,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00017143/2026-70,95,Pregao Eletronico,2026,2026-08-20,ASTEA,Sinalizacao da CLDF,"528.770,96",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00021228/2022-29,90001,Pregao Eletronico,2026,2026-02-19,DMI,Redes de Cabeamento Estruturado,"7.653.591,54","5.537.936,25","2.115.655,29",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00024891/2025-28,90006,Pregao Eletronico,2026,2026-03-12,CSG,Contratacao de Motoristas,"456.496,33","405.650,23","50.846,10",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00025785/2024-81,90008,Pregao Eletronico,2026,2026-04-09,SEINF,Aquisicao de Licencas de Autenticacao,"630.484,73","0,00",,,,,Encerrado (Anulado),2026-08-26T17:25:35
licitacoes,00025785/2024-81,90014,Pregao Eletronico,2026,2026-05-19,SEINF,Aquisicao de Licencas de Autenticacao,"630.484,73","630.484,73","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00027542/2025-68,101,Pregao Eletronico,2026,2026-08-20,ASTEA,Manutencao da Fachada da CLDF,"129.989,49",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00034400/2025-57,90002,Pregao Eletronico,2026,2026-02-19,NPG,Manutencao em Equipamentos Graficos,"166.379,52","78.480,00","87.899,52",,,,Em andamento,2026-08-26T17:25:35
licitacoes,00038034/2025-13,90018,Pregao Eletronico,2026,2026-06-08,ASTEA,Modernizacao do CPD,"130.753,58","130.500,00","253,58",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00038980/2025-51,90004,Pregao Eletronico,2026,2026-03-09,NEP,Producao Audiovisual Educacional,"86.470,00","41.900,00","44.570,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00039988/2025-35,90007,Pregao Eletronico,2026,2026-04-08,NENF,UTI Movel,"794.274,00","503.949,60","290.324,40",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043713/2024-15,90010,Pregao Eletronico,2026,2026-04-28,SEATI,Aquisicao de Computadores,"15.948.724,42",,,,,,Suspenso,2026-08-26T17:25:35
licitacoes,00045089/2025-71,90017,Pregao Eletronico,2026,2026-06-01,DIPOL,Controle de Acesso,"750.008,66",,,,,,Em andamento,2026-08-26T17:25:35
licitacoes,00045289/2025-24,90003,Pregao Eletronico,2026,2026-03-24,SEINF,Equipamento de Armazenamento de Dados,"7.681.441,52","7.600.000,00","81.441,52",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00045384/2025-28,90013,Pregao Eletronico,2026,2026-05-18,CSG,Recepcionistas,"1.234.582,23","1.057.600,00","176.982,23",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00046431/2025-51,90011,Pregao Eletronico,2026,2026-05-07,SSP,Brigada de Incendio,"4.488.021,37","3.644.568,24","843.453,13",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00002257/2025-34,90030,Pregao Eletronico,2025,2025-10-13,CSG,Contratacao de Telefonistas,"268.423,71","226.799,79","41.623,92",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003135/2025-65,90010,Pregao Eletronico,2025,2025-06-25,CERIM,Ornamentacao,"325.922,75","0,00",,,,,Encerrado (Revogado),2026-08-26T17:25:35
licitacoes,00003135/2025-65,90015,Pregao Eletronico,2025,2025-07-18,CERIM,Ornamentacao,"325.922,75","154.600,00","171.322,75",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003173/2025-18,90005,Pregao Eletronico,2025,2025-05-06,DIPOL,Vigilancia Patrimonial,"6.454.675,56","5.351.910,92","1.102.764,64",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00005418/2025-41,90006,Pregao Eletronico,2025,2025-05-29,NPG,Aquisicao de Papeis e Insumos ao NPG,"179.775,80","138.079,00","41.696,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00005483/2025-77,90002,Pregao Eletronico,2025,2025-03-24,CSG,Passagens Aereas,"488.765,20","425.514,86","63.250,34",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00006344/2025-61,90011,Pregao Eletronico,2025,2025-06-30,NTO,Aquisicao de Cameras PTZ,"539.200,00","424.000,00","115.200,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007060/2025-91,90021,Pregao Eletronico,2025,2025-09-03,NPG,Aquisicao de Toners,"1.269.278,06","950.081,00","319.197,06",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007375/2025-39,90013,Pregao Eletronico,2025,2025-09-12,CERIM,Eventos,"10.404.013,90","6.249.896,70","4.154.117,20",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00010568/2025-77,90012,Pregao Eletronico,2025,2025-10-07,DMI,Governanca Integrada,"15.524.751,02",,,,,,Suspenso Sine Die,2026-08-26T17:25:35
licitacoes,00015854/2024-48,90007,Pregao Eletronico,2025,2025-06-26,FASCAL,Gestao para o FASCAL,"4.208.335,40","4.120.000,00","88.335,40",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016069/2023-21,90008,Pregao Eletronico,2025,2025-06-10,DICOM,Operacionalizacao de Radio e TV,"11.643.399,36","10.049.489,31","1.593.910,05",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00018181/2025-69,90033,Pregao Eletronico,2025,2025-10-22,ASTEA,Aquisicao de Mobiliarios Planejados,"229.815,97","222.990,00","6.825,97",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00019376/2023-64,90017,Pregao Eletronico,2025,2025-08-13,SEAUX,Locacao de Veículos,"893.430,96","826.560,00","66.870,96",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00019423/2025-31,90035,Pregao Eletronico,2025,2025-11-10,SEMAP,Aquisicao de Cadeiras,"440.045,64","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00019761/2025-73,90037,Pregao Eletronico,2025,2025-12-15,NEP,Aquisicao de Mobiliarios Modulares,"93.340,16","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00019772/2025-53,90014,Pregao Eletronico,2025,2025-07-09,NUAL,Aquisicao de Carimbos,"4.505,00","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00019772/2025-53,90019,Pregao Eletronico,2025,2025-08-21,NUAL,Aquisicao de Carimbos,"4.505,00","4.501,50","3,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00020562/2025-16,90022,Pregao Eletronico,2025,2025-09-10,SEMAP,Aquisicao de Mobiliario,"512.703,00","364.238,00","148.465,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00022698/2025-52,90026,Pregao Eletronico,2025,2025-09-25,ASTEA,Aquisicao de Licencas Autodesk e Sketchup,"126.000,96","125.178,75","822,21",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00024813/2024-42,90004,Pregao Eletronico,2025,2025-04-30,NTO,Servico de Codificacao e Decodificacao,"77.100,00","75.000,00","2.100,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00025787/2024-70,90028,Pregao Eletronico,2025,2026-02-19,SEINF,Aquisicao de Licencas Temporarias,"2.436.963,85","2.436.963,85","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00026370/2025-13,90034,Pregao Eletronico,2025,2025-10-23,SEDEP,Contratacao de Consultoria,"767.000,00","427.000,00","340.000,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00028535/2025-83,90038,Pregao Eletronico,2025,2025-12-23,DMI,Fornecimento de Licencas,"4.727.000,00","4.351.000,00","376.000,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00028965/2023-33,90003,Pregao Eletronico,2025,2025-04-14,SEATI,Sustentacao a Infraestrutura de TI,"2.049.765,48","1.679.999,14","369.766,34",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00032723/2024-25,90023,Pregao Eletronico,2025,2025-09-17,CSG,Manutencao de Mobiliario,"102.233,13","72.776,35","29.456,78",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00033462/2024-61,90024,Pregao Eletronico,2025,2025-09-19,ASTEA,Manutencao de Portas,"398.678,23","362.797,66","35.880,57",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00033533/2025-14,90029,Pregao Eletronico,2025,2025-10-06,ASTEA,Aquisicao de Materiais para Manutencao Predial,"70.666,43","65.750,30","4.916,13",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00033724/2025-78,90032,Pregao Eletronico,2025,2025-10-21,SEAUX,Fornecimento de Combustivel,"865.770,68","865.770,68","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00037051/2024-44,90001,Pregao Eletronico,2025,2025-01-23,ASTEA,Aquisicao de Mobiliario,"204.529,92","152.396,00","52.133,92",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00037147/2024-11,90020,Pregao Eletronico,2025,2025-08-25,SEINF,Renovacao de Garantia dos Switches,"726.155,84","317.500,00","408.655,84",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00037752/2024-83,90027,Pregao Eletronico,2025,2025-09-30,ASTEA,Instalação de Climatizacao,"636.954,73","633.000,00","3.954,73",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00038757/2024-23,90025,Pregao Eletronico,2025,2025-09-22,SEINF,Equipamento de Armazenamento de Dados para Datacenter,"23.580.220,02","11.420.000,00","12.160.220,02",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00039688/2025-56,90036,Pregao Eletronico,2025,2025-12-01,NUPLAC,Aquisicao de Copos Biodegradáveis,"179.568,00","113.024,80","66.543,20",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00043713/2024-15,90031,Pregao Eletronico,2025,2025-10-20,SEATI,Aquisicao de Computadores,"7.480.363,17","0,00",,,,,Encerrado (Fracassado),2026-08-26T17:25:35
licitacoes,00045773/2024-72,90016,Pregao Eletronico,2025,2025-08-14,DIPOL,Equipamentos para a Brigada Voluntaria,"167.938,00","67.522,00","100.416,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00046559/2024-33,90009,Pregao Eletronico,2025,2025-08-13,SEINF,Aquisicao de Licenças Microsoft,"1.141.371,00","935.890,20","205.480,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00047723/2023-49,90018,Pregao Eletronico,2025,2025-08-11,ASTEA,Equipamento para o Programa Saude e Esporte,"109.045,76","94.743,21","14.302,55",,,,Encerrado,2026-08-26T17:25:35
licitacoes,16223/2024-46,90001,Concorrencia,2025,2025-08-08,DICOM,Comunicacao Digital,"4.502.633,26","4.502.633,26","0,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003416/2022-75,90007,Pregao Eletronico,2024,2024-04-18,DICOM,Manutencao dos Equipamentos da DTVR,"226.477,92","127.299,24","99.178,68",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003574/2024-97,90035,Pregao Eletronico,2024,2024-10-07,SEINF,Aquisicao de Subscricao (Vmware),"4.796.236,80","3.444.480,00","1.351.756,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00003613/2024-56,90013,Pregao Eletronico,2024,2024-05-28,NPG,Manutencao da Impressora Xerox Versant,"277.920,00","269.760,00","8.160,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00005433/2023-28,90005,Pregao Eletronico,2024,2024-03-18,CMI,Office 365,"4.090.109,70","3.872.189,20","217.920,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00006100/2024-05,90036,Pregao Eletronico,2024,2024-10-16,DMI,Microsoft Azure DevOps Services,"394.167,60","328.163,04","66.004,56",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00006938/2024-91,90027,Pregao Eletronico,2024,2024-09-10,SAPLE,Aquisicao de Equipamentos Audiovisuais,"2.256.481,07","1.699.600,83","556.880,24",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007277/2024-11,90012,Pregao Eletronico,2024,2024-05-17,CESG,Agenciamento de Viagens,"489.968,80","227.166,40","262.802,40",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00007579/2024-99,90016,Pregao Eletronico,2024,2024-06-06,NPG,Modulos de Acabamneto Xerox,"191.757,50","190.000,00","1.757,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00008362/2023-15,90043,Pregao Eletronico,2024,2025-01-09,DMI,Aquisicao de Servidores de Infraestrutura,"9.619.681,44","9.505.281,44","114.400,00",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00009702/2022-44,90024,Pregao Eletronico,2024,2024-09-20,ASTEA,Semi-integrada de Reforma e Manutencao de Elevadores,"1.127.415,80","1.041.000,00","86.415,80",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00010375/2024-35,90042,Pregao Eletronico,2024,2024-11-04,ASTEA,Aquisicao de Persianas,"311.997,54","126.268,00","185.729,54",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00011714/2024-09,90039,Pregao Eletronico,2024,2024-10-23,ASTEA,Aquisicao de Divisorias Sanitarias,"202.893,10","202.044,00","849,10",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00014440/2024-00,90017,Pregao Eletronico,2024,2024-06-21,NUPLAC,Aquisicao de Copos Biodegradaveis,"139.056,30","66.363,40","72.692,90",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00015547/2024-67,90026,Pregao Eletronico,2024,2024-08-22,ASTEA,Pergolato para o restaurante,"319.565,30","278.946,97","40.618,33",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016696/2024-43,90020,Pregao Eletronico,2024,2024-07-02,NUPLAC,Material de Expediente,"27.150,00","7.010,50","20.139,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00016696/2024-43,90025,Pregao Eletronico,2024,2024-09-24,COPOL,Equipamentos de Sinalizacao Viaria,"153.380,50","114.000,00","39.380,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00017042/2023-56,90002,Pregao Eletronico,2024,2024-03-14,CMI,Outsourcing de impressao,"935.710,08","406.558,20","529.151,88",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00017453/2023-41,90041,Pregao Eletronico,2024,2024-10-29,SEMAP,Aquisicao de Televisores,"86.281,37","57.404,87","28.876,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00018355/2022-41,90034,Pregao Eletronico,2024,2024-10-01,ASTEA,Reforma do SEDA,"386.323,50","376.200,00","10.123,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00019376/2023-64,90014,Pregao Eletronico,2024,2024-05-28,SEAUX,Locacao de Veiculos,"732.620,40",,,,,,Suspenso,2026-08-26T17:25:35
licitacoes,00022072/2024-65,90037,Pregao Eletronico,2024,2024-10-15,NUPLAC,Material do Expediente,"147.844,50","64.199,40","83.645,10",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00025005/2023-11,90015,Pregao Eletronico,2024,2024-05-29,SEINF,Licencas de Produtos Microsoft,"2.038.142,22","1.436.546,60","601.595,62",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00025834/2024-85,90029,Pregao Eletronico,2024,2024-08-29,CERIM,Aquisicao de Pastas para Diplomas,"81.069,50","53.600,00","27.469,50",,,,Encerrado,2026-08-26T17:25:35
licitacoes,00027880/2024-19,90033,Pregao Eletronico,2024,2024-09-25,SACPRO,Manutencao da Central Telefônica,"253.400,04","58.800,00","194.600,04",,,,Encerrado,2026-08-26T17:25:35
