unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-02,2024,02,10,0,0,0
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-02,2024,02,6,0,0,0
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-03,2024,03,3,0,0,0
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2024-03,2024,03,3,0,0,0
Auditoria Interna - AUDIT,2024-03,2024,03,5,0,0,0
Comissão Permanente de Contratação - CPC,2024-03,2024,03,1,0,0,0
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-03,2024,03,4,0,0,0
Comissão de Constituição e Justiça - CCJ,2024-03,2024,03,4,0,0,0
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-03,2024,03,7,0,0,0
"Comissão de Educação, Saúde e Cultura - CESC",2024-03,2024,03,2,0,0,0
Consultoria Legislativa,2024-03,2024,03,4,0,0,0
Diretoria de Administração e Finanças - DAF,2024-03,2024,03,3,0,0,0
Diretoria de Comunicação Social - DICOM,2024-03,2024,03,1,0,0,0
Diretoria de Gestão de Pessoas - DGP,2024-03,2024,03,1,0,0,0
Escola do Legislativo - ELEGIS,2024-03,2024,03,3,0,0,0
Gabinete da Mesa Diretoria - GMD,2024-03,2024,03,3,0,0,0
Gabinete da Terceira Secretaria - GTS,2024-03,2024,03,1,0,0,0
Núcleo de Carreira e Desempenho - NCAD,2024-03,2024,03,1,0,0,0
Núcleo de Educação Permanente - NEP/ELEGIS,2024-03,2024,03,3,0,0,0
Núcleo de Gestão Patrimonial - NUGEP,2024-03,2024,03,1,0,0,0
Núcleo de Informatização da Legislação - NIL,2024-03,2024,03,1,0,0,0
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-03,2024,03,6,0,0,0
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-03,2024,03,1,0,0,0
Ouvidoria,2024-03,2024,03,3,0,0,0
Publicidade Institucional - PI,2024-03,2024,03,1,0,0,0
Setor de Apoio às Comissões Permanentes - SACP,2024-03,2024,03,5,0,0,0
Setor de Apoio às Comissões Temporárias - SACT,2024-03,2024,03,3,0,0,0
Setor de Biblioteca - SEBIB,2024-03,2024,03,3,0,0,0
Setor de Desenvolvimento de Pessoas - SEDEP,2024-03,2024,03,1,0,0,0
Setor de Finanças - SEFIN,2024-03,2024,03,4,0,0,0
Setor de Serviçs Auxiliares - SEAUX,2024-03,2024,03,1,0,0,0
Setor de Taquigrafia - SETAQ,2024-03,2024,03,45,0,0,0
Seção de Administração de Sistemas - SEASI,2024-03,2024,03,5,0,0,0
Seção de Elaboração Orçamentária - SEORC,2024-03,2024,03,3,0,0,0
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-03,2024,03,6,0,0,0
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-03,2024,03,10,0,0,0
Unidade de Constituição e Justiça - UCJ,2024-03,2024,03,7,0,0,0
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-03,2024,03,9,0,0,0
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-03,2024,03,6,0,0,0
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-04,2024,04,1,0,0,0
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-04,2024,04,3,0,0,0
Assessoria de Governança Legislativa e Gestão Estratégica,2024-04,2024,04,3,0,0,0
Auditoria Interna - AUDIT,2024-04,2024,04,5,0,0,0
Comissão Permanente de Contratação - CPC,2024-04,2024,04,1,0,0,0
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-04,2024,04,4,0,0,0
Comissão de Constituição e Justiça - CCJ,2024-04,2024,04,4,0,0,0
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-04,2024,04,9,0,0,0
"Comissão de Educação, Saúde e Cultura - CESC",2024-04,2024,04,2,0,0,0
Consultoria Legislativa,2024-04,2024,04,4,0,0,0
Diretoria de Administração e Finanças - DAF,2024-04,2024,04,3,0,0,0
Diretoria de Comunicação Social - DICOM,2024-04,2024,04,1,0,0,0
Diretoria de Gestão de Pessoas - DGP,2024-04,2024,04,2,0,0,0
Escola do Legislativo - ELEGIS,2024-04,2024,04,3,0,0,0
Gabinete da Mesa Diretoria - GMD,2024-04,2024,04,3,0,0,0
Gabinete da Terceira Secretaria - GTS,2024-04,2024,04,2,0,0,0
Núcleo de Carreira e Desempenho - NCAD,2024-04,2024,04,1,0,0,0
Núcleo de Comunicação Organizacional - NCO,2024-04,2024,04,1,0,0,0
Núcleo de Educação Permanente - NEP/ELEGIS,2024-04,2024,04,3,0,0,0
Núcleo de Gestão Patrimonial - NUGEP,2024-04,2024,04,1,0,0,0
Núcleo de Informatização da Legislação - NIL,2024-04,2024,04,1,0,0,0
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-04,2024,04,6,0,0,0
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-04,2024,04,1,0,0,0
Ouvidoria,2024-04,2024,04,4,0,0,0
Publicidade Institucional - PI,2024-04,2024,04,1,0,0,0
Setor de Apoio às Comissões Permanentes - SACP,2024-04,2024,04,5,0,0,0
Setor de Apoio às Comissões Temporárias - SACT,2024-04,2024,04,2,0,0,0
Setor de Biblioteca - SEBIB,2024-04,2024,04,3,0,0,0
Setor de Desenvolvimento de Pessoas - SEDEP,2024-04,2024,04,1,0,0,0
Setor de Finanças - SEFIN,2024-04,2024,04,4,0,0,0
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-04,2024,04,2,0,0,0
Setor de Serviços Auxiliares - SEAUX,2024-04,2024,04,1,0,0,0
Setor de Taquigrafia - SETAQ,2024-04,2024,04,45,0,0,0
Seção de Administração de Sistemas - SEASI,2024-04,2024,04,5,0,0,0
Seção de Elaboração Orçamentária - SEORC,2024-04,2024,04,3,0,0,0
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-04,2024,04,6,0,0,0
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-04,2024,04,10,0,0,0
Unidade de Constituição e Justiça - UCJ,2024-04,2024,04,7,0,0,0
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-04,2024,04,10,0,0,0
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-04,2024,04,6,0,0,0
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-05,2024,05,1,0,0,0
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-05,2024,05,3,0,0,0
Assessoria de Governança Legislativa e Gestão Estratégica,2024-05,2024,05,4,0,0,0
Auditoria Interna - AUDIT,2024-05,2024,05,5,0,0,0
Comissão Permanente de Contratação - CPC,2024-05,2024,05,1,0,0,0
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-05,2024,05,4,0,0,0
Comissão de Constituição e Justiça - CCJ,2024-05,2024,05,4,0,0,0
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-05,2024,05,9,0,0,0
"Comissão de Educação, Saúde e Cultura - CESC",2024-05,2024,05,2,0,0,0
Consultoria Legislativa,2024-05,2024,05,4,0,0,0
Diretoria de Administração e Finanças - DAF,2024-05,2024,05,3,0,0,0
Diretoria de Comunicação Social - DICOM,2024-05,2024,05,1,0,0,0
Diretoria de Gestão de Pessoas - DGP,2024-05,2024,05,2,0,0,0
Escola do Legislativo - ELEGIS,2024-05,2024,05,3,0,0,0
Gabinete da Mesa Diretoria - GMD,2024-05,2024,05,3,0,0,0
Gabinete da Terceira Secretaria - GTS,2024-05,2024,05,2,0,0,0
Núcleo de Carreira e Desempenho - NCAD,2024-05,2024,05,1,0,0,0
Núcleo de Classificação e Codificação - NUCOD,2024-05,2024,05,1,0,0,0
Núcleo de Comunicação Organizacional - NCO,2024-05,2024,05,1,0,0,0
Núcleo de Educação Permanente - NEP/ELEGIS,2024-05,2024,05,3,0,0,0
Núcleo de Enfermagem - NENF,2024-05,2024,05,1,0,0,0
Núcleo de Gestão Patrimonial - NUGEP,2024-05,2024,05,1,0,0,0
Núcleo de Gestão e Desenvolvimento - NGED,2024-05,2024,05,1,0,0,0
Núcleo de Informatização da Legislação - NIL,2024-05,2024,05,1,0,0,0
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-05,2024,05,7,0,0,0
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-05,2024,05,1,0,0,0
Ouvidoria,2024-05,2024,05,5,0,0,0
Publicidade Institucional - PI,2024-05,2024,05,1,0,0,0
Setor de Apoio às Comissões Permanentes,2024-05,2024,05,5,0,0,0
Setor de Apoio às Comissões Permanentes - SACP,2024-05,2024,05,5,0,0,0
Setor de Apoio às Comissões Temporárias - SACT,2024-05,2024,05,2,0,0,0
Setor de Auditoria Médica / FASCAL,2024-05,2024,05,1,0,0,0
Setor de Biblioteca - SEBIB,2024-05,2024,05,3,0,0,0
Setor de Desenvolvimento de Pessoas - SEDEP,2024-05,2024,05,1,0,0,0
Setor de Finanças - SEFIN,2024-05,2024,05,4,0,0,0
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-05,2024,05,2,0,0,0
Setor de Serviços Auxiliares - SEAUX,2024-05,2024,05,1,0,0,0
Setor de Taquigrafia - SETAQ,2024-05,2024,05,46,0,0,0
Seção de Administração de Sistemas - SEASI,2024-05,2024,05,5,0,0,0
Seção de Elaboração Orçamentária - SEORC,2024-05,2024,05,3,0,0,0
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-05,2024,05,6,0,0,0
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-05,2024,05,10,0,0,0
Unidade de Constituição e Justiça - UCJ,2024-05,2024,05,7,0,0,0
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-05,2024,05,10,0,0,0
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-05,2024,05,5,0,0,0
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-06,2024,06,1,0,0,1
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-06,2024,06,3,0,0,3
Assessoria de Governança Legislativa e Gestão Estratégica,2024-06,2024,06,4,0,0,4
Auditoria Interna - AUDIT,2024-06,2024,06,5,0,0,5
Comissão Permanente de Contratação - CPC,2024-06,2024,06,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-06,2024,06,4,0,0,4
Comissão de Constituição e Justiça - CCJ,2024-06,2024,06,3,0,0,3
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-06,2024,06,9,0,0,9
"Comissão de Educação, Saúde e Cultura - CESC",2024-06,2024,06,2,0,0,2
Consultoria Legislativa,2024-06,2024,06,4,0,0,4
Diretoria de Administração e Finanças - DAF,2024-06,2024,06,3,0,0,3
Diretoria de Comunicação Social - DICOM,2024-06,2024,06,1,0,0,1
Diretoria de Gestão de Pessoas - DGP,2024-06,2024,06,2,0,0,2
Escola do Legislativo - ELEGIS,2024-06,2024,06,3,0,0,3
Gabinete da Mesa Diretoria - GMD,2024-06,2024,06,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2024-06,2024,06,3,0,0,3
Núcleo de Carreira e Desempenho - NCAD,2024-06,2024,06,1,0,0,1
Núcleo de Classificação e Codificação - NUCOD,2024-06,2024,06,1,0,0,1
Núcleo de Educação Permanente - NEP/ELEGIS,2024-06,2024,06,2,0,0,2
Núcleo de Enfermagem - NENF,2024-06,2024,06,1,0,0,1
Núcleo de Gestão Patrimonial - NUGEP,2024-06,2024,06,1,0,0,1
Núcleo de Gestão e Desenvolvimento - NGED,2024-06,2024,06,1,0,0,1
Núcleo de Informatização da Legislação - NIL,2024-06,2024,06,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-06,2024,06,7,0,0,7
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-06,2024,06,1,0,0,1
Ouvidoria,2024-06,2024,06,5,0,0,5
Publicidade Institucional - PI,2024-06,2024,06,1,0,0,1
Setor de Apoio às Comissões Permanentes - SACP,2024-06,2024,06,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2024-06,2024,06,2,0,0,2
Setor de Auditoria Médica / FASCAL,2024-06,2024,06,1,0,0,1
Setor de Biblioteca - SEBIB,2024-06,2024,06,3,0,0,3
Setor de Desenvolvimento de Pessoas - SEDEP,2024-06,2024,06,1,0,0,1
Setor de Finanças - SEFIN,2024-06,2024,06,4,0,0,4
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-06,2024,06,2,0,0,2
Setor de Serviços Auxiliares - SEAUX,2024-06,2024,06,1,0,0,1
Setor de Taquigrafia - SETAQ,2024-06,2024,06,47,0,0,47
Seção de Administração de Sistemas - SEASI,2024-06,2024,06,5,0,0,5
Seção de Elaboração Orçamentária - SEORC,2024-06,2024,06,3,0,0,3
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-06,2024,06,6,0,0,6
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-06,2024,06,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2024-06,2024,06,7,0,0,7
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-06,2024,06,10,0,0,10
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-06,2024,06,6,0,0,6
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-07,2024,07,1,0,0,1
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-07,2024,07,3,0,0,3
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2024-07,2024,07,4,0,0,4
Auditoria Interna - AUDIT,2024-07,2024,07,5,0,0,5
Comissão Permanente de Contratação - CPC,2024-07,2024,07,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-07,2024,07,4,0,0,4
Comissão de Constituição e Justiça - CCJ,2024-07,2024,07,4,0,0,4
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-07,2024,07,10,0,0,10
Consultoria Legislativa,2024-07,2024,07,4,0,0,4
Diretoria de Comunicação Social - DICOM,2024-07,2024,07,1,0,0,1
Diretoria de Gestão de Pessoas - DGP,2024-07,2024,07,2,0,0,2
Gabinete da Mesa Diretoria - GMD,2024-07,2024,07,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2024-07,2024,07,3,0,0,3
Núcleo de Classificação e Codificação - NUCOD,2024-07,2024,07,1,0,0,1
Núcleo de Educação Permanente - NEP/ELEGIS,2024-07,2024,07,2,0,0,2
Núcleo de Enfermagem - NENF,2024-07,2024,07,1,0,0,1
Núcleo de Gestão Patrimonial - NUGEP,2024-07,2024,07,1,0,0,1
Núcleo de Informatização da Legislação - NIL,2024-07,2024,07,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-07,2024,07,7,0,0,7
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-07,2024,07,1,0,0,1
Publicidade Institucional - PI,2024-07,2024,07,1,0,0,1
Setor de Apoio às Comissões Permanentes,2024-07,2024,07,1,0,0,1
Setor de Apoio às Comissões Permanentes - SACP,2024-07,2024,07,1,0,0,1
Setor de Apoio às Comissões Temporárias - SACT,2024-07,2024,07,2,0,0,2
Setor de Auditoria Médica / FASCAL,2024-07,2024,07,1,0,0,1
Setor de Biblioteca - SEBIB,2024-07,2024,07,3,0,0,3
Setor de Finanças - SEFIN,2024-07,2024,07,4,0,0,4
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-07,2024,07,2,0,0,2
Setor de Serviços Auxiliares - SEAUX,2024-07,2024,07,1,0,0,1
Setor de Taquigrafia - SETAQ,2024-07,2024,07,47,0,0,47
Seção de Administração de Sistemas - SEASI,2024-07,2024,07,5,0,0,5
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-07,2024,07,11,0,0,11
Unidade de Constituição e Justiça - UCJ,2024-07,2024,07,1,0,0,1
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-07,2024,07,10,0,0,10
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-08,2024,08,1,0,0,1
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-08,2024,08,3,0,0,3
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2024-08,2024,08,4,0,0,4
Auditoria Interna - AUDIT,2024-08,2024,08,5,0,0,5
Comissão Permanente de Contratação - CPC,2024-08,2024,08,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-08,2024,08,4,0,0,4
Comissão de Constituição e Justiça - CCJ,2024-08,2024,08,4,0,0,4
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-08,2024,08,10,0,0,10
"Comissão de Educação, Saúde e Cultura - CESC",2024-08,2024,08,2,0,0,2
Consultoria Legislativa,2024-08,2024,08,4,0,0,4
Diretoria de Administração e Finanças - DAF,2024-08,2024,08,3,0,0,3
Diretoria de Comunicação Social - DICOM,2024-08,2024,08,1,0,0,1
Diretoria de Gestão de Pessoas - DGP,2024-08,2024,08,1,0,0,1
Escola do Legislativo - ELEGIS,2024-08,2024,08,2,0,0,2
Gabinete da Mesa Diretoria - GMD,2024-08,2024,08,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2024-08,2024,08,3,0,0,3
NCAD,2024-08,2024,08,1,0,0,1
Núcleo de Classificação e Codificação - NUCOD,2024-08,2024,08,1,0,0,1
Núcleo de Educação Permanente - NEP/ELEGIS,2024-08,2024,08,2,0,0,2
Núcleo de Enfermagem - NENF,2024-08,2024,08,1,0,0,1
Núcleo de Gestão Patrimonial - NUGEP,2024-08,2024,08,1,0,0,1
Núcleo de Gestão e Desenvolvimento - NGED,2024-08,2024,08,1,0,0,1
Núcleo de Informatização da Legislação - NIL,2024-08,2024,08,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-08,2024,08,8,0,0,8
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-08,2024,08,1,0,0,1
Ouvidoria,2024-08,2024,08,5,0,0,5
Publicidade Institucional - PI,2024-08,2024,08,1,0,0,1
Setor de Apoio às Comissões Permanentes - SACP,2024-08,2024,08,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2024-08,2024,08,4,0,0,4
Setor de Assistência Social e Qualidade de Vida no Trabalho- SASQ,2024-08,2024,08,2,0,0,2
Setor de Ata e Súmula - SEAS,2024-08,2024,08,8,0,0,8
Setor de Biblioteca - SEBIB,2024-08,2024,08,4,0,0,4
Setor de Cadastro Parlamentar e de Cargos Comissionados - SECAD,2024-08,2024,08,1,0,0,1
Setor de Desenvolvimento de Pessoas - SEDEP,2024-08,2024,08,1,0,0,1
Setor de Finanças - SEFIN,2024-08,2024,08,5,0,0,5
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-08,2024,08,2,0,0,2
Setor de Serviços Auxiliares - SEAUX,2024-08,2024,08,1,0,0,1
Setor de Taquigrafia - SETAQ,2024-08,2024,08,47,0,0,47
Seção de Administração de Sistemas - SEASI,2024-08,2024,08,2,0,0,2
Seção de Elaboração Orçamentária - SEORC,2024-08,2024,08,3,0,0,3
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-08,2024,08,12,0,0,12
Unidade de Constituição e Justiça - UCJ,2024-08,2024,08,6,0,0,6
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-08,2024,08,11,0,0,11
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-08,2024,08,7,0,0,7
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-09,2024,09,1,0,0,1
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-09,2024,09,3,0,0,3
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2024-09,2024,09,4,0,0,4
Auditoria Interna - AUDIT,2024-09,2024,09,6,0,0,6
Comissão Permanente de Contratação - CPC,2024-09,2024,09,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-09,2024,09,4,0,0,4
Comissão de Constituição e Justiça - CCJ,2024-09,2024,09,4,0,0,4
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-09,2024,09,10,0,0,10
"Comissão de Educação, Saúde e Cultura - CESC",2024-09,2024,09,2,0,0,2
Consultoria Legislativa,2024-09,2024,09,4,0,0,4
Diretoria de Administração e Finanças - DAF,2024-09,2024,09,3,0,0,3
Diretoria de Comunicação Social - DICOM,2024-09,2024,09,1,0,0,1
Diretoria de Gestão de Pessoas - DGP,2024-09,2024,09,1,0,0,1
Escola do Legislativo - ELEGIS,2024-09,2024,09,2,0,0,2
Gabinete da Mesa Diretoria - GMD,2024-09,2024,09,3,0,0,3
Gabinete da Segunda Secretaria - GSS,2024-09,2024,09,4,0,0,4
Gabinete da Terceira Secretaria - GTS,2024-09,2024,09,2,0,0,2
Núcleo de Carreira e Desempenho - NCAD,2024-09,2024,09,1,0,0,1
Núcleo de Classificação e Codificação - NUCOD,2024-09,2024,09,1,0,0,1
Núcleo de Contratos - NUCOD,2024-09,2024,09,1,0,0,1
Núcleo de Educação Permanente - NEP/ELEGIS,2024-09,2024,09,2,0,0,2
Núcleo de Enfermagem - NENF,2024-09,2024,09,1,0,0,1
Núcleo de Gestão Patrimonial - NUGEP,2024-09,2024,09,1,0,0,1
Núcleo de Gestão e Desenvolvimento - NGED,2024-09,2024,09,1,0,0,1
Núcleo de Informatização da Legislação - NIL,2024-09,2024,09,1,0,0,1
Núcleo de Instruções e Pesquisa de Preços - NUINP,2024-09,2024,09,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-09,2024,09,10,0,0,10
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-09,2024,09,1,0,0,1
Ouvidoria,2024-09,2024,09,5,0,0,5
Setor de Apoio às Comissões Permanentes - SACP,2024-09,2024,09,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2024-09,2024,09,4,0,0,4
Setor de Assistência Social e Qualidade de Vida no Trabalho- SASQ,2024-09,2024,09,2,0,0,2
Setor de Ata e Súmula - SEAS,2024-09,2024,09,8,0,0,8
Setor de Auditoria Médica - SAM,2024-09,2024,09,3,0,0,3
Setor de Biblioteca - SEBIB,2024-09,2024,09,4,0,0,4
Setor de Cadastro Parlamentar e de Cargos Comissionados - SECAD,2024-09,2024,09,2,0,0,2
Setor de Desenvolvimento de Pessoas - SEDEP,2024-09,2024,09,1,0,0,1
Setor de Finanças - SEFIN,2024-09,2024,09,5,0,0,5
Setor de Inovação e Tecnologia da Informação - SEINOVA,2024-09,2024,09,3,0,0,3
Setor de Serviços Auxiliares - SEAUX,2024-09,2024,09,1,0,0,1
Setor de Taquigrafia - SETAQ,2024-09,2024,09,46,0,0,46
Seção de Administração de Sistemas - SEASI,2024-09,2024,09,2,0,0,2
Seção de Elaboração Orçamentária - SEORC,2024-09,2024,09,3,0,0,3
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-09,2024,09,5,0,0,5
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-09,2024,09,12,0,0,12
Unidade de Constituição e Justiça - UCJ,2024-09,2024,09,6,0,0,6
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-09,2024,09,11,0,0,11
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-09,2024,09,5,0,0,5
"Unidade de Tecnologia Aplicada, Ciência de Dados e Inteligência Artificial - UCT",2024-09,2024,09,1,0,0,1
,2024-10,2024,10,8,0,0,8
?COMISSÃO DE ASSUNTOS SOCIAIS - CAS,2024-10,2024,10,1,0,0,1
Assessoria Técnica de Engenhearia e Arquitetura - ASTEA,2024-10,2024,10,3,0,0,3
Assessoria de Governança Legislativa e Gestão Estratégica - ASSEGE,2024-10,2024,10,4,0,0,4
Auditoria Interna - AUDIT,2024-10,2024,10,6,0,0,6
Comissão Permanente de Contratação - CPC,2024-10,2024,10,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-10,2024,10,4,0,0,4
Comissão de Constituição e Justiça - CCJ,2024-10,2024,10,4,0,0,4
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-10,2024,10,9,0,0,9
"Comissão de Educação, Saúde e Cultura - CESC",2024-10,2024,10,2,0,0,2
Consultoria Legislativa,2024-10,2024,10,4,0,0,4
Diretoria de Administração e Finanças - DAF,2024-10,2024,10,3,0,0,3
Diretoria de Comunicação Social - DICOM,2024-10,2024,10,1,0,0,1
Diretoria de Gestão de Pessoas - DGP,2024-10,2024,10,1,0,0,1
Escola do Legislativo - ELEGIS,2024-10,2024,10,2,0,0,2
Gabinete da Mesa Diretoria - GMD,2024-10,2024,10,3,0,0,3
Gabinete da Segunda Secretaria - GSS,2024-10,2024,10,4,0,0,4
Gabinete da Terceira Secretaria - GTS,2024-10,2024,10,3,0,0,3
Núcleo de Carreira e Desempenho - NCAD,2024-10,2024,10,1,0,0,1
Núcleo de Classificação e Codificação - NUCOD,2024-10,2024,10,1,0,0,1
Núcleo de Contratos - NUCOD,2024-10,2024,10,1,0,0,1
Núcleo de Educação Permanente - NEP/ELEGIS,2024-10,2024,10,2,0,0,2
Núcleo de Gestão Patrimonial - NUGEP,2024-10,2024,10,1,0,0,1
Núcleo de Gestão e Desenvolvimento - NGED,2024-10,2024,10,1,0,0,1
Núcleo de Informatização da Legislação - NIL,2024-10,2024,10,1,0,0,1
Núcleo de Instruções e Pesquisa de Preços - NUINP,2024-10,2024,10,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-10,2024,10,10,0,0,10
Núcleo de Projeto Especiais - NPE/ELEGIS,2024-10,2024,10,1,0,0,1
Ouvidoria,2024-10,2024,10,6,0,0,6
Publicidade Institucional,2024-10,2024,10,1,0,0,1
Secretaria Legislativa,2024-10,2024,10,1,0,0,1
Setor de Apoio às Comissões Permanentes - SACP,2024-10,2024,10,7,0,0,7
Setor de Apoio às Comissões Temporárias - SACT,2024-10,2024,10,4,0,0,4
Setor de Assistência Social e Qualidade de Vida no Trabalho- SASQ,2024-10,2024,10,2,0,0,2
Setor de Ata e Súmula - SEAS,2024-10,2024,10,8,0,0,8
Setor de Auditoria Médica - SAM,2024-10,2024,10,9,0,0,9
Setor de Biblioteca - SEBIB,2024-10,2024,10,4,0,0,4
Setor de Cadastro Parlamentar e de Cargos Comissionados - SECAD,2024-10,2024,10,2,0,0,2
Setor de Desenvolvimento de Pessoas - SEDEP,2024-10,2024,10,1,0,0,1
Setor de Finanças - SEFIN,2024-10,2024,10,5,0,0,5
