unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
Núcleo de Publicidade Legal,2023-05,2023,05,6,0,0,6
Ouvidoria,2023-05,2023,05,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-05,2023,05,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2023-05,2023,05,1,0,0,1
Setor de Assistência Social - SASo,2023-05,2023,05,1,0,0,1
Setor de Biblioteca - SEBIB,2023-05,2023,05,4,0,0,4
Setor de Finanças - SEFIN,2023-05,2023,05,4,0,0,4
Setor de Patrimônio - SEPAT,2023-05,2023,05,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-05,2023,05,44,0,0,44
Seção de Elaboração Orçamentária - SEORC,2023-05,2023,05,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-05,2023,05,7,0,0,7
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-05,2023,05,7,0,0,7
Unidade de Constituição e Justiça - UCJ,2023-05,2023,05,4,0,0,4
Unidade de Economia e Finanças - UEF,2023-05,2023,05,8,0,0,8
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-05,2023,05,8,0,0,8
Assessoria Legislativa,2023-06,2023,06,4,0,0,4
Auditoria - AUDIT,2023-06,2023,06,4,0,0,4
Comissão Permanente de Contratação - CPC,2023-06,2023,06,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-06,2023,06,3,0,0,3
Comissão de Constituição e Justiça - CCJ,2023-06,2023,06,4,0,0,4
Comissão de Economia Orçamento e Finanças - CEOF,2023-06,2023,06,4,0,0,4
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-06,2023,06,1,0,0,1
Escola do Legislativo - ELEGIS,2023-06,2023,06,5,0,0,5
Gabinete da Mesa Diretoria - GMD,2023-06,2023,06,4,0,0,4
Ouvidoria,2023-06,2023,06,3,0,0,3
Setor de Apoio às Comissões Permanentes - SACP,2023-06,2023,06,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2023-06,2023,06,1,0,0,1
Setor de Assistência Social - SASo,2023-06,2023,06,1,0,0,1
