ano,tipoProposicao,numero,ementa,comissao,comissao_fonte,verdict,verdict_estrutural,clausula,sigla_unidade,documento_id,data_documento
2022,Projeto de Decreto Legislativo,278,Concede Título de Cidadão Honorário de Brasília ao Senhor Alessandro Rodrigues Paschoall.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Por esses motivos, voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 278/2022.",GAB DEP IOLANDO,105962,2023-11-29T14:24:28.747
2022,Projeto de Decreto Legislativo,279,Concede o Título de Cidadão Honorário de Brasília ao senhor Manoel Coelho Arruda Júnior.  ,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 279/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,92445,2023-09-26T16:13:49.733
2022,Projeto de Decreto Legislativo,287,"""Concede o Título de Cidadão Honorário de Brasília à Sebastião de Carvalho Neto""",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 287/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP CHICO VIGILANTE,90416,2023-09-14T12:06:58.43
2022,Projeto de Decreto Legislativo,289,“Concede o Título de Cidadão Benemérito de Brasília a Bruno Ericky Francisco Alvim de Oliveira”,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 289/2022 no âmbito desta Comissão de Constituição e Justiça.",GAB DEP THIAGO MANZONI,78715,2023-06-15T13:28:32.297
2022,Projeto de Decreto Legislativo,293,Concede o Título de Cidadão Honorário de Brasília ao Senhor Sebastião Theodoro Gomes.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 293/2022 no âmbito da CCJ, na forma do substitutivo anexo.",GAB DEP FÁBIO FÉLIX,120479,2024-05-06T15:13:15.2
2022,Projeto de Lei,2473,"Dispõe sobre o correto acondicionamento dos filtros de produtos fumígenos, pontas de cigarros ou equivalentes.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Portanto, a proposição reúne condições de constitucionalidade e juridicidade, motivo pelo qual nosso voto é pela admissibilidade do Projeto de Lei nº 2.473/2022.",GAB DEP FÁBIO FÉLIX,82109,2023-07-07T16:16:47.18
2022,Projeto de Lei,2490,"
Institui o Programa Distrital de Conscientização da Depressão Infanto-Juvenil e dá outras providências.
",CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Aprovado(a),"mentário, em descompasso, portanto, com o art. 8º da Lei Complementar nº 13/1996. Por todo o exposto, considerados os insanáveis óbices de ordem constitucional, jurídica e regimental apontados, resta-nos manifestar voto pela INADMISSIBILIDADE do Projeto de Lei n.º 2.490/2022.",GAB DEP IOLANDO,66838,2023-04-03T18:26:48.98
2022,Projeto de Lei,2505,"Estabelece a Política Distrital de Fomento ao Futevôlei no Distrito Federal, denominada Lei Pró-Futevôlei.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante de todo o exposto, manifestamo-nos pela admissibilidade do Projeto de Lei nº 2505/22, no âmbito da CCJ, com a Emenda Supressiva em anexo.",GAB DEP FÁBIO FÉLIX,116328,2024-04-02T14:59:51.14
2022,Projeto de Lei,2507,"Cria a Política Distrital de Atendimento e Acompanhamento de Crianças com Lipomielomeningocele, e fixa outras providências.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei n° 2.507/2022, na forma do substitutivo da Comissão de Assuntos Sociais.",GAB DEP IOLANDO,77546,2023-06-07T12:39:19.257
2022,Projeto de Lei,2508,"Institui a Política Distrital destinada à Inclusão Social e Ambiental de Jovens, no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante de todo o exposto, manifestamo-nos pela admissibilidade do Projeto de Lei nº 2508/22, no âmbito da CCJ, com uma emenda supressiva.",GAB DEP FÁBIO FÉLIX,79842,2023-06-22T16:44:19.74
2022,Projeto de Lei,2521,"
Altera a Lei n. 4.060, de 18 de dezembro de 2007, que “Define sanções a serem aplicadas pela prática de maus-tratos a animais e dá outras providências”.
",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Não apreciado(a),"Por todo o exposto, conclui-se pela ADMISSIBILIDADE do Projeto de Lei n° 2.521, de 2022, no âmbito desta Comissão de Constituição e Justiça, com a emenda modificativa, em anexo.",GAB DEP FÁBIO FÉLIX,111581,2024-02-27T15:06:08.703
2022,Projeto de Lei,2540,Institui o Política Distrital de Educação Preventiva contra a Hanseníase e de Combate ao Preconceito no Distrito Federal.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Não apreciado(a),"Pelo exposto, considerando a possibilidade de correção dos vícios identificados, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei nº 2540/2022, na forma das EMENDAS anexas.",GAB DEP FÁBIO FÉLIX,287587,2025-02-25T11:39:50.583
2022,Projeto de Lei,2566,"Dispõe sobre a distância para a instalação das Faixas de Travessia de Pedestre com os Pólos Geradores de Viagens, no âmbito do Distrito Federal",CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Não apreciado(a),"parágrafo único da Constituição Federal, nos arts. 15, XXII, 53 e 337 da Lei Orgânica do Distrito Federal, bem como nos arts. 7º, I, 12, I, 21, I a III, 22, I, 90, §1º e 91 do Código de Trânsito Brasileiro, nosso voto é pela INADMISSIBILIDADE do Projeto de Lei nº 2.566/2022 e do substitutivo a ele apresentado no âmbito da CMTU.",GAB DEP CHICO VIGILANTE,98029,2023-10-19T15:20:41.607
2022,Projeto de Lei,2703,"Altera dispositivos da Lei nº 3.543, de 11 de janeiro de 2005, que “Institui o Dia do Skatista no Distrito Federal”.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"i nº 5.543, de 11 de janeiro de 2005, como objeto de alteração, quando, na realidade, é a Lei nº 3.543, de 11 de janeiro de 2005, conforme mencionado na ementa e no caput do art. 1º. Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.703/2022, com o acatamento da Emenda de Redação nº 1, da CESC, no âmbito da Comissão de Constituição e Justiça.",GAB DEP FÁBIO FÉLIX,66791,2023-04-03T16:41:32.79
2022,Projeto de Lei,2704,"Institui e inclui no Calendário Oficial de Eventos do Distrito Federal, o ""Dia Distrital da Lipomielomeningocele"", no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Diante dessas ponderações, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.704/2022, no âmbito da CCJ, na forma do substitutivo apresentado.",GAB DEP IOLANDO,77537,2023-06-07T12:05:30.29
2022,Projeto de Lei,2704,"Institui e inclui no Calendário Oficial de Eventos do Distrito Federal, o ""Dia Distrital da Lipomielomeningocele"", no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Não apreciado(a),"Diante dessas ponderações, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.704/2022, no âmbito da CCJ, na forma do substitutivo apresentado.",GAB DEP IOLANDO,77532,2023-06-07T11:54:53.437
2022,Projeto de Lei,2720,"Altera a Lei nº 4.949, de 15 de outubro de 2012, que estabelece normas gerais para realização de concurso público pela administração direta, autárquica e fundacional do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Não apreciado(a),"III - CONCLUSÃO Pelo exposto, manifestamos voto pela ADMISSIBILIDADE constitucional e jurídica do Projeto de Lei nº 2.720/2022, na forma da subemenda em anexo.",GAB DEP ROBÉRIO NEGREIROS,304058,2025-06-24T10:36:29.17
2022,Projeto de Lei,2734,"Institui o Polo Agroecológico e Agroturístico do Lago Oeste na região conhecida como Núcleo Rural Lago Oeste, Região Administrativa de Sobradinho",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Não apreciado(a),"Pelo exposto, no âmbito desta Comissão de Constituição e Justiça, votamos pela ADMISSIBILIDADE do Projeto de Lei nº 2.734 /2022.",GAB DEP IOLANDO,304088,2025-06-24T14:09:28.487
2022,Projeto de Lei,2735,"As empresas e os estabelecimentos comerciais de vendas no varejo e atacado, que possuam serviço de atendimento ao cliente - SAC ou assemelhados iniciados pelo prefixo 0800, devem assegurar aos consumidores, a gratuidade do atendimento telefônico para efetuar reclamação, esclarecimentos de dúvidas, suspensão ou cancelamento de contratos, cadastros e de serviços ou de prestação de outros serviços, no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Não apreciado(a),"Por todo o exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei n.º 2735, de 2022, na forma do substitutivo da Comissão de Defesa do Consumidor.",GAB DEP ROBÉRIO NEGREIROS,294511,2025-04-28T14:30:11.93
2022,Projeto de Lei,2746,"Estabelece a Política Distrital de Fomento ao Remo no Distrito Federal, denominada Lei Pró-Remo.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Diante de todo o exposto, manifestamo-nos pela ADMISSIBILIDADE do Projeto de Lei nº 2.746/2022, no âmbito da CCJ, com as emendas supressivas em anexo.",GAB DEP THIAGO MANZONI,85199,2023-08-22T10:58:00.163
2022,Projeto de Lei,2747,Institui a Medalha do Mérito Cristão e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Em razão do exposto, manifesta-se voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.747/2022 e da Emenda Supressiva apresentada no âmbito desta Comissão de Constituição e Justiça.",GAB DEP ROBÉRIO NEGREIROS,111534,2024-02-27T10:39:35.487
2022,Projeto de Lei,2747,Institui a Medalha do Mérito Cristão e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,inadmissivel,Não apreciado(a),"Em razão do exposto, manifesta-se voto pela INADMISSIBILIDADE do Projeto de Lei nº 2.747/2022 no âmbito desta CCJ.",GAB DEP ROBÉRIO NEGREIROS,83302,2023-08-09T08:59:24.803
2022,Projeto de Lei,2753,"Altera a Lei 5.216/13, que “Institui o Programa Jovem Candango”, para ampliar o limite etário para contratação de aprendizes por empresas e órgãos públicos, e dá outras providências.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Pelo exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei n.º 2.753, de 2022, com as Emendas n.º 1 e 2 da Comissão de Assuntos Sociais e pela INADMISSIBILIDADE da Emenda n.º 3 da mesma Comissão.",GAB DEP THIAGO MANZONI,78660,2023-06-14T18:51:48.307
2022,Projeto de Lei,2765,Institui o dia 21 de maio como o “Dia Distrital da nutrição na primeira infância”.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Aprovado(a),"Feitas essas ponderações, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.765/2022, no âmbito da CCJ, conforme substitutivo anexo.",GAB DEP IOLANDO,82456,2023-07-25T18:03:22.847
2022,Projeto de Lei,2766,"Altera a Lei n° 6.269, de 19 de janeiro de 2019, que dispõe sobre o Zoneamento Ecológico e Econômico do Distrito Federal e dá outras providências.",CONSTITUIÇÃO DE JUSTIÇA,clausula_da,admissivel,Aprovado(a),"CONCLUSÃO Assim, com fundamento no art. 63, inciso I, do RICLDF, manifesta-se voto pela ADMISSIBILIDADE do PL nº 2.766/2022, no âmbito desta CCJ.",CCJ,129157,2024-08-21T12:22:11.377
2022,Projeto de Lei,2768,Dispõe sobre a veiculação de mensagens educativas de conscientização sobre proteção animal nos monitores dos vagões de metrô e ônibus do transporte público coletivo no Distrito Federal e dá outras providências.,CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel,Não apreciado(a),"III - CONCLUSÃO Dessa maneira, no âmbito desta Comissão de Constituição e Justiça, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 2.768, de 2022, com a Emenda Modificativa anexa.",GAB DEP FÁBIO FÉLIX,301662,2025-06-09T14:36:07.703
2022,Projeto de Lei,2777,"Dispõe sobre a proibição de aplicação de exames e provas do Curso de Formação, em dias de guarda religiosa, no âmbito do Distrito Federal.",CONSTITUIÇÃO E JUSTIÇA,clausula_da,admissivel_com_ressalva,Aprovado(a),"Pelo exposto, nosso voto é pela ADMISSIBILIDADE do Projeto de Lei n.° 2.777, de 2022, e das emendas da Comissão de Economia, Orçamento e Finanças, na forma do substitutivo anexo.",GAB DEP FÁBIO FÉLIX,101178,2023-11-06T22:49:51.453
