deputado,sessao_legislativa,ano,ordinarias,presencas,ausencias,limite_regimental,ordinarias_com_quorum,presencas_com_quorum,ausencias_com_quorum,limite_regimental_com_quorum,ordinarias_sem_quorum,presencas_sem_quorum,as_of
PEPA,36,2026,68,35,33,23,40,35,5,14,28,0,2026-09-01
RICARDO VALE,33,2023,107,97,10,36,94,90,4,32,13,7,2026-09-01
RICARDO VALE,34,2024,108,84,24,36,80,72,8,27,28,12,2026-09-01
RICARDO VALE,35,2025,124,72,52,42,70,60,10,24,54,12,2026-09-01
RICARDO VALE,36,2026,68,49,19,23,40,37,3,14,28,12,2026-09-01
ROBÉRIO NEGREIROS,33,2023,107,78,29,36,94,72,22,32,13,6,2026-09-01
ROBÉRIO NEGREIROS,34,2024,108,65,43,36,80,59,21,27,28,6,2026-09-01
ROBÉRIO NEGREIROS,35,2025,124,51,73,42,70,50,20,24,54,1,2026-09-01
ROBÉRIO NEGREIROS,36,2026,68,33,35,23,40,29,11,14,28,4,2026-09-01
ROGERIO MORRO DA CRUZ,33,2023,107,85,22,36,94,81,13,32,13,4,2026-09-01
ROGERIO MORRO DA CRUZ,34,2024,108,74,34,36,80,68,12,27,28,6,2026-09-01
ROGERIO MORRO DA CRUZ,35,2025,124,71,53,42,70,62,8,24,54,9,2026-09-01
ROGERIO MORRO DA CRUZ,36,2026,68,49,19,23,40,40,0,14,28,9,2026-09-01
ROOSEVELT VILELA,33,2023,107,76,31,36,94,71,23,32,13,5,2026-09-01
ROOSEVELT VILELA,34,2024,108,66,42,36,80,61,19,27,28,5,2026-09-01
ROOSEVELT VILELA,35,2025,124,62,62,42,70,59,11,24,54,3,2026-09-01
ROOSEVELT VILELA,36,2026,68,32,36,23,40,31,9,14,28,1,2026-09-01
THIAGO MANZONI,33,2023,107,98,9,36,94,88,6,32,13,10,2026-09-01
THIAGO MANZONI,34,2024,108,79,29,36,80,71,9,27,28,8,2026-09-01
THIAGO MANZONI,35,2025,124,68,56,42,70,62,8,24,54,6,2026-09-01
THIAGO MANZONI,36,2026,68,41,27,23,40,38,2,14,28,3,2026-09-01
WELLINGTON LUIZ,33,2023,107,74,33,36,94,73,21,32,13,1,2026-09-01
WELLINGTON LUIZ,34,2024,108,67,41,36,80,63,17,27,28,4,2026-09-01
WELLINGTON LUIZ,35,2025,124,58,66,42,70,56,14,24,54,2,2026-09-01
WELLINGTON LUIZ,36,2026,68,31,37,23,40,30,10,14,28,1,2026-09-01
