ano,sigla,numero,autor,tipo_autor,registros_na_fonte,id_proposicao,as_of
2023,IND,76,Deputada Jaqueline Silva,PARLAMENTAR,1,10342,2026-09-01
2023,IND,77,Deputada Jaqueline Silva,PARLAMENTAR,1,10354,2026-09-01
2023,IND,78,Deputada Jaqueline Silva,PARLAMENTAR,1,10356,2026-09-01
2023,IND,79,Deputada Jaqueline Silva,PARLAMENTAR,1,10362,2026-09-01
2023,IND,80,Deputada Jaqueline Silva,PARLAMENTAR,1,10366,2026-09-01
2023,IND,81,Deputado Thiago Manzoni,PARLAMENTAR,1,10370,2026-09-01
2023,IND,82,Deputado Joaquim Roriz Neto,PARLAMENTAR,1,10261,2026-09-01
2023,IND,83,Deputado Joaquim Roriz Neto,PARLAMENTAR,1,10351,2026-09-01
2023,IND,84,Deputado Max Maciel,PARLAMENTAR,1,10232,2026-09-01
2023,IND,85,Deputado Max Maciel,PARLAMENTAR,1,10269,2026-09-01
2023,IND,86,Deputado Max Maciel,PARLAMENTAR,1,10385,2026-09-01
2023,IND,87,Deputado João Cardoso,PARLAMENTAR,1,10395,2026-09-01
2023,IND,88,Deputado Jorge Vianna,PARLAMENTAR,1,10448,2026-09-01
2023,IND,89,Deputada Jaqueline Silva,PARLAMENTAR,1,10390,2026-09-01
2023,IND,90,Deputada Jaqueline Silva,PARLAMENTAR,1,10420,2026-09-01
2023,IND,91,Deputada Jaqueline Silva,PARLAMENTAR,1,10407,2026-09-01
2023,IND,92,Deputada Jaqueline Silva,PARLAMENTAR,1,10455,2026-09-01
2023,IND,93,Deputada Jaqueline Silva,PARLAMENTAR,1,10440,2026-09-01
2023,IND,94,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10240,2026-09-01
2023,IND,95,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10243,2026-09-01
2023,IND,96,Deputada Dayse Amarilio,PARLAMENTAR,1,10462,2026-09-01
2023,IND,97,Deputada Dayse Amarilio,PARLAMENTAR,1,10460,2026-09-01
2023,IND,98,Deputado Max Maciel,PARLAMENTAR,1,10414,2026-09-01
2023,IND,99,Deputado Gabriel Magno,PARLAMENTAR,2,10463,2026-09-01
2023,IND,100,Deputado Robério Negreiros,PARLAMENTAR,1,10478,2026-09-01
2023,IND,101,Deputada Dayse Amarilio,PARLAMENTAR,1,10457,2026-09-01
2023,IND,102,Deputada Dayse Amarilio,PARLAMENTAR,1,10458,2026-09-01
2023,IND,103,Deputada Jaqueline Silva,PARLAMENTAR,1,10473,2026-09-01
2023,IND,104,Deputada Jaqueline Silva,PARLAMENTAR,1,10474,2026-09-01
2023,IND,105,Deputada Jaqueline Silva,PARLAMENTAR,1,10476,2026-09-01
2023,IND,106,Deputada Jaqueline Silva,PARLAMENTAR,1,10477,2026-09-01
2023,IND,107,Deputado Ricardo Vale,PARLAMENTAR,1,10500,2026-09-01
2023,IND,108,Deputada Dayse Amarilio,PARLAMENTAR,1,10487,2026-09-01
2023,IND,109,Deputado Max Maciel,PARLAMENTAR,1,10505,2026-09-01
2023,IND,110,Deputada Dayse Amarilio,PARLAMENTAR,1,10518,2026-09-01
2023,IND,111,Deputado Gabriel Magno,PARLAMENTAR,1,10549,2026-09-01
