ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2025,Projeto de Lei,2059,PL 2059/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-11-24,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 8.196.129,00."
2025,Projeto de Lei,2060,PL 2060/2025,pendente,pendente,0,0,0,2025-11-24,"Altera o Orçamento de Investimento da Lei Orçamentária Anual do Distrito Federal, no valor de R$ 6.185.000,00.
"
2025,Projeto de Lei,2061,PL 2061/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-11-24,"Abre crédito especial à Lei Orçamentária Anual do Distrito Federal no valor de R$ 500.000,00.
"
2025,Projeto de Lei,2062,PL 2062/2025,aprovada_no_texto_original,aprovada,0,0,2,2025-11-25,"Altera a Lei nº 2.402, de 15 de junho de 1999, que institui o Programa Bolsa Atleta."
2025,Projeto de Lei,2063,PL 2063/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-11-25,"Concede remissão e anistia de créditos tributários do Imposto sobre a Propriedade Predial e Territorial Urbana - IPTU relativos aos imóveis pertencentes ao Fundo Garantidor de Parcerias Público-Privadas do Distrito Federal - FGP-DF, instituído pela Lei nº 5.004, de 21 de dezembro de 2012."
2025,Projeto de Lei,2073,PL 2073/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-01,"Altera a Lei nº 7.549, de 30 de julho de 2024, que ""dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2025 e dá outras providências"""
2025,Projeto de Lei,2075,PL 2075/2025,pendente,pendente,0,0,1,2025-12-02,Institui o Conselho Distrital de Políticas Públicas para a Família - CONFAM.
2025,Projeto de Lei,2078,PL 2078/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-02,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 17.430.432,00."
2025,Projeto de Lei,2081,PL 2081/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-08,"Altera a Lei nº 6.466, de 27 de dezembro de 2019, que ""dispõe sobre os benefícios fiscais do Imposto sobre a Propriedade de Veículos Automotores - IPVA, do Imposto sobre a Propriedade Predial e Territorial Urbana - IPTU, do Imposto sobre a Transmissão Causa Mortis e Doação de Quaisquer Bens ou Direitos - ITCD, do Imposto sobre a Transmissão Inter Vivos de Bens Imóveis e de Direitos a eles Relativos - ITBI e da Taxa de Limpeza Pública - TLP."""
2025,Projeto de Lei,2083,PL 2083/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-08,"Altera a Lei nº 7.549, de 30 de julho de 2024, que ""dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2025 e dá outras providências""."
2025,Projeto de Lei,2084,PL 2084/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-08,"Altera a Lei nº 3.320 de 18 de fevereiro de 2004, que ""reestrutura a carreira Assistência Pública à Saúde do Distrito Federal, de que tratam as Leis nº 740, de 28 de julho de 1994, e nº 2.816, de 13 de novembro de 2001, e dá outras providências""."
2025,Projeto de Lei,2085,PL 2085/2025,aprovada_com_emendas,aprovada,2,2,3,2025-12-08,"Altera a Lei nº 7.735, de 22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2026 e dá outras providências."
2025,Projeto de Lei,2088,PL 2088/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-09,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 13.453.414,00."
2025,Projeto de Lei,2089,PL 2089/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-09,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 192.676.000,00.
"
2025,Projeto de Lei,2090,PL 2090/2025,aprovada_com_emendas,aprovada,4,4,4,2025-12-09,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 50.000.000,00."
2025,Projeto de Lei,2091,PL 2091/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-09,"Altera a Lei nº 5.105, de 3 de maio de 2013, que reestrutura a carreira de Magistério Público do Distrito Federal, e dá outras providências."
2025,Projeto de Lei,2092,PL 2092/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-09,"Altera a Lei nº 7.549, de 30 de julho de 2024, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2025 e dá outras providências."
2025,Projeto de Lei,2093,PL 2093/2025,aprovada_no_texto_original,aprovada,0,0,0,2025-12-09,"Dispõe sobre a reorganização dos cargos em comissão, destinados às atribuições de direção, chefia e assessoramento no âmbito da CODHAB/DF."
2025,Projeto de Lei,2095,PL 2095/2025,aprovada_com_emendas,aprovada,1,1,1,2025-12-10,"Abre crédito adicional à Lei Orçamentária Anual do Distrito Federal no valor de R$ 8.800.211,00."
2025,Projeto de Lei,2100,PL 2100/2025,aprovada_no_texto_original,aprovada,0,0,2,2025-12-18,"Altera a Lei nº 7.827, de 18 de dezembro de 2025, para estabelecer nova pauta de valores venais de veículos automotores usados registrados e licenciados no Distrito Federal para efeito de lançamento do Imposto sobre a Propriedade de Veículos Automotores - IPVA, relativamente ao exercício de 2026."
2025,Projeto de Lei Complementar,63,PLC 63/2025,aprovada_com_emendas,aprovada,2,2,2,2025-02-04,"Altera a Lei Complementar nº 889, de 24 de julho de 2014, que dispõe sobre a composição do Conselho de Planejamento Territorial e Urbano do Distrito Federal – CONPLAN e dá outras providências."
