ano,data_da_liquidacao,data_da_ordem_bancaria,dias_entre_liquidacao_e_pagamento,cnpj_credor,credor,forma_do_registro_na_fonte,valor,objeto,categoria_de_contrato,fonte_de_recursos,obrigacoes_mais_antigas_ultrapassadas,justificativa_publicada,as_of
2022,2022-01-17,2022-01-17,0,11777162000157,BASIS TECNOLOGIA DA INFORMAÇÃO S.A.,cnpj,"15.307,30",MANUT. PARQUE COMPUTADORES HP ELITE DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-17,2022-01-18,1,88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,cnpj,"37.865,66",SERV. DE MANUT. E TECN. - MENTORH - 22/11 A 21/12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-18,2022-01-18,0,03624962000100,GESTEMAQ COMERCIO E ASSISTENCIA TECNICA LTDA,cnpj,"4.116,63",MANUT. PREV/CORRETIVA EQUIP GRÁFICOS - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-18,2022-01-18,0,02558157000162,TELEFONICA BRASIL S/A,cnpj,"651,95",SERVIÇO DE TELEFONIA MÓVEL - DEZEMBRO/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-18,2022-01-19,1,01688354000133,AV COMUNICAÇÃO E MARKETING LTDA,cnpj,"978.033,99",SERV PUBLICIDADE INSTIT. - TV DISTRITAL - C/ GLOSA,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-18,2022-01-19,1,09475334000196,EDUCALIBRAS TREIN. E DES.DO IDIOMA DE LIBRAS LTDA.,cnpj,"7.507,63",SERV. TRADUÇÃO/INTERPRET. LIBRAS - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-19,2022-01-19,0,14062549000115,H3D SOLUCOES DE TELEINFORMATICA LTDA,cnpj,"7.537,20",SERV. GERENC. SIST. TELEFONICO - PGTO PARCIAL-RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-19,2022-01-19,0,10947243000195,LINEAR COMUNICACAO LTDA EPP,cnpj,"4.213,15",SERV. DE CLIPPING DE TV E RÁDIO 29/11 A 31/12 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-19,2022-01-19,0,88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,cnpj,"6.524,22",SERV. DE MANUT. E-SOCIAL MENTORH - 13 A 31/12 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-19,2022-01-19,0,37142932000189,SISTEMA DE EMERGENCIA MOVEL DE BRASILIA LTDA,cnpj,"7.356,80",SERV. PRÉ-HOSPIT. MÓVEL DE URGÊNCIA - NOV/DEZ RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-19,2022-01-20,1,26990812000115,TECNISYS INFORMÁTICA E ASSESSORIA EMPRESARIAL LTDA,cnpj,"5.301,96",PONTOS DE FUNÇÃO DESENV/MANUT - SIST DE INF - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-20,0,34028316000707,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,cnpj,"177,88",SERVIÇOS POSTAIS E TELEMATICOS - DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-20,0,35712241000148,IDP TECNOLOGIAS EDUCACIONAIS LTDA,cnpj,"1.177,31",CURSO POS-GRADUACAO DIR. PROCESS. CIVIL-PARC.5,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-20,0,23921349000161,VISUAL SISTEMAS ELETRÔNICOS LTDA,cnpj,"15.599,25",SERV.MANUT. VERSÕES CLDF-DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-20,0,23921349000161,VISUAL SISTEMAS ELETRÔNICOS LTDA,cnpj,"2.746,52",SERV. SUPORTE TEC. E ATUL. VERSÕES CLDF-DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-20,0,23921349000161,VISUAL SISTEMAS ELETRÔNICOS LTDA,cnpj,"2.856,00",SERV.MENSAGEIRA VOTAÇÃO CLDF-DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-21,1,27149997000100,ECOPENSE COLETA DE RESIDUOS EIRELI,cnpj,"670,64",SERV DE COLETA DE RESÍDUOS SÓLIDOS - DEZ/2021 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-21,1,01011976000122,ORION TELECOMUNICACOES ENGENHARIA S/A,cnpj,"1.490,90",SERV. NO SIST. DE ENERGIA FOTOVOLTAICA - MÊS 06/60 - RPNP,OBRAS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-21,1,13258899000199,SEFIX - GESTAO DE PROFISSIONAIS EIRELI,cnpj,"128.697,24",SERV. LIMPEZA/HIGIEN/CONSERV - C/ GLOSA - DEZ RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-21,1,33683111000107,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,cnpj,"3.200,00",SERV DE CONEXÃO REDE INFOVIA BRASÍLIA - DEZ RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-20,2022-01-24,4,33641663001205,FUNDACAO GETULIO VARGAS,cnpj,"1.560,00",MBA EM GERENCIAMENTO DE PROJETOS - 14/18,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-21,2022-01-21,0,02282727000134,ZEPIM SEGURANCA E VIGILANCIA EIRELI,cnpj,"254.157,85",SERV CONT. DE VIGILÂNCIA PATRIMONIAL - DEZ/21 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-21,2022-01-24,3,88633680000202,OSM CONSULTORIA E SISTEMAS LTDA,cnpj,"11.359,70",SERV. DE MANUT. E TECN. - MENTORH - 22/12 A 30/12,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-21,2022-12-15,328,09475334000196,EDUCALIBRAS TREIN. E DES.DO IDIOMA DE LIBRAS LTDA.,cnpj,"6.078,94",SERV. DE TRADUÇÃO/INTERPRETAÇÃO DE LIBRAS - NOV/22,PRESTAÇÃO DE SERVIÇOS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-24,2022-01-24,0,,FUNDAÇÃO DE AMPARO AO TRABALHADOR PRESO - FUNAP,codigo_de_orgao,"5.205,78",SERV. DE MÃO DE OBRA - SENTENCIADOS - DEZ/21 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-24,2022-01-24,0,32913188000155,TECNOLTA EQUIPAMENTOS ELETRONICOS LTDA,cnpj,"28.214,46",SERV DE REPROGRAFIA - C/ E S/ M-D-O - DEZ/21 RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-24,2022-01-25,1,25165749000110,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,cnpj,"16.754,76","GERENCIAMENTO ABAST, RELAT.CONSUMO RPNP",FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-24,2022-01-25,1,00545482000165,NETWORLD TELECOMUNICACOES DO BRASIL LTDA,cnpj,"3.492,40",SERV. LINK ACESSO DEDICADO DE INTERNET - DEZ RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-25,2022-01-25,0,21992832000101,PONTUAL SERVIÇOS GERAIS LTDA.-ME,cnpj,"22.934,79",SERVICO DE RECEPCIONISTA- DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-25,2022-01-25,0,04752792000101,QUALIFICAR-GESTAO TERCEIRIZADA DE SERV CORPORATE,cnpj,"21.381,81",PRESTAÇÃO SERV. TEC. ATENDIM. USUARIOS TI- RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-25,2022-01-26,1,23291920000101,SOLUX DISTRIBUIDORA EIRELI ME,cnpj,"133.782,49",FORN DE EQUIPAMENTOS P/ APOIO AO PLENÁRIO,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-25,2022-01-27,2,25165749000110,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,cnpj,"2.748,17",INTERM. NO FORN. DE PEÇAS P/ VEICULOS - RPNP,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-25,2022-01-27,2,25165749000110,NEO CONSULT. E ADMINIST. DE BENEFÍCIOS EIRELI EPP,cnpj,"702,93",SERV DE INTERMED. DE MANUTENÇÃO DE VEÍCULOS RPNP,FORNECIMENTO DE BENS,1500-100000000,0,,2026-09-02T17:49:17
2022,2022-01-26,2022-01-27,1,05741114000106,SEA TECNOLOGIA LTDA,cnpj,"20.646,15",SUPORTE TÉCNICO E ATUALIZAÇÃO PORTAIS - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-26,2022-01-27,1,05461103000172,VERBO EDUCACIONAL LTDA.,cnpj,"576,58",PÓS GRAD. EM AUDITORIA INTERNA E CONTROLE - 06/19,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-27,2022-01-27,0,76659820000313,ASSOCIAÇÃO PARANAENSE DE CULTURA - APC,cnpj,"728,01",PÓS-GRADUAÇÃO LATU SENSU EM DIREITO AMBIENTAL,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-27,2022-01-27,0,10865146000153,BELFORT GERENCIAMENTO DE RESÍDUOS LTDA,cnpj,"243,54",COLETA DE LIXO HOSPITALAR NO SAS - DEZ/21 - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-27,2022-01-27,0,02604476000167,CLIMATICA ENGENHARIA EIRELI,cnpj,"48.671,36",SERV. DE MANUTENÇÃO DO AR CONDICIONADO - DEZ RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
2022,2022-01-27,2022-01-28,1,05886896000171,CLIPPING EXPRESS SERV. DE INFORMAÇÃO LTDA.,cnpj,"1.606,98",SERV. CLIPPING IMPRESSO ON LINE - DEZ - RPNP,PRESTAÇÃO DE SERVIÇOS,1500-100000000,1,,2026-09-02T17:49:17
