cod_unidade_orcamentaria,unidade_orcamentaria,ano,emendas,canceladas,vl_emenda,vl_lei_alteracao,vl_empenhado,vl_disponivel,vl_desbloqueado,vl_liquidado,as_of
170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,2024,86,39,"56.820.000,00","57.660.000,00","48.385.481,47","0,00","55.980.000,00","37.795.946,83",2025-12-16T18:14:28.151388
170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,2025,80,20,"47.103.100,00","47.053.100,00","34.530.768,00","3.393.332,00","39.174.100,00","26.843.088,66",2025-12-16T18:14:28.151388
210904,FUNDO DISTRITAL DE DESENVOLVIMENTO RURAL - FDR,2021,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
250902,FUNDO PARA GERAÇÃO DE EMPREGO E RENDA,2021,3,0,"950.000,00","950.000,00","750.000,00","0,00","750.000,00","750.000,00",2025-12-16T18:14:28.151388
250902,FUNDO PARA GERAÇÃO DE EMPREGO E RENDA,2022,3,3,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
100101,GABINETE DO VICE-GOVERNADOR,2023,5,2,"1.150.000,00","1.150.000,00","304.436,42","845.563,58","2.050.000,00","174.436,42",2025-12-16T18:14:28.151388
100101,GABINETE DO VICE-GOVERNADOR,2024,4,2,"711.727,00","711.727,00","511.726,63","0,00","711.727,00","511.726,63",2025-12-16T18:14:28.151388
100101,GABINETE DO VICE-GOVERNADOR,2025,4,0,"3.780.000,00","3.780.000,00","1.268.805,54","1.041.194,46","3.280.000,00","900.756,65",2025-12-16T18:14:28.151388
190219,INSTITUTO DE PESQUISA E ESTATÍSTICA DO DISTRITO FEDERAL - IPEDF CODEPLAN,2022,7,3,"574.899,00","574.899,00","506.848,97","58.050,03","476.750,00","486.348,97",2025-12-16T18:14:28.151388
190219,INSTITUTO DE PESQUISA E ESTATÍSTICA DO DISTRITO FEDERAL - IPEDF CODEPLAN,2023,2,1,"300.000,00","300.000,00","29.636,76","270.363,24","300.000,00","0,00",2025-12-16T18:14:28.151388
190219,INSTITUTO DE PESQUISA E ESTATÍSTICA DO DISTRITO FEDERAL - IPEDF CODEPLAN,2024,3,0,"593.600,00","593.600,00","528.829,76","0,00","593.600,00","437.291,43",2025-12-16T18:14:28.151388
280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,2021,14,4,"1.290.000,00","1.290.000,00","882.415,59","407.584,41","1.290.000,00","882.415,59",2025-12-16T18:14:28.151388
280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,2022,10,5,"4.037.000,00","4.037.000,00","3.797.000,00","0,00","4.047.000,00","3.643.612,30",2025-12-16T18:14:28.151388
280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,2023,17,13,"820.000,00","820.000,00","819.995,52","4,48","1.120.000,00","120.000,00",2025-12-16T18:14:28.151388
280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,2024,5,2,"800.000,00","800.000,00","650.000,00","0,00","650.000,00","330.000,00",2025-12-16T18:14:28.151388
280208,INSTITUTO DO MEIO AMBIENTE E DOS RECURSOS HÍDRICOS DO DISTRITO FEDERAL,2025,4,1,"1.050.000,00","1.050.000,00","0,00","500.000,00","500.000,00","0,00",2025-12-16T18:14:28.151388
150106,JARDIM BOTÂNICO DE BRASILIA,2021,2,1,"100.000,00","100.000,00","8.000,00","92.000,00","100.000,00","0,00",2025-12-16T18:14:28.151388
150106,JARDIM BOTÂNICO DE BRASILIA,2022,2,1,"500.000,00","500.000,00","500.000,00","0,00","500.000,00","348.542,60",2025-12-16T18:14:28.151388
150106,JARDIM BOTÂNICO DE BRASILIA,2024,5,3,"930.000,00","930.000,00","549.930,93","0,00","930.000,00","237.006,29",2025-12-16T18:14:28.151388
150106,JARDIM BOTÂNICO DE BRASILIA,2025,2,0,"1.180.000,00","1.180.000,00","1.019.898,46","160.101,54","1.180.000,00","486.207,63",2025-12-16T18:14:28.151388
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,2021,9,2,"6.700.000,00","6.700.000,00","5.632.762,70","1.067.237,30","5.300.000,00","5.632.762,70",2025-12-16T18:14:28.151388
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,2022,8,7,"0,00","2.000.000,00","0,00","0,00","100.000,00","0,00",2025-12-16T18:14:28.151388
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,2023,10,3,"4.576.000,00","4.576.000,00","4.523.682,40","52.317,60","4.576.000,00","4.523.682,40",2025-12-16T18:14:28.151388
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,2024,6,5,"4.000.000,00","4.000.000,00","4.000.000,00","0,00","4.000.000,00","1.447.675,08",2025-12-16T18:14:28.151388
220105,POLÍCIA CIVIL DO DISTRITO FEDERAL,2025,8,2,"5.750.000,00","5.750.000,00","3.665.838,00","84.162,00","3.750.000,00","3.596.115,40",2025-12-16T18:14:28.151388
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL,2021,12,2,"1.313.333,00","1.613.333,00","849.629,56","3.703,44","1.350.000,00","549.958,98",2025-12-16T18:14:28.151388
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL,2022,15,7,"2.149.000,00","2.100.520,00","1.796.776,81","743,19","2.320.000,00","1.724.464,31",2025-12-16T18:14:28.151388
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL,2023,13,4,"3.358.000,00","3.358.000,00","3.357.317,64","682,36","3.358.000,00","3.209.174,64",2025-12-16T18:14:28.151388
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL,2024,8,4,"1.500.000,00","1.944.225,55","1.862.917,10","0,00","450.000,00","1.862.917,10",2025-12-16T18:14:28.151388
220103,POLÍCIA MILITAR DO DISTRITO FEDERAL,2025,12,0,"4.705.000,00","4.855.000,00","4.699.900,00","5.100,00","4.705.000,00","4.616.400,00",2025-12-16T18:14:28.151388
640101,SECRETARIA DE ESTADO ADMINISTRAÇÃO PENITENCIÁRIA DO DISTRITO FEDERAL,2021,1,0,"1.000.000,00","1.000.000,00","959.584,00","40.416,00","0,00","959.584,00",2025-12-16T18:14:28.151388
640101,SECRETARIA DE ESTADO ADMINISTRAÇÃO PENITENCIÁRIA DO DISTRITO FEDERAL,2022,4,4,"0,00","0,00","0,00","0,00","100.000,00","0,00",2025-12-16T18:14:28.151388
640101,SECRETARIA DE ESTADO ADMINISTRAÇÃO PENITENCIÁRIA DO DISTRITO FEDERAL,2023,6,1,"1.730.000,00","1.730.000,00","883.200,00","846.800,00","1.730.000,00","883.200,00",2025-12-16T18:14:28.151388
640101,SECRETARIA DE ESTADO ADMINISTRAÇÃO PENITENCIÁRIA DO DISTRITO FEDERAL,2024,3,1,"2.542.233,00","2.542.233,00","2.254.510,16","0,00","3.000.000,00","2.248.180,66",2025-12-16T18:14:28.151388
640101,SECRETARIA DE ESTADO ADMINISTRAÇÃO PENITENCIÁRIA DO DISTRITO FEDERAL,2025,6,0,"4.011.000,00","4.011.000,00","3.920.237,81","90.762,19","5.011.000,00","1.010.264,92",2025-12-16T18:14:28.151388
210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",2021,22,8,"4.680.000,00","4.680.000,00","1.069.806,35","3.030.193,65","4.040.000,00","1.069.806,35",2025-12-16T18:14:28.151388
210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",2022,30,12,"8.496.816,00","9.146.816,00","7.021.857,01","876.384,99","10.031.426,00","5.241.371,20",2025-12-16T18:14:28.151388
210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",2023,19,6,"5.917.000,00","5.917.000,00","4.286.816,62","1.270.183,38","5.742.000,00","2.778.969,24",2025-12-16T18:14:28.151388
210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",2024,20,10,"6.338.110,00","6.338.110,00","4.905.417,90","0,00","7.108.297,77","4.842.639,30",2025-12-16T18:14:28.151388
210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL",2025,8,4,"1.831.000,00","1.831.000,00","80.000,00","1.750.000,00","2.130.000,00","0,00",2025-12-16T18:14:28.151388
