cod_unidade_orcamentaria,unidade_orcamentaria,ano,emendas,canceladas,vl_emenda,vl_lei_alteracao,vl_empenhado,vl_disponivel,vl_desbloqueado,vl_liquidado,as_of
190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,2023,9,6,"1.031.500,00","1.031.500,00","0,00","88.543,30","388.543,30","0,00",2025-12-16T18:14:28.151388
190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,2024,12,4,"7.305.000,00","7.305.000,00","5.205.000,00","0,00","7.205.000,00","0,00",2025-12-16T18:14:28.151388
190101,SECRETARIA DE ESTADO DE OBRAS E INFRAESTRUTURA DO DISTRITO FEDERAL,2025,17,9,"8.100.000,00","8.100.000,00","5.900.000,00","650.000,00","7.750.000,00","0,00",2025-12-16T18:14:28.151388
170101,SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL,2021,1,0,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
220101,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL,2021,7,2,"180.000,00","180.000,00","0,00","40.000,00","40.000,00","0,00",2025-12-16T18:14:28.151388
220101,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL,2022,4,2,"845.328,00","845.328,00","116.027,38","129.300,62","400.000,00","116.027,38",2025-12-16T18:14:28.151388
220101,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL,2023,6,2,"1.210.000,00","1.210.000,00","600.000,00","610.000,00","1.410.000,00","0,00",2025-12-16T18:14:28.151388
220101,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL,2024,5,3,"665.000,00","665.000,00","628.290,00","0,00","665.000,00","368.990,00",2025-12-16T18:14:28.151388
220101,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA DO DISTRITO FEDERAL,2025,3,1,"460.000,00","460.000,00","259.300,00","700,00","260.000,00","259.300,00",2025-12-16T18:14:28.151388
200101,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL,2021,11,3,"1.708.358,00","1.698.458,00","986.514,04","711.943,96","1.883.358,00","200.805,56",2025-12-16T18:14:28.151388
200101,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL,2022,9,5,"1.651.140,00","1.651.140,00","1.651.140,00","0,00","2.651.140,00","1.162.337,05",2025-12-16T18:14:28.151388
200101,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL,2023,5,5,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
200101,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL,2024,4,4,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
200101,SECRETARIA DE ESTADO DE TRANSPORTE E MOBILIDADE DO DISTRITO FEDERAL,2025,2,1,"1.000.000,00","1.000.000,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,2021,50,4,"28.606.358,00","28.806.358,00","25.759.108,26","258.891,74","27.968.000,00","25.759.108,26",2025-12-16T18:14:28.151388
310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,2022,40,5,"55.351.394,00","56.201.394,00","52.324.794,13","2.504.459,87","54.697.139,94","51.155.767,81",2025-12-16T18:14:28.151388
310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,2023,64,27,"73.419.306,00","73.469.306,00","64.712.851,52","5.566.454,48","70.577.620,00","62.354.110,45",2025-12-16T18:14:28.151388
310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,2024,30,1,"121.725.444,00","121.825.444,00","113.866.025,92","0,00","120.838.622,23","113.057.696,39",2025-12-16T18:14:28.151388
310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,2025,24,0,"94.096.475,00","94.096.475,00","69.408.879,59","22.906.062,91","92.564.942,50","67.695.479,55",2025-12-16T18:14:28.151388
660101,SECRETARIA DE ESTADO DO EMPREENDEDORISMO DO DISTRITO FEDERAL,2021,10,8,"1.865.755,18","1.865.755,18","499.579,50","0,00","2.080.000,00","499.579,50",2025-12-16T18:14:28.151388
660101,SECRETARIA DE ESTADO DO EMPREENDEDORISMO DO DISTRITO FEDERAL,2022,3,3,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,2021,62,17,"24.823.238,00","24.760.238,00","16.230.595,70","7.089.404,30","23.465.000,00","13.498.623,86",2025-12-16T18:14:28.151388
340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,2022,91,41,"38.951.767,00","38.863.840,00","33.677.308,98","3.594.935,02","43.913.896,00","33.088.588,35",2025-12-16T18:14:28.151388
340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,2023,82,41,"42.338.500,00","42.338.500,00","32.767.128,84","7.020.371,16","40.863.500,00","30.975.893,62",2025-12-16T18:14:28.151388
340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,2024,48,11,"56.449.102,00","56.649.102,00","50.465.239,65","0,00","60.531.316,45","49.376.565,30",2025-12-16T18:14:28.151388
340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,2025,43,10,"94.863.554,00","94.863.554,00","62.733.182,21","21.489.351,43","86.392.533,64","57.667.874,09",2025-12-16T18:14:28.151388
150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,2021,6,2,"790.000,00","790.000,00","310.000,00","300.000,00","610.000,00","310.000,00",2025-12-16T18:14:28.151388
150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,2022,8,2,"1.725.000,00","1.725.000,00","1.375.000,00","0,00","1.375.000,00","1.375.000,00",2025-12-16T18:14:28.151388
150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,2023,10,2,"8.469.000,00","8.469.000,00","7.757.274,56","401.725,44","8.159.000,00","7.754.274,76",2025-12-16T18:14:28.151388
150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,2024,21,12,"9.805.000,00","9.805.000,00","8.351.282,86","0,00","9.405.000,00","3.501.282,86",2025-12-16T18:14:28.151388
150101,SECRETARIA DE ESTADO DO MEIO AMBIENTE,2025,19,8,"7.797.568,00","7.797.568,00","1.797.567,20","3.950.000,80","5.747.568,00","1.647.567,20",2025-12-16T18:14:28.151388
630101,SECRETARIA DE ESTADO PROTEÇÃO DA ORDEM URBANÍSTICA DO DISTRITO FEDERAL,2021,1,0,"50.000,00","50.000,00","0,00","50.000,00","50.000,00","0,00",2025-12-16T18:14:28.151388
630101,SECRETARIA DE ESTADO PROTEÇÃO DA ORDEM URBANÍSTICA DO DISTRITO FEDERAL,2022,1,0,"65.000,00","65.000,00","64.532,00","468,00","65.000,00","0,00",2025-12-16T18:14:28.151388
110101,SECRETARIA DE GOVERNO,2021,3,2,"300.000,00","300.000,00","0,00","300.000,00","300.000,00","0,00",2025-12-16T18:14:28.151388
150205,SERVIÇO DE LIMPEZA URBANA,2021,11,2,"3.835.000,00","3.833.000,00","3.001.692,09","831.307,91","4.200.000,00","529.230,65",2025-12-16T18:14:28.151388
150205,SERVIÇO DE LIMPEZA URBANA,2022,9,6,"301.060,00","301.060,00","299.998,00","0,00","1.060.663,00","275.669,85",2025-12-16T18:14:28.151388
150205,SERVIÇO DE LIMPEZA URBANA,2023,13,4,"3.859.869,00","3.859.869,00","3.559.869,00","300.000,00","4.210.769,00","0,00",2025-12-16T18:14:28.151388
150205,SERVIÇO DE LIMPEZA URBANA,2024,26,11,"4.612.932,00","4.612.932,00","3.767.212,80","0,00","4.939.063,00","2.173.343,80",2025-12-16T18:14:28.151388
150205,SERVIÇO DE LIMPEZA URBANA,2025,9,5,"1.900.000,00","1.900.001,00","1.379.300,68","520.700,32","1.900.000,00","999.536,20",2025-12-16T18:14:28.151388
200201,SOCIEDADE DE TRANSPORTES COLETIVOS DE BRASÍLIA,2024,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
200201,SOCIEDADE DE TRANSPORTES COLETIVOS DE BRASÍLIA,2025,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
180203,UNIVERSIDADE DO DISTRITO FEDERAL PROFESSOR JORGE AMAURY MAIA NUNES,2022,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
180203,UNIVERSIDADE DO DISTRITO FEDERAL PROFESSOR JORGE AMAURY MAIA NUNES,2024,4,2,"350.000,00","350.000,00","250.936,00","0,00","500.000,00","250.936,00",2025-12-16T18:14:28.151388
180203,UNIVERSIDADE DO DISTRITO FEDERAL PROFESSOR JORGE AMAURY MAIA NUNES,2025,1,1,"0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
