deputado,chave,sessao_legislativa,ano,ordinarias,presencas,ausencias,ausencias_cobertas_por_diaria,ausencias_sem_cobertura_conhecida,diarias_recebidas,dias_de_afastamento_autorizado,ordinarias_no_afastamento,presencas_no_afastamento,atos_da_mesa,as_of
JOÃO CARDOSO,JOAO CARDOSO,36,2026,68,31,37,0,37,0,0,0,0,,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,33,2023,107,85,22,0,22,4,23,0,0,,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,34,2024,108,79,29,4,25,4,23,4,0,Ato da Mesa Diretora nº 160/2024; Ato da Mesa Diretora nº 38/2024,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,35,2025,124,68,56,3,53,4,23,3,0,Ato da Mesa Diretora nº 87/2025,2026-09-01
MARTINS MACHADO,MARTINS MACHADO,36,2026,68,39,29,3,26,4,23,3,0,Ato da Mesa Diretora nº 10/2026,2026-09-01
MAX MACIEL,MAX MACIEL,33,2023,107,104,3,0,3,4,12,0,0,,2026-09-01
MAX MACIEL,MAX MACIEL,34,2024,108,97,11,2,9,4,12,3,1,Ato da Mesa Diretora nº 121/2024; Ato da Mesa Diretora nº 96/2024,2026-09-01
MAX MACIEL,MAX MACIEL,35,2025,124,79,45,2,43,4,12,3,1,Ato da Mesa Diretora nº 209/2025,2026-09-01
MAX MACIEL,MAX MACIEL,36,2026,68,51,17,0,17,4,12,0,0,,2026-09-01
PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,33,2023,107,98,9,0,9,1,3,0,0,,2026-09-01
PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,34,2024,108,83,25,1,24,1,3,1,0,Ato da Mesa Diretora nº 30/2024,2026-09-01
PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,35,2025,124,65,59,0,59,1,3,0,0,,2026-09-01
PASTOR DANIEL DE CASTRO,PASTOR DANIEL DE CASTRO,36,2026,68,42,26,0,26,1,3,0,0,,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,33,2023,107,96,11,2,9,2,11,2,0,Ato da Mesa Diretora nº 152/2023.,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,34,2024,108,79,29,1,28,2,11,1,0,Ato da Mesa Diretora nº 71/2024,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,35,2025,124,76,48,0,48,2,11,0,0,,2026-09-01
PAULA BELMONTE,PAULA BELMONTE,36,2026,68,23,45,0,45,2,11,0,0,,2026-09-01
PEPA,PEPA,33,2023,107,95,12,0,12,0,0,0,0,,2026-09-01
PEPA,PEPA,34,2024,108,69,39,0,39,0,0,0,0,,2026-09-01
PEPA,PEPA,35,2025,124,59,65,0,65,0,0,0,0,,2026-09-01
PEPA,PEPA,36,2026,68,35,33,0,33,0,0,0,0,,2026-09-01
RICARDO VALE,RICARDO VALE,33,2023,107,97,10,0,10,1,6,0,0,,2026-09-01
RICARDO VALE,RICARDO VALE,34,2024,108,84,24,2,22,1,6,2,0,Ato da Mesa Diretora nº 163/2024,2026-09-01
RICARDO VALE,RICARDO VALE,35,2025,124,72,52,0,52,1,6,0,0,,2026-09-01
RICARDO VALE,RICARDO VALE,36,2026,68,49,19,0,19,1,6,0,0,,2026-09-01
ROBÉRIO NEGREIROS,ROBERIO NEGREIROS,33,2023,107,78,29,0,29,1,10,0,0,,2026-09-01
ROBÉRIO NEGREIROS,ROBERIO NEGREIROS,34,2024,108,65,43,0,43,1,10,0,0,,2026-09-01
ROBÉRIO NEGREIROS,ROBERIO NEGREIROS,35,2025,124,51,73,6,67,1,10,6,0,Ato da Mesa Diretora nº 83/2025,2026-09-01
ROBÉRIO NEGREIROS,ROBERIO NEGREIROS,36,2026,68,33,35,0,35,1,10,0,0,,2026-09-01
ROGERIO MORRO DA CRUZ,ROGERIO MORRO DA CRUZ,33,2023,107,85,22,0,22,0,0,0,0,,2026-09-01
ROGERIO MORRO DA CRUZ,ROGERIO MORRO DA CRUZ,34,2024,108,74,34,0,34,0,0,0,0,,2026-09-01
ROGERIO MORRO DA CRUZ,ROGERIO MORRO DA CRUZ,35,2025,124,71,53,0,53,0,0,0,0,,2026-09-01
ROGERIO MORRO DA CRUZ,ROGERIO MORRO DA CRUZ,36,2026,68,49,19,0,19,0,0,0,0,,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,33,2023,107,76,31,0,31,6,32,0,0,,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,34,2024,108,66,42,7,35,6,32,7,0,Ato da Mesa Diretora nº 146/2024; Ato da Mesa Diretora nº 20/2024; Ato da Mesa Diretora nº 67/2024,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,35,2025,124,62,62,7,55,6,32,7,0,Ato da Mesa Diretora nº 151/2025; Ato da Mesa Diretora nº 170/2025,2026-09-01
ROOSEVELT VILELA,ROOSEVELT VILELA,36,2026,68,32,36,1,35,6,32,2,1,Ato da Mesa Diretora nº 112/2026,2026-09-01
THIAGO MANZONI,THIAGO MANZONI,33,2023,107,98,9,2,7,3,18,3,1,Ato da Mesa Diretora nº 157/2023.,2026-09-01
THIAGO MANZONI,THIAGO MANZONI,34,2024,108,79,29,0,29,3,18,1,1,Ato da Mesa Diretora nº 164/2024,2026-09-01
THIAGO MANZONI,THIAGO MANZONI,35,2025,124,68,56,0,56,3,18,0,0,,2026-09-01
THIAGO MANZONI,THIAGO MANZONI,36,2026,68,41,27,1,26,3,18,1,0,Ato da Mesa Diretora nº 30/2026,2026-09-01
WELLINGTON LUIZ,WELLINGTON LUIZ,33,2023,107,74,33,2,31,1,8,2,0,"Ato da Mesa Diretora nº 117, de 2023",2026-09-01
WELLINGTON LUIZ,WELLINGTON LUIZ,34,2024,108,67,41,0,41,1,8,0,0,,2026-09-01
WELLINGTON LUIZ,WELLINGTON LUIZ,35,2025,124,58,66,0,66,1,8,0,0,,2026-09-01
WELLINGTON LUIZ,WELLINGTON LUIZ,36,2026,68,31,37,0,37,1,8,0,0,,2026-09-01
